Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,ODE-267,12394096,Relative Path,,mricardo,Minor,Open,,16/Apr/08 12:12,06/Nov/08 19:52,
Bug,ODE-118,12368056,"fromPart and toPart syntax not supported on invoke, receive, pick",,mszefler,Minor,Open,,25/Apr/07 18:06,06/Nov/08 19:52,
Task,ODE-332,12400104,Rename svn branch APACHE_ODE_1.1to 1.X,,s_reichert,Minor,Resolved,Fixed,11/Jul/08 10:38,11/Jul/08 19:44,
Bug,ODE-316,12399063,BPEL compiler (bpelc) ignores output directory,mriou,doubleaxe,Minor,Resolved,Fixed,26/Jun/08 06:22,26/Jun/08 14:54,
Bug,ODE-314,12398986,Incorrect exception reported when exception is issued in DoXslTransform,mriou,doubleaxe,Minor,Resolved,Fixed,25/Jun/08 09:56,25/Jun/08 15:41,
Improvement,ODE-276,12394960,Configurable timeout for MEX?,mriou,doubleaxe,Minor,Resolved,Fixed,29/Apr/08 06:32,06/Jun/08 17:51,
Bug,ODE-290,12396585,Excessive AXIS Namespace Prefix generation ,mriou,javajunky,Minor,Resolved,Fixed,21/May/08 22:17,06/Jun/08 17:49,
New Feature,ODE-297,12397025,Custom function to convert an XML document in the BPEL to a literal string value,,javajunky,Minor,Resolved,Fixed,28/May/08 21:37,29/May/08 00:16,
Bug,ODE-269,12394098,Common service and Process environment deployment,mriou,mricardo,Minor,Resolved,Incomplete,16/Apr/08 12:23,21/May/08 22:53,
Test,ODE-247,12391513,ServiceFaultCatchTest: process might deployed twice,mriou,alexismidon,Minor,Resolved,Fixed,15/Mar/08 01:06,21/May/08 22:13,
Improvement,ODE-167,12375462,PartnerLinkTypes gets lost from Process WSDL upon deployment,boisvert,richt,Minor,Resolved,Fixed,07/Aug/07 00:03,21/May/08 22:13,
Bug,ODE-258,12392894,Accessing non-existent database external variable in 'update-insert' mode should create variable structure,,boisvert,Minor,Resolved,Fixed,02/Apr/08 05:13,02/Apr/08 05:15,
Improvement,ODE-252,12392498,remove unused property : message_replicate_emptyns,mriou,alexismidon,Minor,Resolved,Fixed,27/Mar/08 21:40,28/Mar/08 00:06,
New Feature,ODE-248,12392294,Expose Process Management API on JBI bus,,boisvert,Minor,Resolved,Fixed,25/Mar/08 23:19,25/Mar/08 23:54,
Bug,ODE-237,12387499,ClassNotFoundException while deserializing HBpelEvent in Geronimo MultiParentClassLoader,boisvert,boisvert,Minor,Resolved,Fixed,30/Jan/08 19:36,30/Jan/08 19:40,
Bug,ODE-229,12386351,SimpleSheduler should close ResultSet,mriou,doubleaxe,Minor,Resolved,Invalid,16/Jan/08 06:48,17/Jan/08 16:04,
Bug,ODE-228,12386348,SQL scripts generated for Oracle,mriou,doubleaxe,Minor,Resolved,Fixed,16/Jan/08 05:49,17/Jan/08 16:00,
Bug,ODE-226,12386299,If the <package> or <zip> nodes are not present in the <deploy> a null pointer exception can occur,mriou,d_s_jackson,Minor,Resolved,Fixed,15/Jan/08 20:37,16/Jan/08 04:58,
Bug,ODE-224,12386079,Upgrade Geronimo libs to 2.0.1,,vanto,Minor,Resolved,Fixed,11/Jan/08 19:45,11/Jan/08 20:38,
Bug,ODE-213,12383369,deploy.wsdl imports file from http://www.w3.org/2005/05/xmlmime,boisvert,boisvert,Minor,Resolved,Fixed,28/Nov/07 01:00,28/Nov/07 01:05,
Bug,ODE-203,12381100,"Use of initializePartnerRole=""false"" in a PartnerLink does not prevent it from being initalized",mriou,richt,Minor,Resolved,Fixed,24/Oct/07 21:03,21/Nov/07 15:49,
Bug,ODE-197,12380615,Improve error reporting for missing partnerLink bindings,vanto,vanto,Minor,Resolved,Fixed,17/Oct/07 16:47,21/Nov/07 15:49,
Improvement,ODE-193,12379681,Map ProcessManagement exceptions to WSDL Faults,mriou,boisvert,Minor,Resolved,Fixed,04/Oct/07 15:29,10/Oct/07 17:49,
Bug,ODE-179,12377812,Missing or duplicated ASF header in test module artifacts,mriou,lresende,Minor,Resolved,Fixed,08/Sep/07 07:21,08/Sep/07 15:40,
Bug,ODE-175,12376025,Launcher scripts in distros are not chmod'd to be executable,mriou,paulrbrown,Minor,Resolved,Fixed,15/Aug/07 06:39,15/Aug/07 16:52,
Wish,ODE-174,12376024,"the "".sh"" on ""bpelc.sh"" is silly",mriou,paulrbrown,Minor,Resolved,Fixed,15/Aug/07 06:26,15/Aug/07 15:37,
Bug,ODE-64,12352450,Compiler should validate required correlations,,lwaterman,Minor,Resolved,Fixed,05/Oct/06 04:38,09/Aug/07 18:58,
Bug,ODE-61,12352352,Report compilation error if a correlation set is known to be used before it is initialized.,,lwaterman,Minor,Resolved,Fixed,04/Oct/06 05:40,09/Aug/07 18:47,
Bug,ODE-152,12373770,some test failures,,eburgos,Minor,Resolved,Fixed,13/Jul/07 15:12,09/Aug/07 18:33,
Bug,ODE-146,12371245,NPE while processing message,,ed_narayanan,Minor,Resolved,Fixed,08/Jun/07 12:42,09/Aug/07 18:29,
Bug,ODE-122,12368061,"assign, invoke, receive, pick do not support the validate=""yes"" property",,mszefler,Minor,Resolved,Later,25/Apr/07 18:16,09/Aug/07 18:06,
Improvement,ODE-58,12352314,Remove dependencies on servlet related classes in ODEServer,mriou,yel728,Minor,Resolved,Won't Fix,03/Oct/06 17:55,09/Aug/07 17:56,
Bug,ODE-44,12350091,XPath10 does not appear to be working within ASSIGN,mriou,lwaterman,Minor,Resolved,Fixed,16/Sep/06 22:32,09/Aug/07 17:42,
Bug,ODE-170,12375605,"Stale reference to servlet which has been removed from Axis2 1.3 - ""Axis2RESTServlet""",mriou,richt,Minor,Resolved,Fixed,08/Aug/07 17:01,08/Aug/07 19:24,
Bug,ODE-73,12353899,Original Exception Lost,mriou,lwaterman,Minor,Resolved,Fixed,24/Oct/06 23:30,02/Aug/07 10:05,
Bug,ODE-134,12369360,<then> block in if-statement test,vanto,rattenfanger,Minor,Resolved,Fixed,15/May/07 08:25,01/Aug/07 18:28,
Bug,ODE-53,12351837,Relationship between process name and file name.,mriou,lwaterman,Minor,Resolved,Fixed,26/Sep/06 23:27,01/Aug/07 18:19,
Task,ODE-157,12374318,Create a (default) BPEL event listener,vanto,vanto,Minor,Resolved,Fixed,21/Jul/07 17:51,23/Jul/07 13:10,
Bug,ODE-135,12369808,BpelEventListener interface appears in two modules,vanto,paulrbrown,Minor,Resolved,Fixed,21/May/07 06:27,20/Jul/07 18:53,
Bug,ODE-153,12373791,Unable to run Ode from a path containing spaces (patch included),mriou,richt,Minor,Resolved,Fixed,13/Jul/07 19:13,20/Jul/07 16:50,
Improvement,ODE-140,12370082,Provide access to ODEServer instance on ODEServlet class,boisvert,richt,Minor,Closed,Fixed,23/May/07 17:44,29/May/07 22:05,
Bug,ODE-131,12368840,Testsuite fails on german environments,,vanto,Minor,Closed,Fixed,08/May/07 14:08,29/May/07 22:05,
Bug,ODE-112,12367636,Management Service won't start with a certain process deployed,mriou,rattenfanger,Minor,Closed,Fixed,20/Apr/07 06:45,29/May/07 22:05,
Bug,ODE-67,12353355,If WSDL contains invalid targetNamespace the compiler throws a NPE,boisvert,lwaterman,Minor,Closed,Fixed,17/Oct/06 06:29,29/May/07 22:05,
Improvement,ODE-63,12352416,Simplify BPEL compilation / parsing.,mszefler,mszefler,Minor,Closed,Fixed,04/Oct/06 14:59,29/May/07 22:05,
Bug,ODE-46,12350176,Successful build has xdoclet exceptions (due to Java5 parse errors),mszefler,vanto,Minor,Closed,Invalid,18/Sep/06 16:58,29/May/07 22:04,
Improvement,ODE-31,12348114,Move the DAO interfaces out of the bpel-api module,mszefler,mriou,Minor,Closed,Fixed,16/Aug/06 23:25,29/May/07 22:04,
Bug,ODE-24,12347539,"Outstanding my-role message exchanges are not ""failed"" when a processes terminates.",mriou,mszefler,Minor,Closed,Fixed,08/Aug/06 15:37,29/May/07 22:04,
