hash,authors,committer,changes_FileNum,changed_files,message,bug_id
1bff8bf2601a646c91b6373202911bf68622e0e3,aherbert,aherbert,7,"['commons-rng-bom/src/site/xdoc/index.xml', 'commons-rng-client-api/src/site/xdoc/index.xml', 'commons-rng-core/src/site/xdoc/index.xml', 'commons-rng-docs/src/site/xdoc/index.xml', 'commons-rng-sampling/src/site/xdoc/index.xml', 'commons-rng-simple/src/site/xdoc/index.xml', 'src/site/xdoc/index.xml']","Change text comparing commons RNG to java.util.Random

Include SplittableRandom (JDK 8) and mention increased period.",
41bc68eb076b47d946238878b8f33dcd21918a78,aherbert,aherbert,1,['commons-rng-docs/pom.xml'],Disable more plugins from default docs module build,
123c1d67cbd824f41f95611eeeaa183781d43a0d,aherbert,aherbert,6,"['.github/workflows/coverage.yml', 'commons-rng-docs/pom.xml', 'commons-rng-docs/src/site/site.xml', 'commons-rng-docs/src/site/xdoc/index.xml', 'doc/release/release.howto.txt', 'pom.xml']","Rename docs-archive to commons-rng-docs

This matches the pom artifactId and thus the name of the module in the
generated site.",
d7ba447bc23ef7dc95530ba2deced394aafd1c9e,aherbert,aherbert,3,"['docs-archive/pom.xml', 'docs-archive/src/site/site.xml', 'docs-archive/src/site/xdoc/index.xml']","Add site configuration for docs-archive

Allows the site to be built with aggregate javadoc and jacoco reports in
a docs module.",
a5bac367bc57ef44cf2a6d95f6f4e2364110c8de,aherbert,aherbert,6,"['commons-rng-client-api/src/site/resources/profile.revapi', 'commons-rng-core/src/site/resources/profile.revapi', 'commons-rng-examples/pom.xml', 'commons-rng-sampling/src/site/resources/profile.revapi', 'commons-rng-simple/src/site/resources/profile.revapi', 'pom.xml']","Activate RevAPI plugin using a profile

Only activate for core packages. This allows example modules to avoid a
blank site report entry.",
4cd13914eb8234c2161fec623071378d0242f65d,aherbert,aherbert,1,['docs-archive/pom.xml'],"Fix docs-archive module

Skip PMD using property

Remove jdepend plugin. These is no longer present in commons parent.",
384dc19d591a0e7e1f65f249750beef8a069dcef,aherbert,aherbert,1,['doc/release/release.howto.txt'],"Update release howto

Copy some additional details from the Numbers release howto.",
dd69c0c8ed6099bc0c1d6a2b50ce6d72ec9ab3ab,aherbert,aherbert,13,"['README.md', 'commons-rng-client-api/README.md', 'commons-rng-core/README.md', 'commons-rng-examples/README.md', 'commons-rng-examples/examples-jmh/README.md', 'commons-rng-examples/examples-jpms/README.md', 'commons-rng-examples/examples-jpms/jpms-app/README.md', 'commons-rng-examples/examples-jpms/jpms-lib/README.md', 'commons-rng-examples/examples-quadrature/README.md', 'commons-rng-examples/examples-sampling/README.md', 'commons-rng-examples/examples-stress/README.md', 'commons-rng-sampling/README.md', 'commons-rng-simple/README.md']",Fix readme generation command,
8cfc50b2402a72abc4c53241001f4a012501e272,aherbert,aherbert,1,['CODE_OF_CONDUCT.md'],Add code of conduct,
11ff23ea474b609b31f2867b1897031b0201e0de,aherbert,aherbert,1,['pom.xml'],"Remove checkstyle plugin excludes from parent

These are configured in the example JMH pom.",
0b56b6fb31bd47608c31d1f830b15a257d406f8f,aherbert,aherbert,1,['src/changes/changes.xml'],Simplify release description in the changes file,
741d6a62f903c6a3f7b9830c8c68d2c7f1206830,aherbert,aherbert,1,['src/site/xdoc/developers.xml'],Add note about 'flaky' tests to developer guide,
d3a9ddc89e513dd183d6d96826f5266ff41ac6d3,aherbert,aherbert,1,['commons-rng-core/src/site/resources/profile.japicmp'],"Re-enable JApiCmp in the core module

This had been disabled for the 1.4 to 1.5 comparison.
JApiCmp does not recognise methods moved from a class to a default
implementation in an interface.",Re-
83975bbf647ea6a67eaeedbf4592300650749765,aherbert,aherbert,1,['commons-rng-simple/src/site/xdoc/index.xml'],Update code example,
17d5271b2a1ba0d3f1ee2e5911dea3a2e1fc1e53,aherbert,aherbert,1,['src/site/xdoc/index.xml'],Correct comment for code example,
64fe5076c7f0585ac0611e4064af0e58d311560f,aherbert,aherbert,1,['doc/release/release.howto.txt'],Update release howto guide,
2e3f3121981ae7d7da69cbd3bd1d6fc8ada667cc,aherbert,aherbert,1,['pom.xml'],Update commons bc.version and release.version,
66de8200442f7e2d269592dc4f275aff70d2b2dd,aherbert,aherbert,5,"['README.md', 'commons-rng-client-api/README.md', 'commons-rng-core/README.md', 'commons-rng-sampling/README.md', 'commons-rng-simple/README.md']",Update project README versions from 1.4 to 1.5,
11f8c421da015fecba932b8aad1e788262ae32d9,aherbert,aherbert,18,"['commons-rng-bom/README.md', 'commons-rng-bom/pom.xml', 'commons-rng-client-api/pom.xml', 'commons-rng-core/pom.xml', 'commons-rng-examples/examples-jmh/pom.xml', 'commons-rng-examples/examples-jpms/jpms-app/pom.xml', 'commons-rng-examples/examples-jpms/jpms-lib/pom.xml', 'commons-rng-examples/examples-jpms/pom.xml', 'commons-rng-examples/examples-jpms/runApp.sh', 'commons-rng-examples/examples-quadrature/pom.xml', 'commons-rng-examples/examples-sampling/pom.xml', 'commons-rng-examples/examples-stress/pom.xml', 'commons-rng-examples/pom.xml', 'commons-rng-sampling/pom.xml', 'commons-rng-simple/pom.xml', 'dist-archive/pom.xml', 'docs-archive/pom.xml', 'pom.xml']",Bump project version 1.5-SNAPSHOT to 1.6-SNAPSHOT,
4b0cd5138c627ceeb422a49a08efae09e5092ef5,aherbert,aherbert,8,"['RELEASE-NOTES.txt', 'commons-rng-client-api/src/site/site.xml', 'commons-rng-core/src/site/site.xml', 'commons-rng-sampling/src/site/site.xml', 'commons-rng-simple/src/site/site.xml', 'src/changes/changes.xml', 'src/site/resources/release-notes/RELEASE-NOTES-1.5.txt', 'src/site/xdoc/download_rng.xml']",Updated project documentation following release of version 1.5,
53e1293f44295ab398ba435b7402de8bb2f6bbe0,sebbASF,sebbASF,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
53d7634d3a2dfe1d69b1c6965d9ac49655634027,aherbert,aherbert,1,['commons-rng-bom/pom.xml'],Correct typo and remove trailing whitespace,
32ac6ac9c2b335f7d9abec61c8da0f4870896ff2,aherbert,aherbert,1,['commons-rng-bom/pom.xml'],"Add sign-and-deploy of generated BOM when using GPG

This is used for the commons release process to sign the correct
artifact.",
bde199755a6cf7649ed7d17e5103978d2d82f14c,aherbert,aherbert,1,['commons-rng-bom/src/main/resources-filtered/bom.xml'],Explicit project prefix for filtered properties.,
8aabac1ecd4d8ecd9e1882b0b8be74a758641dc1,aherbert,aherbert,1,['src/changes/changes.xml'],"Add note about matched versions required for client-api and core

Relates to RNG-176: The addition of default methods to
UniformRandomProvider in the client-api removed the same method
implementations from the core module.",
936388d1073aba49851c8c62ca1df010f1cda479,aherbert,aherbert,1,['src/changes/changes.xml'],Include Jira project prefix (RNG-) in changes issue attribute,
db6b2123e290ce8f42d54ca0dadb5e1d7231df5d,aherbert,aherbert,1,['src/changes/changes.xml'],Correct version in release notes description,
eeeebc6dc5b4562934c75dcb7d0890bbae76656d,aherbert,aherbert,15,"['commons-rng-bom/pom.xml', 'commons-rng-bom/src/main/resources-filtered/bom.xml', 'commons-rng-client-api/pom.xml', 'commons-rng-core/pom.xml', 'commons-rng-examples/examples-jmh/pom.xml', 'commons-rng-examples/examples-jpms/jpms-app/pom.xml', 'commons-rng-examples/examples-jpms/jpms-lib/pom.xml', 'commons-rng-examples/examples-jpms/pom.xml', 'commons-rng-examples/examples-quadrature/pom.xml', 'commons-rng-examples/examples-sampling/pom.xml', 'commons-rng-examples/examples-stress/pom.xml', 'commons-rng-examples/pom.xml', 'commons-rng-sampling/pom.xml', 'commons-rng-simple/pom.xml', 'dist-archive/pom.xml']",Use standard headers for pom xml files,
3bbe34754ace2417ea358e15cb57aa1b05a19497,aherbert,aherbert,1,['src/changes/changes.xml'],Track changes,
