hash,authors,committer,changes_FileNum,changed_files,message,bug_id
edc12c01fe72d1f7d6f9aeb09b0f4dbfd39d69d7,rm5248,rm5248,1,['NOTICE'],update copyright year,
7cd3f51998d916857a6799ae272f6014f4343875,rm5248,rm5248,1,['src/main/abi-symbols/abi.dump'],Update symbols for release,
4628e831cde17c589fb322daa453edbd39579b58,rm5248,rm5248,3,"['CMakeLists.txt', 'src/cmake/projectVersionDetails.cmake', 'src/main/cpp/CMakeLists.txt']",Turned ABI version into cmake variable,
debb82f067e5a0878970a64ff35e448d47c01be8,rm5248,rm5248,1,['CMakeLists.txt'],Change version and SOVERSION to be consistent with each other,
42aa08aa8891051c1d84088e26648c43203938a3,rm5248,rm5248,7,"['src/site/doxy/Doxyfile.in', 'src/site/doxy/footer.html', 'src/site/markdown/3-development.md', 'src/site/markdown/community/issue-tracking.md', 'src/site/markdown/community/mailing-lists.md', 'src/site/markdown/index.md', 'src/site/markdown/library-design.md']",Fix some bad output with latest doxygen version,
c3dbaff2ddfe6ccc1682b32eb619e49cc0b52a36,rm5248,rm5248,2,"['src/site/markdown/change-report-gh.md', 'src/site/markdown/changes-notes.md']",Updated changelog,
cbd23ff1068b5bb576d41dadd72815527e98c431,swebb2066,web-flow,6,"['src/cmake/boost-fallback/boost-std-configuration.h.cmake', 'src/cmake/boost-fallback/makeunique.h.cmake', 'src/main/cpp/multiprocessrollingfileappender.cpp', 'src/main/cpp/timebasedrollingpolicy.cpp', 'src/main/include/CMakeLists.txt', 'src/main/include/log4cxx/log4cxx.h.in']",Prevent compilation error using a C++11 standard compiler (#175),
c1c21eeca92e312e248e6384e6c588d42e40e7a8,stephen-webb,stephen-webb,1,['src/test/cpp/benchmark/benchmark.cpp'],Prevent compilation error when using the google benchmark test,
8f30059b9099525b0536bc9becaa01f8617479c3,rm5248,rm5248,1,['README.md'],Merge branch 'master' into next_stable,
7feb26f9c405c295c6fc85c0232cb4d88e77fff4,rm5248,rm5248,2,"['CMakeLists.txt', 'src/cmake/projectVersionDetails.cmake']",Update version and soversion for shared library,
bffa0d970d6b609a2312ab6955dea7dbd0eb9414,rm5248,web-flow,4,"['src/main/include/log4cxx/logger.h', 'src/site/markdown/1-usage.md', 'src/site/markdown/macros-influencing-log4cxx.md', 'src/site/markdown/stacktrace.md']","LOGCXX-567 (#170)

Added stacktrace to assert statements and document how to use it.",LOGCXX-567
ad751d5fc523205e47fda013df0ff51691eaffb3,stephen-webb,stephen-webb,1,['src/main/include/log4cxx/writerappender.h'],Prevent compilation error when the log4cxx user uses a different C++ standard to the log4cxx build,
426de9be50dd73ec251da7029b62145e55c2b593,stephen-webb,stephen-webb,1,['src/main/include/log4cxx/log4cxx.h.in'],Prevent compilation error when the log4cxx user uses a different C++ standard to the log4cxx build,
6600ae18a3bc6ca8c18905417a904ab4626eb904,stephen-webb,stephen-webb,3,"['src/main/cpp/date.cpp', 'src/main/cpp/filewatchdog.cpp', 'src/main/cpp/socketappenderskeleton.cpp']",Prevent compilation errors where std::chrono is used,
a176d00d64551c6fbe621708596288cd5b029ed1,stephen-webb,stephen-webb,1,['src/main/cpp/CMakeLists.txt'],Prevent build error when including log4cxx from a higher-level CMake file,
0f79f6275adea642967adc2e24b1af1489df32ac,rm5248,web-flow,3,"['src/main/cpp-qt/CMakeLists.txt', 'src/main/cpp-qt/configuration.cpp', 'src/main/include/log4cxx-qt/configuration.h']",LOGCXX-572 Add support to Qt to reload config file when it changes (#174),LOGCXX-572
96f50bdaab7d76d6bbe4fcc6fd6e041586e8ecc9,rm5248,web-flow,2,"['src/main/cpp/defaultconfigurator.cpp', 'src/main/include/log4cxx/defaultconfigurator.h']",LOGCXX-574 Provide a list of files/directories to look in for files (#173),LOGCXX-574
f3eaedece37af0d2a822fb8af8ee6d806234a89e,rm5248,web-flow,5,"['src/main/cpp/domconfigurator.cpp', 'src/main/cpp/propertyconfigurator.cpp', 'src/main/include/log4cxx/propertyconfigurator.h', 'src/main/include/log4cxx/spi/configurator.h', 'src/main/include/log4cxx/xml/domconfigurator.h']","LOGCXX-573 Give the user feedback if things are configured (#172)

When configuring Log4cxx with an XML file or a properties file, feedback will now be given to the user to know if the configuration was successful or not.",LOGCXX-573
