Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,THRIFT-5530,13430818,,could not resolve plugin artifact 'com.github.johnrengelman.shadow:com.github.johnrengelman.shadow.gradle.plugin:4.0.4',jensg,jensg,Blocker,Resolved,Cannot Reproduce,26/Feb/22 12:09,01/Mar/22 22:27,
Bug,,THRIFT-5170,13296896,,Node.js not working at all for Thrift 0.13.0 as published to npm,emmenlau,jrajav,Blocker,Closed,Duplicate,07/Apr/20 19:14,02/Mar/21 19:34,
Bug,,THRIFT-5120,13287852,,TypeError: fs.copyFileSync is not a function,janosvitok,jensg,Blocker,Closed,Fixed,26/Feb/20 21:10,02/Mar/21 19:34,
Bug,,THRIFT-4815,13220804,,Golang thrift and Python don't write the same messages,jking3,tmjbunny,Blocker,Closed,Not A Bug,11/Mar/19 10:44,02/Mar/21 19:33,
Bug,,THRIFT-5111,13287065,,CI fails with error[E0721]: `await` is a keyword in the 2018 edition,janosvitok,jensg,Blocker,Closed,Fixed,23/Feb/20 14:33,11/Feb/21 22:27,
Bug,,THRIFT-5087,13283791,,"test/test.py fails with ""AssertionError: Python 3.3 or later is required for proper operation.""",janosvitok,jensg,Blocker,Closed,Fixed,06/Feb/20 21:57,11/Feb/21 22:27,
Bug,,THRIFT-5255,13319369,,Fix stack overflow in framed transport,wangyunjian,wangyunjian,Blocker,Closed,Fixed,26/Jul/20 13:03,11/Feb/21 22:26,
Bug,,THRIFT-5115,13287278,,PR #2022 Updated gradle to 6.2 broke CI,emmenlau,jensg,Blocker,Closed,Fixed,24/Feb/20 17:55,11/Feb/21 22:26,
Improvement,,THRIFT-5084,13283534,,Swift: Server-side support for Multiplexing Services,alexanderedge,alexanderedge,Blocker,Closed,Fixed,05/Feb/20 17:00,11/Feb/21 22:26,
Bug,,THRIFT-4874,13235703,,Thrift 0.12.0 Source Distribution (.tar.gz) Contains Hardlinks - Extract Fails,jensg,danieljewell,Blocker,Closed,Fixed,27/May/19 00:18,16/Oct/19 22:28,
Bug,,THRIFT-4855,13230577,,"go CI fails with ""cannot find package ""golang.org/x/tools/go/packages"" in any of ...""",dcelasun,jensg,Blocker,Closed,Fixed,28/Apr/19 21:56,16/Oct/19 22:27,
Story,,THRIFT-4769,13213585,,Change NuGet package to use netstd artifact,jensg,jking3,Blocker,Closed,Fixed,03/Feb/19 15:44,16/Oct/19 22:27,
Bug,,THRIFT-4907,13244059,,strong named assemblies wanted,jensg,Falco20019,Blocker,Closed,Fixed,10/Jul/19 09:35,16/Oct/19 22:27,
Bug,,THRIFT-4834,13223011,,CI error at Haskell: Failed to load interface for `Network',jking3,jensg,Blocker,Closed,Fixed,21/Mar/19 07:57,16/Oct/19 22:27,
Request,,THRIFT-4688,13206627,,Add thrift 0.12.0 to npmjs and/or add committers to apache org account,wadey,jking3,Blocker,Closed,Fixed,27/Dec/18 15:45,12/Feb/19 12:16,
Bug,,THRIFT-4202,13073125,,Thrift docker image files fail to build in Travis build: npm errors,,jking3,Blocker,Closed,Duplicate,18/May/17 12:47,04/Jan/19 03:09,
Bug,,THRIFT-3983,13022927,,libthrift is deployed on central with pom packaging instead of jar,jking3,slandelle,Blocker,Closed,Fixed,23/Nov/16 16:58,27/Dec/18 15:25,
Bug,,THRIFT-4259,13089086,,Thrift does not compile due to Ant Maven task errors,jking3,jfurmankiewicz,Blocker,Closed,Fixed,21/Jul/17 16:07,27/Dec/18 15:24,
Question,,THRIFT-4630,13184564,,gcc 4.8.5 not pass,jking3,eeliu,Blocker,Closed,Information Provided,12/Sep/18 10:22,13/Sep/18 00:03,
Bug,,THRIFT-4131,13058616,,Javascript with WebSocket handles oneway methods wrong,jking3,mh_newtec,Blocker,Closed,Fixed,23/Mar/17 14:38,27/Jun/18 15:20,
