hash,authors,committer,changes_FileNum,changed_files,message,bug_id
6d30e1dfb45b97f26a49833acb3ab8a7198eac5b,,,1,['core/test/org/apache/pivot/beans/test/BeanAdapterTest.java'],"PIVOT-999: Fix BeanAdapterTest to compile under Java 8 (worked with Java 10...)


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1865083 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-999
46be62da53614b4d936bdc7399825ba970670904,,,1,['demos-server/src/org/apache/pivot/demos/rest/server/RESTDemoServlet.java'],"PIVOT-999: Consolidate ""catch"" clauses in a demo program.


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1865080 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-999
2fca86a74a9223363af11c4ac06512013dd2cb58,,,2,"['core/src/org/apache/pivot/beans/BeanAdapter.java', 'core/test/org/apache/pivot/beans/test/BeanAdapterTest.java']","PIVOT-999: Replace ""putAll"" method in BeanAdapter with generic one from
Dictionary. Add test of this in BeanAdapterTest.


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1865079 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-999
f0cbdd6df4b2e3e09d50b40ae77cb7d7dd70013e,,,17,"['tutorials/src/org/apache/pivot/tutorials/bxmlexplorer/FakeWindowSkin.java', 'tutorials/src/org/apache/pivot/tutorials/databinding/PropertyBinding.java', 'wtk-terra/src/org/apache/pivot/wtk/skin/terra/TerraActivityIndicatorSkin.java', 'wtk-terra/src/org/apache/pivot/wtk/skin/terra/TerraAlertSkin.java', 'wtk-terra/src/org/apache/pivot/wtk/skin/terra/TerraCheckboxSkin.java', 'wtk-terra/src/org/apache/pivot/wtk/skin/terra/TerraDialogSkin.java', 'wtk-terra/src/org/apache/pivot/wtk/skin/terra/TerraFrameSkin.java', 'wtk-terra/src/org/apache/pivot/wtk/skin/terra/TerraMenuSkin.java', 'wtk-terra/src/org/apache/pivot/wtk/skin/terra/TerraPaletteSkin.java', 'wtk-terra/src/org/apache/pivot/wtk/skin/terra/TerraRadioButtonSkin.java', 'wtk-terra/src/org/apache/pivot/wtk/skin/terra/TerraSheetSkin.java', 'wtk/src/org/apache/pivot/wtk/CSSColor.java', 'wtk/src/org/apache/pivot/wtk/content/ColorItem.java', 'wtk/src/org/apache/pivot/wtk/content/ListButtonColorItemRenderer.java', 'wtk/src/org/apache/pivot/wtk/content/ListViewColorItemRenderer.java', 'wtk/src/org/apache/pivot/wtk/util/ColorUtilities.java', 'wtk/test/org/apache/pivot/wtk/test/ColorUtilitiesTest.java']","PIVOT-1046: Implement the new ColorUtilities methods, deprecate the old one and
refactor all callers to use the new methods.


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1864994 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-1046
e12dd958af38bdb1de3cfaf8938e7e2a713a17e5,,,7,"['core/src/org/apache/pivot/collections/ArrayAdapter.java', 'core/src/org/apache/pivot/collections/ArrayList.java', 'core/src/org/apache/pivot/collections/EnumList.java', 'core/src/org/apache/pivot/collections/ReadOnlySequence.java', 'core/src/org/apache/pivot/collections/immutable/ImmutableList.java', 'core/test/org/apache/pivot/collections/test/ArrayListTest.java', 'wtk/src/org/apache/pivot/wtk/content/NumericSpinnerData.java']","PIVOT-1045: Start refactoring the read-only collections to use a common base class:
* Implement ReadOnlySequence which just throws the exception for the applicable methods.
* Redo ArrayAdapter, EnumList, ImmutableList, and NumericSpinnerData as the first fruits.
* Misc. changes to ArrayList to spiff it up, including removing the now redundant ""addAll""
  method, adding a constructor with capacity and comparator and redoing binarySearch to
  use the default comparator from Arrays.binarySearch. Add a test of that to ArrayListTest.
* Correct some small style errors as well (mostly Javadoc and final parameters).


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1864990 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-1045
130486761243bf1c4dabdcd268edafff8adbd1bc,,,1,['tutorials/src/org/apache/pivot/tutorials/bxmlexplorer/BXMLExplorerDocument.java'],"PIVOT-1044: Fix BXMLExplorerDocument to use the new Files methods to
avoid instantiating a FileInputStream.


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1861203 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-1044
f1565bc3b399db1ffb05b15832a78b532326732f,,,3,"['demos/src/org/apache/pivot/demos/dnd/FileDropTargetDemo.java', 'demos/src/org/apache/pivot/demos/xml/XMLViewer.java', 'wtk/src/org/apache/pivot/wtk/media/BufferedImageSerializer.java']","PIVOT-1032: Misc. small style changes.


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1861202 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-1032
25fa51747012ee9e530ec9d35c6a00cba0ba3f71,,,6,"['tests/src/org/apache/pivot/tests/BXMLDictionaryTest.java', 'tests/src/org/apache/pivot/tests/EnumBeanTest.java', 'tests/src/org/apache/pivot/tests/JSONBeanTest.java', 'tests/src/org/apache/pivot/tests/MessageBusTest.java', 'tests/src/org/apache/pivot/tests/ResultListTest.java', 'tests/src/org/apache/pivot/tests/issues/Pivot751WithoutGUI.java']","PIVOT-1032: Get rid of HideUtilityClassConstructor errors everywhere
(all were test programs at this point).


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1861148 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-1032
f4977c2023c2604e8a069bb52ef9b803e4f04553,,,1,['wtk/src/org/apache/pivot/wtk/GraphicsUtilities.java'],"PIVOT-1032: Concerted effort to completely eliminate style errors
(not quite there though) in one core class.  Mostly missing Javadoc
and MagicNumber errors.


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1860685 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-1032
eda84856b557394f71be56b03012fa24bb023e6a,,,3,"['wtk/src/org/apache/pivot/wtk/DesktopApplicationContext.java', 'wtk/src/org/apache/pivot/wtk/GraphicsUtilities.java', 'wtk/src/org/apache/pivot/wtk/ListView.java']","PIVOT-1032: Fix the EmptyBlock and NestedBlock style errors in
""core"" (that is, non-demo or tutorial) classes.


git-svn-id: https://svn.apache.org/repos/asf/pivot/trunk@1860674 13f79535-47bb-0310-9956-ffa450edef68",PIVOT-1032
