Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
New Feature,LIBCLOUD-508,12692715,Add the ability to register an Amazon Machine Image (AMI) to ec2 driver,,cderamus,Trivial,Resolved,Fixed,02/Feb/14 15:34,02/Feb/14 18:32,
Improvement,LIBCLOUD-505,12692709,Add pause/suspend support into the openstack driver.,,cderamus,Trivial,Resolved,Fixed,02/Feb/14 13:24,02/Feb/14 14:45,
Improvement,LIBCLOUD-502,12692491,HP Cloud OpenStack connect example fix,,mgogoulos,Trivial,Resolved,Fixed,31/Jan/14 11:14,31/Jan/14 11:34,
Improvement,LIBCLOUD-493,12688446,Add additional node properties to extra dict,,cderamus,Trivial,Resolved,Fixed,12/Jan/14 12:29,12/Jan/14 17:02,
Improvement,LIBCLOUD-485,12686781,Add resource extra dictionary constant to ec2 ,,cderamus,Trivial,Resolved,Fixed,30/Dec/13 18:49,02/Jan/14 00:07,
Improvement,LIBCLOUD-486,12686791,Rename ex_destroy_image within ec2 driver,,cderamus,Trivial,Open,,30/Dec/13 19:40,30/Dec/13 19:40,
Improvement,LIBCLOUD-466,12685814,Add ingress/egress VPC support to security group rules,,cderamus,Trivial,Resolved,Fixed,20/Dec/13 13:50,29/Dec/13 15:57,
Improvement,LIBCLOUD-480,12686668,Add additional properties/logic to ec2 snapshot calls,,cderamus,Trivial,Resolved,Fixed,29/Dec/13 12:20,29/Dec/13 15:22,
Improvement,LIBCLOUD-477,12686542,Add utility function for creating the extra dictionary within ec2,,cderamus,Trivial,Resolved,Fixed,27/Dec/13 17:56,27/Dec/13 19:13,
Improvement,LIBCLOUD-473,12686421,Add EBS attributes into extra dictionary for _to_volume within EC2,,cderamus,Trivial,Resolved,Fixed,26/Dec/13 14:57,27/Dec/13 12:18,
New Feature,LIBCLOUD-471,12686194,Add a call to get instance console data for EC2/Eucalyptus,,cderamus,Trivial,Resolved,Fixed,23/Dec/13 19:13,26/Dec/13 17:08,
New Feature,LIBCLOUD-472,12686417,Add OpenStack list API service/endpoint ,,cderamus,Trivial,Closed,Implemented,26/Dec/13 13:46,26/Dec/13 14:13,
Improvement,LIBCLOUD-469,12685977,Add Reserved Instance support to EC2 driver,,cderamus,Trivial,Resolved,Fixed,21/Dec/13 17:59,23/Dec/13 18:40,
Bug,LIBCLOUD-439,12679150,Cloudstack list_nodes does not fill in image field,,creategui,Trivial,Resolved,Fixed,14/Nov/13 04:56,17/Dec/13 21:19,
Improvement,LIBCLOUD-395,12667802,Unify metadata handling in AWS and OpenStack,,ikusalic,Trivial,Resolved,Fixed,10/Sep/13 13:11,28/Nov/13 10:17,
Improvement,LIBCLOUD-383,12665308,Elastichosts driver missing us-3 api endpoint classes,,bennettaur,Trivial,Closed,Fixed,23/Aug/13 19:41,28/Nov/13 09:02,
New Feature,LIBCLOUD-382,12665215,Add support for floating IPs to OpenStack,kami,ikusalic,Trivial,Closed,Fixed,23/Aug/13 12:08,28/Nov/13 09:02,
Improvement,LIBCLOUD-375,12664616,Unify ex argument for security groups of create_node for AWS and OpenStack,,ikusalic,Trivial,Closed,Fixed,20/Aug/13 13:56,28/Nov/13 09:01,
Wish,LIBCLOUD-443,12680279,OpenNebula driver : create_node with N disks,,ubeda,Trivial,Open,,20/Nov/13 13:31,20/Nov/13 13:31,
Improvement,LIBCLOUD-327,12648329,Some PEP 8 clean up,,leekchan,Trivial,Closed,Won't Fix,19/May/13 02:11,12/Oct/13 19:01,
