Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,PHOENIX-6187,13335462,, Avoid swallowing UPSERT... ON DUPLICATION KEY UPDATE failures,m2je,m2je,Critical,Open,,14/Oct/20 17:39,22/Nov/20 03:42,
Bug,PHOENIX-6230,13341587,,IT suite hangs on ViewConcurrencyAndFailureIT,ckulkarni,stoty,Critical,Resolved,Fixed,19/Nov/20 13:09,20/Nov/20 18:20,
Bug,PHOENIX-6191,13335688,,Creating a view which has its own new columns should also do checkAndPut checks on SYSTEM.MUTEX,ckulkarni,ckulkarni,Critical,Resolved,Fixed,15/Oct/20 23:32,19/Nov/20 13:09,
Improvement,PHOENIX-5414,13247049,,Design High-Level wrapper for IndexTool,,vkrava4,Critical,Resolved,Incomplete,25/Jul/19 12:12,12/Nov/20 14:26,
Bug,PHOENIX-6083,13323413,,View index creation does a checkAndPut on an incorrect row key,richardantal,ckulkarni,Critical,Resolved,Resolved,18/Aug/20 18:09,09/Nov/20 08:09,
Bug,PHOENIX-6179,13334060,,Relax the MaxLookBack age checks during an upgrade,vjasani,jisaac,Critical,Resolved,Fixed,06/Oct/20 19:41,31/Oct/20 06:17,
Task,PHOENIX-5384,13243033,,"org.apache.hadoop.hbase.client.NoServerForRegionException: No server address listed in hbase:meta for region SYSTEM.CATALOG,,1561983176360.29b36daaceebbfc1ff863e445e9f4cd5. containing row",,Prady,Critical,Resolved,Not A Bug,03/Jul/19 15:34,15/Sep/20 18:32,
Bug,PHOENIX-5462,13254371,,Region Server crash with: Added a key not lexically larger than previous,,0x62ash,Critical,Open,,03/Sep/19 11:36,15/Sep/20 18:29,
Bug,PHOENIX-5673,13278956,,The mutation state is silently getting cleared on the execution of any DDL,siddhimehta,sandeep.guggilam,Critical,Resolved,Fixed,12/Jan/20 21:32,04/Sep/20 16:09,
Bug,PHOENIX-5967,13312540,,phoenix-client transitively pulling in phoenix-core,stoty,elserj,Critical,Resolved,Fixed,19/Jun/20 19:25,20/Jul/20 09:33,
Bug,PHOENIX-6001,13316240,,Incremental rebuild/verification can result in missing rows and false positives ,abhishek.chouhan,abhishek.chouhan,Critical,Resolved,Fixed,10/Jul/20 21:11,13/Jul/20 20:13,
Bug,PHOENIX-5861,13299884,,"Delete index data failed,due to pool closed",wangchao316,wangchao316,Critical,Patch Available,,21/Apr/20 06:44,08/Jul/20 02:16,
Sub-task,PHOENIX-5795,13293342,13287858,Supporting selective queries for index rows updated concurrently,kozdemir,kozdemir,Critical,Resolved,Fixed,23/Mar/20 16:49,19/Jun/20 05:22,
Bug,PHOENIX-5656,13276948,,Make Phoenix scripts work with Python 3,richardantal,larsh,Critical,Resolved,Fixed,30/Dec/19 21:36,03/Jun/20 04:25,
Bug,PHOENIX-5889,13304119,,row_timestamp wrong column values for on duplicate key update,,mszpatusko,Critical,Open,,11/May/20 13:17,11/May/20 13:25,
Bug,PHOENIX-5744,13287464,,wrong results when using the local secondary index,,oktaytncy,Critical,Open,,25/Feb/20 10:43,25/Feb/20 10:44,
Bug,PHOENIX-5736,13286113,,Mutable global index rebuilds are incorrect after PHOENIX-5494,,kozdemir,Critical,Closed,Not A Problem,18/Feb/20 22:42,20/Feb/20 07:10,
Bug,PHOENIX-5704,13282486,,Covered column updates are not generated for previously deleted data table row,abhishek.chouhan,abhishek.chouhan,Critical,Resolved,Fixed,30/Jan/20 22:50,04/Feb/20 18:50,
Sub-task,PHOENIX-5366,13241161,13028257,Perform splittable SYSCAT actions on the client only,,larsh,Critical,Closed,Duplicate,24/Jun/19 02:29,21/Dec/19 00:57,
Bug,PHOENIX-5269,13231677,,PhoenixAccessController should use AccessChecker instead of AccessControlClient for permission checks,kiran.maturi,apurtell,Critical,Closed,Fixed,05/May/19 21:16,21/Dec/19 00:56,
Bug,PHOENIX-4872,13181496,,BulkLoad has bug when loading on single-cell-array-with-offsets table.,swaroopa,mini666,Critical,Closed,Fixed,28/Aug/18 01:52,21/Dec/19 00:55,
Bug,PHOENIX-5132,13215119,,View indexes with different owners but of the same base table can be assigned same ViewIndexId,gjacoby,gjacoby,Critical,Closed,Fixed,11/Feb/19 23:35,21/Dec/19 00:55,
Bug,PHOENIX-5348,13239727,,IndexRebuildTaskIT.testIndexRebuildTask flaps (Jenkins only),giskender,larsh,Critical,Closed,Fixed,15/Jun/19 16:59,21/Dec/19 00:54,
Bug,PHOENIX-5226,13225482,, The format of VIEW_MODIFIED_PROPERTY_BYTES is incorrect as a tag of the cell,jaanai,jaanai,Critical,Closed,Fixed,02/Apr/19 12:57,21/Dec/19 00:54,
Task,PHOENIX-5120,13213507,,Avoid using MappedByteBuffers for server side sorting.,larsh,larsh,Critical,Closed,Fixed,02/Feb/19 21:44,21/Dec/19 00:54,
Bug,PHOENIX-3994,13085045,,Index RPC priority still depends on the controller factory property in hbase-site.xml,samarthjain,sergey.soldatov,Critical,Resolved,Fixed,06/Jul/17 04:31,09/Oct/19 14:19,
