hash,authors,committer,changes_FileNum,changed_files,message,bug_id
79842528ff892efd8e580a2885a1bd6a633b24bc,arkanovicz,arkanovicz,4,"['velocity-tools-examples/velocity-tools-examples-showcase/src/main/webapp/number.vm', 'velocity-tools-generic/src/main/java/org/apache/velocity/tools/generic/ConversionTool.java', 'velocity-tools-generic/src/main/java/org/apache/velocity/tools/generic/NumberTool.java', 'velocity-tools-generic/src/test/java/org/apache/velocity/tools/test/whitebox/GenericToolsTests.java']",Add NumberTool.toBoolean() method - fixes VELTOOLS-195,
8c02ce783c173926f6049642814319e17cad3455,arkanovicz,arkanovicz,2,"['velocity-tools-generic/src/main/java/org/apache/velocity/tools/XmlUtils.java', 'velocity-tools-generic/src/main/java/org/apache/velocity/tools/config/CompoundConfiguration.java']",[tools] Fix typos from previous commits,
7c182b10695958da5b6da3dad35fd75b6405e21c,arkanovicz,arkanovicz,1,['velocity-tools-generic/src/main/java/org/apache/velocity/tools/generic/XmlTool.java'],[tools] Address VELTOOLS-194: Deprecate getPath() in favor of getNodePath() for homogeneity with getName()/getNodeName(),
d5ecd327d88ad0ea3b804eaf3ffb8c3e3f0d23d6,arkanovicz,arkanovicz,1,['velocity-tools-generic/src/main/java/org/apache/velocity/tools/XmlUtils.java'],[tools] Fix VELTOOLS-193 : XML comments not accepted,
994c555d6a31e30b3c07daf6921e83e1b3227658,arkanovicz,arkanovicz,4,"['velocity-tools-generic/src/main/java/org/apache/velocity/tools/config/CompoundConfiguration.java', 'velocity-tools-generic/src/main/java/org/apache/velocity/tools/config/EasyFactoryConfiguration.java', 'velocity-tools-generic/src/main/java/org/apache/velocity/tools/config/FactoryConfiguration.java', 'velocity-tools-generic/src/main/java/org/apache/velocity/tools/config/ToolboxConfiguration.java']",[tools] Fix VELTOOLS-192 : EasyFactoryConfiguration.addDefaultTools() overwriting previously added tools,
630e3601ee2f8c8183cc8e5b469511c8c5b2721a,arkanovicz,arkanovicz,1,['.travis.yml'],[tools] Re-enable travis,
6c1da7e5962facecd9d7d34558fda850abed68f2,arkanovicz,arkanovicz,1,['velocity-tools-view/src/main/java/org/apache/velocity/tools/view/BreadcrumbTool.java'],[tools/view] Fix some javadoc,
8a18326b3a5c9b4fe87dfd0465bb070dbdb8417b,arkanovicz,arkanovicz,7,"['pom.xml', 'velocity-tools-examples/pom.xml', 'velocity-tools-examples/velocity-tools-examples-showcase/pom.xml', 'velocity-tools-examples/velocity-tools-examples-simple/pom.xml', 'velocity-tools-generic/pom.xml', 'velocity-tools-view-jsp/pom.xml', 'velocity-tools-view/pom.xml']",[maven-release-plugin] prepare for next development iteration,
8e7f20a477351362ab2d29d564e11e4f5b2b3cd5,arkanovicz,arkanovicz,7,"['pom.xml', 'velocity-tools-examples/pom.xml', 'velocity-tools-examples/velocity-tools-examples-showcase/pom.xml', 'velocity-tools-examples/velocity-tools-examples-simple/pom.xml', 'velocity-tools-generic/pom.xml', 'velocity-tools-view-jsp/pom.xml', 'velocity-tools-view/pom.xml']",[maven-release-plugin] prepare release 3.1-RC1,
06a853959efd335015dde0bec3ed295762259252,arkanovicz,arkanovicz,1,['pom.xml'],[tools] Switch scm URLS from svn to git,
b7a144d80c467f27d8a3b60da2f7b133d8fb6fd6,arkanovicz,arkanovicz,1,['pom.xml'],[tools] Anticipate velocity-master and velocity-engine upcoming releases,
19daa19eca7a76a2149679703eb5e8517a23e25a,arkanovicz,arkanovicz,1,['.travis.yml.disabled'],[tools] Disable travis temporarily,
c72f00e5a29dd1e82ac69c8eda7bd3928084f27b,arkanovicz,arkanovicz,1,['pom.xml'],"[tools] Update junit, easymock and slf4j versions",
