Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,SSHD-1298,13482934,,password less sudo user commands execution and file.,,sivaprasad,Blocker,Resolved,Duplicate,23/Sep/22 12:35,19/Oct/22 10:03,
Bug,SSHD-1195,13388897,,User id/ Group id  of the file and directories are not shown correctly for a single file,,Susmit07,Blocker,Resolved,Not A Problem,11/Jul/21 18:23,25/Sep/22 21:27,
Question,SSHD-1157,13374943,,Fetching valuable handshake informations during login,,Susmit07,Blocker,Resolved,Information Provided,25/Apr/21 19:48,12/May/22 08:51,
Bug,SSHD-1236,13421238,,"java.lang.NoClassDefFoundError: Failed resolution of: Ljavax/management/ReflectionException;",,wqbs369,Blocker,Closed,Not A Problem,07/Jan/22 08:16,24/Jan/22 07:40,
Improvement,SSHD-1169,13379081,,Sftp Server throughput is lagging for concurrent threads,,Susmit07,Blocker,Open,,18/May/21 15:01,15/Dec/21 04:54,
Task,SSHD-1162,13377790,,Make sure the project is built using a <release>1.8</release>,gnodet,gnodet,Blocker,Resolved,Fixed,11/May/21 07:28,29/Nov/21 12:37,
Bug,SSHD-1215,13402498,,WinsCP transfer failure to Apache SSHD Server,twolf,roberto.deandrea,Blocker,Resolved,Fixed,21/Sep/21 15:14,16/Nov/21 17:16,
Bug,SSHD-1203,13392747,,[[ssh-dss]] none of the keys appears in supported list,,Susmit07,Blocker,Closed,Information Provided,30/Jul/21 11:47,01/Sep/21 19:11,
Question,SSHD-1165,13378843,,Correct way to set the tuning parameters in a SSHDServer,,Susmit07,Blocker,Resolved,Information Provided,17/May/21 15:25,02/Aug/21 17:15,
Question,SSHD-1198,13390599,,SFTP property on session time out,,Susmit07,Blocker,Resolved,Information Provided,19/Jul/21 04:33,02/Aug/21 16:57,
Bug,SSHD-1206,13393066,,Facing re-login issue issue in SFTP server with MINA sshd 2.7.0,,Susmit07,Blocker,Closed,Fixed,02/Aug/21 12:24,02/Aug/21 13:39,
Question,SSHD-1189,13388175,,"How to fetch default KEX, ciphers and mac",,Susmit07,Blocker,Resolved,Information Provided,07/Jul/21 12:54,29/Jul/21 17:16,
Bug,SSHD-1201,13392096,,Sever Keys name wrong post upgrade to 2.7.0,,Susmit07,Blocker,Resolved,Not A Problem,27/Jul/21 11:04,27/Jul/21 22:09,
Question,SSHD-1194,13388882,,Session Time Out parameter in SSHD Mina,,Susmit07,Blocker,Resolved,Information Provided,11/Jul/21 13:49,13/Jul/21 15:43,
Question,SSHD-1178,13382045,,SOCKS5 proxy stand-alone code,,Susmit07,Blocker,Resolved,Not A Problem,04/Jun/21 03:50,14/Jun/21 07:38,
Bug,SSHD-1154,13370329,,userauth_pubkey: unsupported public key algorithm: rsa-sha2-512,,umashankar.avagadda,Blocker,Resolved,Duplicate,08/Apr/21 09:26,10/May/21 13:17,
Question,SSHD-1155,13372019,,How to add KeyExchangeAlgo which are deprecated,,Susmit07,Blocker,Resolved,Information Provided,13/Apr/21 11:30,15/Apr/21 10:56,
Question,SSHD-1151,13368210,,How to check if NIO Worker Threads are getting set,,Susmit07,Blocker,Resolved,Information Provided,28/Mar/21 14:45,28/Mar/21 16:39,
Question,SSHD-1142,13365336,,To pick up Mac/Cipher preferred values out of the default list,,Susmit07,Blocker,Resolved,Information Provided,15/Mar/21 20:01,18/Mar/21 19:53,
Question,SSHD-1124,13358657,,Starting sshdServer compile time error,,Susmit07,Blocker,Resolved,Information Provided,15/Feb/21 13:17,16/Feb/21 16:46,
Bug,SSHD-1115,13348247,,"after client send FIN message, server failed excute close, leads to server under CLOSE_WAIT status ",,fezz,Blocker,Resolved,Duplicate,29/Dec/20 07:56,21/Jan/21 07:49,
Question,SSHD-1101,13338844,,Getting  org.apache.sshd.common.util.buffer.Buffer object in custom ScpFileOpener class,,Susmit07,Blocker,Resolved,Information Provided,04/Nov/20 14:49,12/Nov/20 18:02,
Question,SSHD-1093,13336535,,Help on permissions on SCP and SFTP operations,,Susmit07,Blocker,Resolved,Fixed,21/Oct/20 18:23,22/Oct/20 18:46,
Question,SSHD-1044,13319718,,How to improve sftp transfer speed,gnodet,barry-gq,Blocker,Resolved,Not A Problem,28/Jul/20 09:48,30/Jul/20 02:55,
