Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,WICKET-302,12363255,toString needs to be overriden in PortletRequest,janne,cserepj,Trivial,Closed,Fixed,20/Feb/07 18:31,20/Feb/07 19:52,
Improvement,WICKET-204,12360264,Add a default css for the palette component,almaw,gregory4662,Trivial,Resolved,Fixed,11/Jan/07 09:28,12/Feb/07 10:09,
Task,WICKET-263,12362239,pom.xml wicket-parent issue,almaw,nilostep,Trivial,Resolved,Fixed,07/Feb/07 20:09,08/Feb/07 03:16,
Bug,WICKET-217,12360752,ContainerFeedbackMessageFilter filters out messages for container,,jan_bar,Trivial,Resolved,Fixed,18/Jan/07 11:36,30/Jan/07 01:03,
Wish,WICKET-239,12361388,include the page-render duration in the final markup (or somewhere else),jcompagner,jvassev,Trivial,Closed,Invalid,27/Jan/07 13:24,28/Jan/07 16:51,
Improvement,WICKET-76,12355753,spanish ApplicationProperties file,frankbille,pepone,Trivial,Closed,Fixed,15/Nov/06 16:55,03/Jan/07 21:11,
Improvement,WICKET-105,12356517,Remove RequiredTextField from 2.0,ivaynberg,dashorst,Trivial,Resolved,Fixed,23/Nov/06 22:35,30/Dec/06 07:02,
Improvement,WICKET-190,12359540,Make RestartResponseException & Co faster,ivaynberg,martin-g,Trivial,Resolved,Fixed,29/Dec/06 15:12,29/Dec/06 16:43,
Improvement,WICKET-111,12356983,Application_ru.xml,,syl,Trivial,Closed,Fixed,27/Nov/06 05:07,27/Nov/06 05:28,
Improvement,WICKET-91,12356065,Russian Application.properties,,syl,Trivial,Closed,Fixed,18/Nov/06 12:50,27/Nov/06 05:25,
Wish,WICKET-94,12356103,Remove final from Component#add(IBehavior),ehillenius,ehillenius,Trivial,Closed,Fixed,19/Nov/06 07:01,19/Nov/06 07:01,
Bug,WICKET-32,12354750,wicket-xhtml1-strict.dtd missing from distribution archive,dashorst,obeliks,Trivial,Resolved,Fixed,04/Nov/06 00:32,11/Nov/06 19:40,
Bug,WICKET-29,12354738,javascript error in wicket-ajax.js: Wicket.Log.Error is not a function,knopp,kissd,Trivial,Resolved,Fixed,03/Nov/06 20:59,03/Nov/06 22:19,
