Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,MRUNIT-194,12684286,,Update versions of Hadoop we compile against,brocknoland,brocknoland,Blocker,Resolved,Fixed,12/Dec/13 15:25,06/Jun/14 20:44,
Bug,MRUNIT-190,12654565,,Use mvn enforcer plugin to ensure that a non-vulnerable version of java is used for javadoc generation,brocknoland,brocknoland,Blocker,Resolved,Fixed,24/Jun/13 18:44,06/May/14 21:56,
Bug,MRUNIT-192,12669570,,MRUNIT-180 requires values be comparable,bdechoux,brocknoland,Blocker,Resolved,Fixed,19/Sep/13 22:10,06/May/14 21:56,
Bug,MRUNIT-203,12702054,,tarballs should extract to dirs with the same name as tarball,brocknoland,brocknoland,Blocker,Resolved,Fixed,18/Mar/14 03:30,06/May/14 21:56,
Bug,MRUNIT-188,12650810,,Throw assertion error if drivers are reused,TerryKoch,brocknoland,Blocker,Resolved,Fixed,04/Jun/13 03:54,24/Oct/13 21:48,
Improvement,MRUNIT-138,12602662,,Multiple calls to withInput should be supported,agiamas,dbeech,Blocker,Resolved,Fixed,09/Aug/12 20:47,04/Jun/13 03:54,
New Feature,MRUNIT-3,12503881,,Add Apache RAT support to the build,esammer,esammer,Blocker,Resolved,Fixed,10/Apr/11 20:21,02/May/13 02:29,
Bug,MRUNIT-179,12634991,,Set mapred.output.dir and mapred.input.dir in trunk,brocknoland,brocknoland,Blocker,Resolved,Fixed,03/Mar/13 00:06,03/Mar/13 06:05,
Bug,MRUNIT-167,12624351,,context passed to an OuputFormatter is ignored by the framework,brocknoland,phunt,Blocker,Resolved,Fixed,17/Dec/12 21:43,01/Mar/13 15:41,
Bug,MRUNIT-161,12617149,,some distributed cache apis not working - JobContext getCacheArchives(),brocknoland,phunt,Blocker,Resolved,Fixed,21/Nov/12 17:58,07/Jan/13 20:18,
Improvement,MRUNIT-136,12602612,,PipelineMapReduceDriver needs withAll/addAll methods,dbeech,brocknoland,Blocker,Resolved,Fixed,09/Aug/12 18:39,06/Oct/12 16:59,
Bug,MRUNIT-130,12601451,,"Download page does not point to KEYS; no hashes in download area; must not advertise snapshot builds",brocknoland,sebb,Blocker,Resolved,Fixed,04/Aug/12 09:23,04/Oct/12 14:25,
Question,MRUNIT-135,12602562,,"How to test a TableMapper<Text,Text> with mrunit.",dbeech,tarunadiwal,Blocker,Resolved,Not A Problem,09/Aug/12 17:04,07/Sep/12 10:35,
Bug,MRUNIT-56,12540975,,0.8.0 release does not work with Hadoop 0.23,brocknoland,tomwhite,Blocker,Resolved,Fixed,02/Feb/12 18:43,02/Mar/12 05:32,
Task,MRUNIT-2,12503880,,Create a project site,,esammer,Blocker,Resolved,Fixed,10/Apr/11 20:19,27/Nov/11 23:50,
New Feature,MRUNIT-16,12508498,,Generate distribution artifacts from maven,esammer,esammer,Blocker,Resolved,Fixed,27/May/11 00:26,27/May/11 01:11,
Bug,MRUNIT-10,12507071,,Version in pom should contain -incubating per policy,esammer,esammer,Blocker,Resolved,Fixed,13/May/11 01:17,13/May/11 01:29,
Task,MRUNIT-4,12503882,,"Create README, LICENSE, and other necessary files for independent release",esammer,esammer,Blocker,Resolved,Fixed,10/Apr/11 20:24,13/May/11 01:10,
Bug,MRUNIT-6,12506751,,Reverse MAPREDUCE-954 in trunk,esammer,esammer,Blocker,Resolved,Fixed,10/May/11 18:27,11/May/11 22:27,
Bug,MRUNIT-157,12613127,,"allow null keys and values as output, expected output",jdonofrio,lospro7,Critical,Open,,23/Oct/12 12:53,10/Sep/15 16:41,
Bug,MRUNIT-159,12615598,,MRUnit not compiling with hadoop 0.23.3,dbeech,pawloch,Critical,Resolved,Fixed,10/Nov/12 12:05,12/Nov/12 16:48,
Improvement,MRUNIT-84,12546047,,Construct an MRUnit website to replace the existing stub,jdonofrio,brocknoland,Critical,Resolved,Fixed,12/Mar/12 00:39,15/Apr/12 04:27,
Bug,MRUNIT-224,12857682,,Custom Comparators are not used for results written to MultipleOutputs,,zman0900,Major,Open,,20/Aug/15 22:51,05/Apr/16 03:40,
Bug,MRUNIT-225,12947920,,The comparator set for reduce driver does not work for Multiple Outputs,,mohamed.ghouse,Major,Closed,Duplicate,08/Mar/16 06:39,08/Mar/16 06:41,
Question,MRUNIT-217,12751759,,MapReduceDriver does not seem to work with MultipleOutput,rchapin,mlavoie,Major,Open,,30/Oct/14 18:48,01/Mar/16 06:02,
Bug,MRUNIT-223,12856879,,Not able to test the Custom RecordReader input format using MRUnit 1.1.0,,grkmca95,Major,Open,,18/Aug/15 10:20,18/Aug/15 10:20,
Bug,MRUNIT-213,12721195,,MultipleOutputs for Reducers throws Named output 'test' not defined,,jconwell,Major,Open,,13/Jun/14 21:11,31/Jul/15 02:06,
Bug,MRUNIT-221,12785480,,Wrong Generic for setKeyGroupingComparator/setKeyOrderComparator in MultipleInputsMapReduceDriverBase,,mruediger,Major,Reopened,,25/Mar/15 10:58,29/Mar/15 15:14,
New Feature,MRUNIT-205,12707088,,Add support for MultipleInputs,jasonetedor,jasonetedor,Major,Resolved,Fixed,08/Apr/14 01:22,29/Mar/15 01:17,
Bug,MRUNIT-212,12720263,,Shade mockito dependencies,mcdonaldnoland,jarcec,Major,Resolved,Fixed,10/Jun/14 02:45,04/Jan/15 00:04,
Bug,MRUNIT-197,12688369,,Problems using Avro with MRUnit,ndalsass,mhayes,Major,Resolved,Fixed,11/Jan/14 01:16,15/Dec/14 22:30,
New Feature,MRUNIT-13,12508486,,Add support for MultipleOutputs,jdonofrio,esammer,Major,Resolved,Fixed,26/May/11 22:17,10/Dec/14 16:15,
Bug,MRUNIT-216,12749919,,MR Unit's call to key grouping comparator passes different data than Hadoop,,smeder,Major,Open,,22/Oct/14 23:18,08/Dec/14 06:06,
Question,MRUNIT-218,12751771,,What is the equivalent of PipelineMapReduceDriver for the new API?,,mfaucher,Major,Open,,30/Oct/14 19:47,30/Oct/14 19:47,
Bug,MRUNIT-215,12741908,,setMapInputPath() doesn't serve any purpose?,,kenahoo,Major,Open,,16/Sep/14 19:59,17/Sep/14 03:14,
Bug,MRUNIT-214,12731279,,Distributed Cache works differently for mrunit than it does normal,,Darek,Major,Open,,01/Aug/14 07:04,01/Aug/14 07:04,
Bug,MRUNIT-196,12686580,,"Found class TaskInputOutputContext, but interface was expected",,kenahoo,Major,Open,,27/Dec/13 22:55,31/Jul/14 19:59,
Task,MRUNIT-206,12708800,,Please create a DOAP file for your TLP,bdechoux,sebb,Major,In Progress,,16/Apr/14 15:33,02/Jul/14 11:45,
Improvement,MRUNIT-210,12717299,,Update NOTICE.txt for jars included in bin,,brocknoland,Major,Open,,29/May/14 17:18,29/May/14 17:18,
Bug,MRUNIT-198,12692507,,Serialization is missing in MockMultipleOutputs,lgrote,lgrote,Major,Resolved,Fixed,31/Jan/14 13:20,06/May/14 21:56,
Bug,MRUNIT-199,12695481,,Mapper.Context and Reducer.Context are not fully mocked,lukas.nalezenec,lukas.nalezenec,Major,Resolved,Fixed,17/Feb/14 11:04,06/May/14 21:56,
Task,MRUNIT-207,12710993,,Test failure on trunk-hadoop1 branch,jasonetedor,brocknoland,Major,Resolved,Fixed,28/Apr/14 19:01,02/May/14 16:39,
Bug,MRUNIT-160,12615633,,DistributedCache unit tests fail on Mac OS X 10.8.2,dbeech,dfilimon,Major,Resolved,Fixed,11/Nov/12 13:29,30/Apr/14 21:11,
Bug,MRUNIT-204,12702985,,Jira and Wiki tutorial are outdated,,clehene,Major,Open,,21/Mar/14 22:20,27/Mar/14 16:54,
Task,MRUNIT-53,12538195,,Create Tutorial and Guide,twheeler,brocknoland,Major,Open,,12/Jan/12 13:40,22/Mar/14 10:17,
Task,MRUNIT-170,12626401,,Fork Hadoop1 and Hadoop2 support,dbeech,brocknoland,Major,Resolved,Fixed,07/Jan/13 19:52,16/Mar/14 13:36,
Bug,MRUNIT-200,12696867,,Multiple Inputs don't work with ReduceDriver,,akshatgoel,Major,Open,,24/Feb/14 09:03,24/Feb/14 09:03,
Bug,MRUNIT-186,12646196,,method context.getNumReduceTasks() does not work,lukas.nalezenec,lukas.nalezenec,Major,Resolved,Fixed,06/May/13 11:43,14/Feb/14 02:19,
Improvement,MRUNIT-195,12684287,,YARNUnit or YARN App testing framework?,,brocknoland,Major,Open,,12/Dec/13 15:26,12/Dec/13 15:27,
Bug,MRUNIT-191,12654569,,Update javadoc in place to address security vulerability,brocknoland,brocknoland,Major,Resolved,Fixed,24/Jun/13 18:52,24/Jun/13 18:52,
Bug,MRUNIT-181,12637084,,Create website doc on working with Avro,,brocknoland,Major,Open,,14/Mar/13 20:23,13/Jun/13 14:15,
Bug,MRUNIT-129,12601368,,Key object re-use in Reducer is inconsistent with MapReduce behaviour (new API),paulin sanselme,dbeech,Major,Resolved,Fixed,03/Aug/12 13:00,04/Jun/13 06:41,
Bug,MRUNIT-187,12647376,,previous outputs not cleared by ReduceDriver.run(),,jnovak,Major,Resolved,Won't Fix,13/May/13 20:59,04/Jun/13 03:55,
Improvement,MRUNIT-1,12502532,,Port build system to Maven,esammer,esammer,Major,Resolved,Fixed,28/Mar/11 02:26,02/May/13 02:29,
Bug,MRUNIT-185,12643970,,IllegalFormatException for '%' in Output,,jbeard6,Major,Resolved,Fixed,22/Apr/13 18:08,23/Apr/13 18:18,
Improvement,MRUNIT-184,12641461,,Context.write does not accept null key,brocknoland,brocknoland,Major,Resolved,Duplicate,08/Apr/13 21:35,10/Apr/13 14:32,
Sub-task,MRUNIT-183,12640386,12626401,Binary distribution should include only jar with correct classifier,dbeech,dbeech,Major,Resolved,Fixed,02/Apr/13 21:39,02/Apr/13 22:29,
Sub-task,MRUNIT-173,12626404,12626401,Create instructions on building hadoop1 and hadoop2 source/binary tarball,brocknoland,brocknoland,Major,Resolved,Fixed,07/Jan/13 19:54,05/Mar/13 22:38,
Bug,MRUNIT-163,12617238,,getTaskAttemptID is missing from context,dbeech,phunt,Major,Resolved,Fixed,21/Nov/12 23:37,01/Mar/13 17:26,
Sub-task,MRUNIT-174,12626407,12617149,Remove portions of MRUNIT-161 which don't compile on trunk-hadoop1,brocknoland,brocknoland,Major,Resolved,Fixed,07/Jan/13 20:07,07/Feb/13 11:15,
Sub-task,MRUNIT-172,12626403,12626401,Branch trunk should use hadoop 2,brocknoland,brocknoland,Major,Resolved,Fixed,07/Jan/13 19:54,07/Feb/13 00:59,
Sub-task,MRUNIT-176,12631156,12626401,Branch trunk-hadoop1 should use hadoop 1,brocknoland,brocknoland,Major,Resolved,Fixed,06/Feb/13 22:40,06/Feb/13 22:44,
