hash,authors,committer,changes_FileNum,changed_files,message,bug_id
07443607d94fa3caf17dba8e9396c3907115c178,aherbert,aherbert,18,"['commons-numbers-angle/src/test/java/org/apache/commons/numbers/angle/UserGuideTest.java', 'commons-numbers-arrays/src/test/java/org/apache/commons/numbers/arrays/UserGuideTest.java', 'commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/UserGuideTest.java', 'commons-numbers-complex/src/test/java/org/apache/commons/numbers/complex/UserGuideTest.java', 'commons-numbers-core/src/test/java/org/apache/commons/numbers/core/UserGuideTest.java', 'commons-numbers-field/src/test/java/org/apache/commons/numbers/field/UserGuideTest.java', 'commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/GeneralizedContinuedFractionTest.java', 'commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/UserGuideTest.java', 'commons-numbers-gamma/src/test/java/org/apache/commons/numbers/gamma/UserGuideTest.java', 'commons-numbers-primes/src/test/java/org/apache/commons/numbers/primes/UserGuideTest.java', 'commons-numbers-quaternion/src/test/java/org/apache/commons/numbers/quaternion/SlerpTest.java', 'commons-numbers-quaternion/src/test/java/org/apache/commons/numbers/quaternion/UserGuideTest.java', 'commons-numbers-rootfinder/src/test/java/org/apache/commons/numbers/rootfinder/UserGuideTest.java', 'src/site/apt/userguide/index.apt', 'src/site/site.xml', 'src/site/xdoc/userguide/core.xml', 'src/site/xdoc/userguide/index.xml', 'src/site/xdoc/userguide/xdoc.xsl']","NUMBERS-70: Initial user guide

Add test classes to verify the user guide examples.",NUMBERS-70
cc7651678c392b66ae4063b124f66019f726d61a,aherbert,aherbert,1,['commons-numbers-core/src/test/java/org/apache/commons/numbers/core/PrecisionTest.java'],Correct PrecisionTest to target correct function,
62ddebb6d9698735ef8e530d29e7f6c193518f10,aherbert,aherbert,4,"['commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/BigFractionTest.java', 'commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/ContinuedFractionTest.java', 'commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/FractionTest.java', 'commons-numbers-primes/src/test/java/org/apache/commons/numbers/primes/PrimesTest.java']",Remove redundant throws Exception from test methods,
52c0d0af43aedf3f83b9953edac8b64a31383fa7,aherbert,aherbert,12,"['commons-numbers-angle/src/site/site.xml', 'commons-numbers-arrays/src/site/site.xml', 'commons-numbers-combinatorics/src/site/site.xml', 'commons-numbers-complex-streams/src/site/site.xml', 'commons-numbers-complex/src/site/site.xml', 'commons-numbers-core/src/site/site.xml', 'commons-numbers-field/src/site/site.xml', 'commons-numbers-fraction/src/site/site.xml', 'commons-numbers-gamma/src/site/site.xml', 'commons-numbers-primes/src/site/site.xml', 'commons-numbers-quaternion/src/site/site.xml', 'commons-numbers-rootfinder/src/site/site.xml']",Use a full URL allows a correct banner for the modules.,
6ff8af6cbff90d005ea2dd08272b7b5b4a0613ce,aherbert,aherbert,3,"['commons-numbers-bom/src/site/xdoc/index.xml', 'src/site/xdoc/index.xml', 'src/site/xdoc/release-history.xml']",Use Apache branding,
8f587293a64d18477879cee03029148a3eb455d3,aherbert,aherbert,12,"['commons-numbers-bom/LICENSE', 'commons-numbers-bom/NOTICE', 'commons-numbers-bom/README.md', 'commons-numbers-bom/pom.xml', 'commons-numbers-bom/src/main/resources-filtered/bom.xml', 'commons-numbers-bom/src/site/resources/style/module.css', 'commons-numbers-bom/src/site/site.xml', 'commons-numbers-bom/src/site/xdoc/index.xml', 'doc/release/release.howto.txt', 'pom.xml', 'src/changes/changes.xml', 'src/site/site.xml']","NUMBERS-190: Add a Bill of Materials module

Add a new module based on commons-rng-bom.

Configured maven-assembly-plugin skipAssembly in the parent pom as it
should only be configured in the dist-archive module. This allows the
snapshot BOM to be deployed to the snapshots repo using:

mvn deploy -Dgpg.skip

Deploy of the non-snapshot BOM will target the Apache release staging
repository and must be GPG signed.",NUMBERS-190
7a2401cfbebf6f89b585c0d6a08940954eb71cf8,aherbert,aherbert,1,['doc/release/release.howto.txt'],"Update release howto

Add note about version ordering.

Copy some additional details from the RNG release howto.",
b83f76043146ad3dd5ddecc44034446491e1696d,aherbert,aherbert,1,['src/changes/changes.xml'],Clean up changes description,
f9d5fec67812ca455e65af9974f38ad9d1332988,aherbert,aherbert,1,['commons-numbers-gamma/src/main/java/org/apache/commons/numbers/gamma/SpecialMath.java'],Make internal helper class package-private,
c7f439f58a24d2410bcc6d5fd24ac10514ac1874,aherbert,aherbert,3,"['commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/GeneralizedContinuedFraction.java', 'commons-numbers-gamma/src/main/java/org/apache/commons/numbers/gamma/GammaRatio.java', 'commons-numbers-gamma/src/main/java/org/apache/commons/numbers/gamma/SpecialMath.java']",Add since tags,
db2a13ae42727be2761c78fffca8c419edde1ccc,aherbert,aherbert,1,['src/site/xdoc/index.xml'],Update main site page index to include all modules,
23fa9531a46790e9c5907c0e692ec35601347638,aherbert,aherbert,1,['doc/release/release.howto.txt'],"Update test command

dryRun flag is set in the test-deploy profile

site:stage is required for multi-module site",
d0d73829d0766ff985a585cacdaf77e0e9873a63,aherbert,aherbert,2,"['src/site/xdoc/userguide/core.xml', 'src/site/xdoc/userguide/index.xml']",Remove xdoc processing instruction with reserved name,
824e9e02c28e0899bbad1f740452d126409516fc,aherbert,aherbert,14,"['commons-numbers-angle/README.md', 'commons-numbers-arrays/README.md', 'commons-numbers-combinatorics/README.md', 'commons-numbers-complex-streams/README.md', 'commons-numbers-complex/README.md', 'commons-numbers-core/README.md', 'commons-numbers-examples/README.md', 'commons-numbers-examples/examples-jmh/README.md', 'commons-numbers-field/README.md', 'commons-numbers-fraction/README.md', 'commons-numbers-gamma/README.md', 'commons-numbers-primes/README.md', 'commons-numbers-quaternion/README.md', 'commons-numbers-rootfinder/README.md']",Use mvn for README contributing build goal,
0cd0545886661c8efbecdb55726dddbb0b0321a6,aherbert,aherbert,1,['commons-numbers-primes/src/test/java/org/apache/commons/numbers/primes/SmallPrimesTest.java'],Use diamond operator,
3bdbf7cc62b0e86ce466c838c430c9cd45ce6447,aherbert,aherbert,1,['pom.xml'],Move dependency version properties to a section,
4061b84a40c78add32b66d3362c5f5a6c9fc996c,aherbert,aherbert,1,['pom.xml'],Drop antrun 1.8 for 3.1.0 in commons parent,
053c39335eebd535c9797a3a4477c9417a2f2ccf,aherbert,aherbert,1,['commons-numbers-examples/pom.xml'],Remove deleted version property from plugin configuration,
8b2bd19b0a0476f74c0718cf6063dcba52a2171e,aherbert,aherbert,1,['pom.xml'],Update japicmp 0.15.3 to CP 0.16.0,
5de3fa8d4117a4dff7d195e0f06d9f830b0a3c1c,aherbert,aherbert,1,['pom.xml'],Update jacoco 0.8.7 to CP 0.8.8,
817225c27e24ced1864494c537caab71a2e05417,aherbert,aherbert,1,['pom.xml'],Update spotbugs 4.4.2 to CP 4.7.2.0,
b22db497840e37d3e8599604ba41016b7070edb6,aherbert,aherbert,14,"['commons-numbers-angle/pom.xml', 'commons-numbers-arrays/pom.xml', 'commons-numbers-combinatorics/pom.xml', 'commons-numbers-complex-streams/pom.xml', 'commons-numbers-complex/pom.xml', 'commons-numbers-core/pom.xml', 'commons-numbers-examples/pom.xml', 'commons-numbers-field/pom.xml', 'commons-numbers-fraction/pom.xml', 'commons-numbers-gamma/pom.xml', 'commons-numbers-primes/pom.xml', 'commons-numbers-quaternion/pom.xml', 'commons-numbers-rootfinder/pom.xml', 'pom.xml']","Update changes report configuration to allow component reports

Remove configuration that is a duplicate of commons-parent",
7a671c475347111bc2df7b0a0188e31879fe1a61,aherbert,aherbert,1,['pom.xml'],Reorder properties to match commons RNG parent.,
73eec505b27f82403111140799b7f04c5296416f,aherbert,aherbert,1,['src/main/resources/checkstyle/checkstyle.xml'],"Update checkstyle config using latest example

Updated from:
https://github.com/checkstyle/checkstyle/blob/master/src/main/resources/sun_checks.xml",
e790ce4e67b2f1716b910c17b26f066f63d8572f,aherbert,aherbert,1,['pom.xml'],"Drop checkstyle 3.1.2 for 3.2.0 in commons parent

Update checkstyle dependency 8.45 for 9.3 in commons parent",
ed65141deab815ba39109d65e0927addbe064cb8,aherbert,aherbert,1,['pom.xml'],Drop junit 5.4.2 for 5.9.0 in commons parent,
45cccae7c33a414f2faf377bbb7592d00c195b41,aherbert,aherbert,2,"['pom.xml', 'src/main/resources/pmd/pmd-ruleset.xml']","Update PMD version to commons parent

plugin 3.13.0 -> 3.19.0
pmd-impl 6.21.0 -> 6.49.0

Update pmd ruleset",
e4687a3c5d02d2732a0f7b2fb07b0d8b5b93a7d3,aherbert,aherbert,2,"['pom.xml', 'src/main/resources/spotbugs/spotbugs-exclude-filter.xml']","Update to commons-parent 54

Suppress spotbugs errors from intentional use of floating-point loop
counters.

Disable CycloneDX as config is incorrect for multi-module builds.

Override ciManagement section from the parent.

Set commons.release.isDistModule to false in the parent.

Add rat exclusion for .gitattributes.",
3f16cd088726de7162b2942605c38a1c85329939,aherbert,aherbert,2,"['doc/release/copyLongTermJavadoc.sh', 'src/main/resources/pmd/pmd-ruleset.xml']",Update references to rng to numbers,
ff88badfeb6b9e4c1a330a228862f021b528b05e,aherbert,aherbert,1,['pom.xml'],"Update commons RNG 1.4 to 1.5

Use RNG BOM for dependency management.",
7e88be936f38ec41f5184d546a78a687696f6729,sebbASF,sebbASF,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Don't persist credentials unnecessarily,
b04dbc113294b05be92a635429df0bc4d778a03c,aherbert,aherbert,1,['pom.xml'],"Remove javadoc links to JDK.

The links configured in CP create redirect warnings on JDK 17 which fail
the build. JDK links are automatically added by the javadoc plugin based
on the target version.",
06175fc15719cda6cf5ae494d426218c888b921f,garydgregory,garydgregory,1,['commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java'],Javadoc @link tags do not need to use a FQCN for classes in java.lang,
c69c31421f38a919539087bd6957fc6ec27e01ca,garydgregory,garydgregory,1,['commons-numbers-complex/src/main/java/org/apache/commons/numbers/complex/Complex.java'],Javadoc @see tags do not need to use a FQCN for classes in java.lang,
8587cdf3da1ba12100f7a1da5494ef447ef2190b,garydgregory,garydgregory,1,['README.md'],Update README to use the default Maven goal,
bd454efcf893298fbe875c070bd7c99744e792d4,sumanth-rajkumar,aherbert,1,['pom.xml'],added my name to contributor list,
1098a777a69de8c5c7c8ebda40823184a4856de8,aherbert,aherbert,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Migrate workflows from adopt to temurin,
02684466752a3a90e6e974e42b1a56d5013a756e,aherbert,aherbert,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Trim whitespace,
6be5bb73e367a1bbe22dce9e0a2bd5985b879097,aherbert,aherbert,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']",Use GitHub Actions setup-java Maven cache property,
1a8a73fc9dadee2e44313e80ef63cf6c6ff848a4,arturobernalg,aherbert,1,['commons-numbers-combinatorics/src/main/java/org/apache/commons/numbers/combinatorics/LogFactorial.java'],"* Use Math.min
* Use System.arraycopy

Revert some changes.",
3c446b93903cb94bd25d91ac4e5de1b9971c6d36,aherbert,aherbert,1,['.asf.yaml'],Activate notifications for GH actions,
a0f7a0d450e72e4c115de4b0911cbe8db5b1cb04,aherbert,aherbert,1,['commons-numbers-examples/examples-jmh/pom.xml'],Merge duplicate javadoc plugin declaration,
025bb7af30abd47581f0f7e8deb650db6767e107,aherbert,aherbert,1,['src/main/resources/checkstyle/checkstyle.xml'],Require method javadoc for private scope,
5b91702dbc7fc844db953722645fc8a90126fc10,aherbert,aherbert,1,['commons-numbers-examples/examples-jmh/pom.xml'],Do not fail on javadoc warnings in the JMH module,
f31cf16cff3d7462ca4bad3c0240ba5935d94785,aherbert,aherbert,1,['commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/BigFraction.java'],Correct erasure of unnecessary parentheses,
