Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,LUCY-137,12501880,,Dependency licensing in grant code,marvin,marvin,Blocker,Resolved,Fixed,19/Mar/11 19:41,27/Oct/11 19:38,
Bug,LUCY-174,12518820,,Filepath naming glitch breaks CPAN build process,marvin,marvin,Blocker,Resolved,Fixed,14/Aug/11 15:13,14/Aug/11 15:31,
New Feature,LUCY-51,12436112,,Storage classes,marvin,marvin,Blocker,Resolved,Fixed,18/Sep/09 22:36,21/Nov/10 18:21,
Task,LUCY-122,12473909,,Lucy Incubator Software Grant,,chrismattmann,Blocker,Resolved,Fixed,11/Sep/10 16:01,29/Oct/10 23:25,
Improvement,LUCY-123,12477405,,"Update Incubator grant code with ASL2 headers, LICENSE, NOTICE, etc.",,marvin,Blocker,Resolved,Fixed,14/Oct/10 21:43,27/Oct/10 00:20,
New Feature,LUCY-118,12467641,,Lucy::Index::DataReader - Abstract base class for reading index data.,marvin,marvin,Blocker,Resolved,Fixed,22/Jun/10 23:47,25/Jun/10 01:42,
New Feature,LUCY-119,12467653,,Lucy::Store::Lock,marvin,marvin,Blocker,Resolved,Fixed,23/Jun/10 02:07,25/Jun/10 01:27,
New Feature,LUCY-117,12467460,,More boolean Matchers.,marvin,marvin,Blocker,Resolved,Fixed,21/Jun/10 05:26,22/Jun/10 06:26,
New Feature,LUCY-112,12467304,,PolyMatcher,marvin,marvin,Blocker,Resolved,Fixed,18/Jun/10 03:47,19/Jun/10 00:23,
New Feature,LUCY-111,12467114,,Matcher,marvin,marvin,Blocker,Resolved,Fixed,16/Jun/10 18:41,18/Jun/10 01:18,
New Feature,LUCY-106,12466615,,TextType,marvin,marvin,Blocker,Resolved,Fixed,10/Jun/10 03:34,10/Jun/10 23:55,
New Feature,LUCY-105,12466415,,FieldType,marvin,marvin,Blocker,Resolved,Fixed,08/Jun/10 03:34,10/Jun/10 03:22,
Sub-task,LUCY-84,12442590,12436112,FSDirHandle,marvin,marvin,Blocker,Resolved,Fixed,07/Dec/09 00:04,15/Dec/09 21:47,
New Feature,LUCY-87,12442928,,Lucy::Index::Segment - warehouse for segment metadata,marvin,marvin,Blocker,Resolved,Fixed,10/Dec/09 00:03,11/Dec/09 05:49,
Sub-task,LUCY-83,12442557,12436112,FSFileHandle,marvin,marvin,Blocker,Resolved,Fixed,06/Dec/09 00:06,06/Dec/09 20:23,
Improvement,LUCY-74,12441606,,JSON parser internal API,marvin,marvin,Blocker,Resolved,Fixed,24/Nov/09 20:12,25/Nov/09 01:07,
Sub-task,LUCY-64,12439396,12436112,DirHandle,marvin,marvin,Blocker,Resolved,Fixed,29/Oct/09 12:19,20/Nov/09 06:05,
Sub-task,LUCY-67,12441139,12436112,Folder -- an index directory.,marvin,marvin,Blocker,Resolved,Fixed,19/Nov/09 02:41,20/Nov/09 06:03,
Sub-task,LUCY-63,12439243,12436112,InStream and OutStream,marvin,marvin,Blocker,Resolved,Fixed,28/Oct/09 04:15,29/Oct/09 12:08,
New Feature,LUCY-50,12435777,,Lucy::Index::Snapshot - a list of files,marvin,marvin,Blocker,Resolved,Fixed,16/Sep/09 00:55,15/Oct/09 15:42,
New Feature,LUCY-59,12437455,,ByteBuf,marvin,marvin,Blocker,Resolved,Fixed,07/Oct/09 04:38,12/Oct/09 19:20,
Sub-task,LUCY-58,12437337,12436112,FileHandle,marvin,marvin,Blocker,Resolved,Fixed,06/Oct/09 01:02,07/Oct/09 04:16,
Sub-task,LUCY-57,12437336,12436112,FileWindow - unit of memory mapping,marvin,marvin,Blocker,Resolved,Fixed,06/Oct/09 00:45,07/Oct/09 04:15,
Improvement,LUCY-55,12436429,,Lucy::Util::Sleep,marvin,marvin,Blocker,Resolved,Fixed,23/Sep/09 16:36,24/Sep/09 12:58,
New Feature,LUCY-40,12435272,,Core object model,marvin,marvin,Blocker,Resolved,Fixed,10/Sep/09 03:26,16/Sep/09 00:02,
Improvement,LUCY-49,12435653,,Context-aware mergesort and quicksort,marvin,marvin,Blocker,Resolved,Fixed,14/Sep/09 21:35,15/Sep/09 23:27,
Sub-task,LUCY-48,12435556,12435272,Host,marvin,marvin,Blocker,Resolved,Fixed,14/Sep/09 06:34,15/Sep/09 01:37,
Sub-task,LUCY-47,12435555,12435272,Undefined,marvin,marvin,Blocker,Resolved,Fixed,14/Sep/09 06:32,15/Sep/09 01:36,
