Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,PIG-1030,12438611,,explain and dump not working with two UDFs inside inner plan of foreach,rding,yinghe,Major,Closed,Fixed,20/Oct/09 19:33,24/Mar/10 22:15,
Bug,,PIG-1026,12438340,,[zebra] map split returns null,yanz,jing1234,Major,Closed,Fixed,16/Oct/09 21:23,24/Mar/10 22:15,
Bug,,PIG-1024,12438136,,"Script contains nested limit fail due to ""LOLimit does not support multiple outputs""",daijy,daijy,Major,Closed,Fixed,14/Oct/09 22:43,24/Mar/10 22:15,
Bug,,PIG-1015,12437824,,[piggybank] DateExtractor should take into account timezones,dvryaboy,dvryaboy,Major,Closed,Fixed,12/Oct/09 03:02,24/Mar/10 22:15,
Bug,,PIG-1012,12437770,,FINDBUGS: SE_BAD_FIELD: Non-transient non-serializable instance field in serializable class,olgan,olgan,Major,Closed,Fixed,09/Oct/09 23:49,24/Mar/10 22:15,
Bug,,PIG-1001,12437665,,Generate more meaningful error message when one input file does not exist,daijy,daijy,Major,Closed,Fixed,09/Oct/09 00:12,24/Mar/10 22:15,
Improvement,Patch Available,PIG-1000,12437654,,InternalCachedBag.java generates javac warning and findbug warning,yinghe,yinghe,Major,Closed,Fixed,08/Oct/09 22:44,24/Mar/10 22:15,
Bug,,PIG-996,12437444,,[zebra] Zebra build script does not have findbugs and clover targets.,chaow,chaow,Major,Closed,Fixed,06/Oct/09 23:52,24/Mar/10 22:15,
Bug,,PIG-995,12437306,,"Limit Optimizer throw exception ""ERROR 2156: Error while fixing projections""",daijy,daijy,Major,Closed,Fixed,05/Oct/09 18:53,24/Mar/10 22:15,
Improvement,,PIG-983,12436944,,PERFORMANCE: multi-query optimization on multiple group bys following a join or cogroup,rding,rding,Major,Closed,Fixed,30/Sep/09 18:21,24/Mar/10 22:15,
New Feature,,PIG-979,12436655,,Acummulator Interface for UDFs,yinghe,gates,Major,Closed,Fixed,25/Sep/09 23:10,24/Mar/10 22:15,
Bug,,PIG-978,12436654,,ERROR 2100 (hdfs://localhost/tmp/temp175740929/tmp-1126214010 does not exist) and ERROR 2999: (Unexpected internal error. null) when using Multi-Query optimization,chandec,viraj,Major,Closed,Fixed,25/Sep/09 23:04,24/Mar/10 22:15,
Bug,,PIG-976,12436584,,Multi-query optimization throws ClassCastException,rding,ankur,Major,Closed,Fixed,25/Sep/09 10:44,24/Mar/10 22:15,
Improvement,,PIG-975,12436531,,Need a databag that does not register with SpillableMemoryManager and spill data pro-actively,yinghe,yinghe,Major,Closed,Fixed,24/Sep/09 20:04,24/Mar/10 22:15,
Improvement,Patch Available,PIG-970,12436125,,Support of HBase 0.20.0,zjffdu,vbarat,Major,Closed,Fixed,19/Sep/09 16:51,24/Mar/10 22:15,
Improvement,Patch Available,PIG-960,12435669,,Using Hadoop's optimized LineRecordReader for reading Tuples in PigStorage ,ankit.modi,ankit.modi,Major,Closed,Fixed,15/Sep/09 01:07,24/Mar/10 22:15,
Bug,Patch Available,PIG-958,12435600,,Splitting output data on key field,ankur,ankur,Major,Closed,Fixed,14/Sep/09 13:56,24/Mar/10 22:15,
Improvement,,PIG-956,12435464,,Reduce patch testing time,olgan,olgan,Major,Closed,Fixed,11/Sep/09 19:37,24/Mar/10 22:15,
Improvement,,PIG-953,12435351,,Enable merge join in pig to work with loaders and store functions which can internally index sorted data ,pkamath,pkamath,Major,Closed,Fixed,10/Sep/09 18:47,24/Mar/10 22:15,
Bug,,PIG-951,12435273,,Reset parallelism to 1 for indexing job in MergeJoin,ashutoshc,ashutoshc,Major,Closed,Fixed,10/Sep/09 03:43,24/Mar/10 22:15,
Bug,,PIG-944,12434791,,Zebra schema is taken from Pig through TableStorer's construct,yanz,yanz,Major,Closed,Fixed,03/Sep/09 22:56,24/Mar/10 22:15,
Bug,,PIG-942,12434695,,Maps are not implicitly casted,pkamath,sriranjan,Major,Closed,Fixed,03/Sep/09 01:22,24/Mar/10 22:15,
Bug,,PIG-927,12433374,,null should be handled consistently in Join,daijy,pkamath,Major,Closed,Fixed,18/Aug/09 20:33,24/Mar/10 22:15,
New Feature,,PIG-922,12433089,,Logical optimizer: push up project,daijy,daijy,Major,Closed,Fixed,14/Aug/09 16:24,24/Mar/10 22:15,
Bug,,PIG-921,12433038,,Strange use case for Join which produces different results in local and map reduce mode,daijy,viraj,Major,Closed,Fixed,14/Aug/09 00:23,24/Mar/10 22:15,
Improvement,,PIG-920,12433010,,optimizing diamond queries,rding,olgan,Major,Closed,Fixed,13/Aug/09 17:12,24/Mar/10 22:15,
Bug,,PIG-894,12431060,,order-by fails when input is empty,daijy,thejas,Major,Closed,Fixed,21/Jul/09 18:55,24/Mar/10 22:15,
Bug,,PIG-858,12428390,,"Order By followed by ""replicated"" join fails while compiling MR-plan from physical plan",ashutoshc,ashutoshc,Major,Closed,Fixed,19/Jun/09 18:20,24/Mar/10 22:15,
Bug,,PIG-761,12422428,,ERROR 2086 on simple JOIN,daijy,vzaliva,Major,Closed,Fixed,09/Apr/09 00:53,24/Mar/10 22:15,
Bug,,PIG-746,12421837,,"Works in --exectype local, fails on grid - ERROR 2113: SingleTupleBag should never be serialized",rding,ciemo,Major,Closed,Fixed,02/Apr/09 06:01,24/Mar/10 22:15,
Bug,,PIG-738,12421472,,Regexp passed from pigscript fails in UDF  ,pkamath,viraj,Major,Closed,Fixed,28/Mar/09 09:12,24/Mar/10 22:15,
Bug,,PIG-592,12411489,,schema inferred incorrectly,daijy,olston,Major,Closed,Fixed,30/Dec/08 19:40,24/Mar/10 22:15,
Bug,,PIG-513,12407565,,PERFORMANCE: optimize some of the code in DefaultTuple,pkamath,pkamath,Major,Closed,Fixed,31/Oct/08 00:31,24/Mar/10 22:15,
Bug,,PIG-963,12435780,,Join in local mode matches null keys,pkamath,pkamath,Major,Closed,Fixed,16/Sep/09 01:34,24/Mar/10 22:14,
Bug,,PIG-962,12435759,,Skewed join creates 3 map reduce jobs,sriranjan,sriranjan,Major,Closed,Fixed,15/Sep/09 20:44,24/Mar/10 22:14,
Bug,,PIG-949,12435261,,Zebra Bug: splitting map into multiple column group using storage hint causes unexpected behaviour,yanz,aloknsingh,Major,Closed,Fixed,09/Sep/09 22:41,24/Mar/10 22:14,
New Feature,,PIG-911,12432331,,[Piggybank] SequenceFileLoader ,dvryaboy,dvryaboy,Major,Closed,Fixed,05/Aug/09 21:40,24/Mar/10 22:14,
Bug,,PIG-660,12414403,,Integration with Hadoop 0.20,sms,sms,Major,Closed,Fixed,09/Feb/09 17:20,24/Mar/10 22:14,
Improvement,,PIG-531,12408532,,Way for explain to show 1 plan at a time,,olgan,Major,Closed,Fixed,14/Nov/08 21:11,24/Mar/10 22:14,
Bug,,PIG-957,12435492,,Tutorial is broken with 0.4 branch and trunk,pkamath,olgan,Major,Closed,Fixed,12/Sep/09 00:24,24/Mar/10 22:13,
Improvement,,PIG-954,12435367,,Skewed join fails when pig.skewedjoin.reduce.memusage is not configured,yinghe,yinghe,Major,Closed,Fixed,10/Sep/09 23:09,24/Mar/10 22:13,
Bug,,PIG-943,12434780,,Pig crash when it cannot get counter from hadoop,daijy,daijy,Major,Closed,Fixed,03/Sep/09 21:19,24/Mar/10 22:13,
Bug,,PIG-936,12434210,,making dump and PigDump independent from Tuple.toString,zjffdu,olgan,Major,Closed,Fixed,27/Aug/09 18:48,24/Mar/10 22:13,
Bug,,PIG-925,12433137,,Fix join in local mode,daijy,daijy,Major,Closed,Fixed,15/Aug/09 00:44,24/Mar/10 22:13,
Bug,,PIG-923,12433109,,Allow setting logfile location in pig.properties,dvryaboy,dvryaboy,Major,Closed,Fixed,14/Aug/09 18:52,24/Mar/10 22:13,
Bug,Patch Available,PIG-918,12432925,,[zebra] LOAD call will hang if only the first column group is queried,yanz,yanz,Major,Closed,Fixed,12/Aug/09 23:43,24/Mar/10 22:13,
Bug,,PIG-905,12432172,,TOKENIZE throws exception on null data,daijy,olgan,Major,Closed,Fixed,04/Aug/09 15:30,24/Mar/10 22:13,
Bug,,PIG-901,12432073,,InputSplit (SliceWrapper) created by Pig is big in size due to serialized PigContext,pkamath,pkamath,Major,Closed,Fixed,03/Aug/09 18:40,24/Mar/10 22:13,
