hash,authors,committer,changes_FileNum,changed_files,message,bug_id
ba45d80b072072be322d49835659f20b32bf2fb0,ok2c,ok2c,1,['httpclient5/src/main/java/org/apache/hc/client5/http/impl/classic/ProxyClient.java'],HTTPCLIENT-2240: fixed incorrect CONNECT method initialization in ProxyClient,HTTPCLIENT-2240
646ff6988e365235dea979591e0a7df999c24b41,ok2c,ok2c,1,['httpclient5/src/test/java/org/apache/hc/client5/http/examples/ClientExecuteProxy.java'],Corrected ClientExecuteProxy example,
7ab435c271b6ff3bde4e737c2b02ba873ffa8b55,ok2c,ok2c,1,['httpclient5/src/main/java/org/apache/hc/client5/http/impl/nio/MultihomeIOSessionRequester.java'],HTTPCLIENT-2236: MultihomeIOSessionRequester fails to enhance the cause exception in case of connect failure if the remoteAddress argument has been given,HTTPCLIENT-2236
07bed85ee5bae851b4607cb1c0bfe4b71d3947e4,ok2c,ok2c,1,['.github/workflows/maven.yml'],Temporarily removed windows-latest from the Github CI OS matrix due to intermittent network failures (java.io.IOException: An established connection was aborted by the software in your host machine). It is unclear whether this is a bug in the library or in the Windows JRE.,
fd86093db68411dcc834e5e0df514705a310bc70,dependabot[bot],ok2c,1,['httpclient5/pom.xml'],"Bump download-maven-plugin from 1.6.0 to 1.6.8

Bumps [download-maven-plugin](https://github.com/maven-download-plugin/maven-download-plugin) from 1.6.0 to 1.6.8.
- [Release notes](https://github.com/maven-download-plugin/maven-download-plugin/releases)
- [Commits](https://github.com/maven-download-plugin/maven-download-plugin/compare/1.6.0...1.6.8)

---
updated-dependencies:
- dependency-name: com.googlecode.maven-download-plugin:download-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
c6f83a579db6b926e2e3adc92a598f0c83700970,garydgregory,ok2c,3,"['httpclient5-testing/src/test/java/org/apache/hc/client5/testing/async/AbstractServerTestBase.java', 'httpclient5-testing/src/test/java/org/apache/hc/client5/testing/async/TestHttpMinimalReactive.java', 'httpclient5-testing/src/test/java/org/apache/hc/client5/testing/sync/LocalServerTestBase.java']",Be more lenient on slower build machines,
47750c4fbcb95505bdf268b38bfbde8ac2dce89e,garydgregory,ok2c,1,['RELEASE_NOTES.txt'],Bump mockito-core from 4.0.0 to 4.8.0 #383,
87f8fb92a6703d472ba8b6b7b41d4d738fd42e14,dependabot[bot],ok2c,1,['pom.xml'],"Bump mockito-core from 4.0.0 to 4.8.0

Bumps [mockito-core](https://github.com/mockito/mockito) from 4.0.0 to 4.8.0.
- [Release notes](https://github.com/mockito/mockito/releases)
- [Commits](https://github.com/mockito/mockito/compare/v4.0.0...v4.8.0)

---
updated-dependencies:
- dependency-name: org.mockito:mockito-core
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
ccda0f2af790900e0dc03a4ffe86fa4c27c88553,garydgregory,ok2c,1,['CODE_OF_CONDUCT.md'],"Register the standard GitHub page for a Code of Conduct with a link to
the Apache Code of Conduct",
bfa6a5ea7260f19ae1e6ed2fafaaf012a4e53ea7,garydgregory,ok2c,1,['httpclient5/src/main/java/org/apache/hc/client5/http/ssl/TlsSessionValidator.java'],Use Objects.toString() instead of String type cast,
9d297d737fd33a9e2e27c4bc2b3eb6baf0b402f0,dependabot[bot],ok2c,1,['pom.xml'],"Bump jna.version from 5.9.0 to 5.12.1

Bumps `jna.version` from 5.9.0 to 5.12.1.

Updates `jna` from 5.9.0 to 5.12.1
- [Release notes](https://github.com/java-native-access/jna/releases)
- [Changelog](https://github.com/java-native-access/jna/blob/master/CHANGES.md)
- [Commits](https://github.com/java-native-access/jna/compare/5.9.0...5.12.1)

Updates `jna-platform` from 5.9.0 to 5.12.1
- [Release notes](https://github.com/java-native-access/jna/releases)
- [Changelog](https://github.com/java-native-access/jna/blob/master/CHANGES.md)
- [Commits](https://github.com/java-native-access/jna/compare/5.9.0...5.12.1)

---
updated-dependencies:
- dependency-name: net.java.dev.jna:jna
  dependency-type: direct:production
  update-type: version-update:semver-minor
- dependency-name: net.java.dev.jna:jna-platform
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
43de1a6d22b08570194f4538587d5716efa5f16c,dependabot[bot],ok2c,1,['pom.xml'],"Bump ehcache-api from 3.9.6 to 3.10.1

Bumps [ehcache-api](https://github.com/ehcache/ehcache3) from 3.9.6 to 3.10.1.
- [Release notes](https://github.com/ehcache/ehcache3/releases)
- [Commits](https://github.com/ehcache/ehcache3/compare/v3.9.6...v3.10.1)

---
updated-dependencies:
- dependency-name: org.ehcache.modules:ehcache-api
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
7f0263de8c2040646d193254cd323885e8915606,dependabot[bot],ok2c,1,['pom.xml'],"Bump log4j.version from 2.17.2 to 2.19.0

Bumps `log4j.version` from 2.17.2 to 2.19.0.

Updates `log4j-slf4j-impl` from 2.17.2 to 2.19.0

Updates `log4j-core` from 2.17.2 to 2.19.0

---
updated-dependencies:
- dependency-name: org.apache.logging.log4j:log4j-slf4j-impl
  dependency-type: direct:production
  update-type: version-update:semver-minor
- dependency-name: org.apache.logging.log4j:log4j-core
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
0bf362769a23e0210a114218a7dbf107ca3b52ad,dependabot[bot],ok2c,1,['pom.xml'],"Bump junit-bom from 5.8.1 to 5.9.1

Bumps [junit-bom](https://github.com/junit-team/junit5) from 5.8.1 to 5.9.1.
- [Release notes](https://github.com/junit-team/junit5/releases)
- [Commits](https://github.com/junit-team/junit5/compare/r5.8.1...r5.9.1)

---
updated-dependencies:
- dependency-name: org.junit:junit-bom
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
46cf8917e3535a89b7c94095b11b6205ccc4f2d0,garydgregory,ok2c,1,['.github/dependabot.yml'],Update Dependabot triggers for Maven,
3295f28f47e5914f41ca853137012f2b0d307b9c,garydgregory,ok2c,4,"['.github/workflows/maven.yml', '.travis.yml', 'README.md', 'pom.xml']",Add GitHub Actions build and remove Travis-CI,
9c0575494a8de03f05f14542a03ec3ed57136418,ok2c,ok2c,2,"['httpclient5/src/main/java/org/apache/hc/client5/http/impl/async/H2AsyncClientBuilder.java', 'httpclient5/src/main/java/org/apache/hc/client5/http/impl/async/HttpAsyncClientBuilder.java']",HTTPCLIENT-2232: last protocol interceptrs moved at the end of the H2 protocol processing pipeline,HTTPCLIENT-2232
ed7701c509af1fd4775d77a4c0eef1f4c63ac44d,ok2c,ok2c,1,['httpclient5/src/main/java/org/apache/hc/client5/http/impl/async/InternalH2AsyncExecRuntime.java'],H2 async runtime to proactively set HTTP/2 protocol version in the execution context,
3fe6a8bcdf0f49003290efea557ce650f2f41aac,ok2c,ok2c,1,['httpclient5/src/main/java/org/apache/hc/client5/http/impl/async/HttpAsyncMainClientExec.java'],HTTPCLIENT-2231: a race condition in the main async exec when the request execution on an I/O thread is faster then execution pipeline management on the client thread,HTTPCLIENT-2231
