hash,authors,committer,changes_FileNum,changed_files,message,bug_id
5f2a58afb5c9f6e8eec07dcab2c69bae08642e94,,,5,"['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/AbstractJdbcWriter.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/db/JdbcDb.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/AbstractJdbcTable.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/AbstractUmlsTable.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/JdbcTable.java']","Add ""BatchSize"" parameter to AbstractJdbcWriter to change the default batch size.  0 or 1 = no internal batching.
Add some set methods to use BatchSize.
AbstractUmlsTable: moved two collection instantiations outside loop, clear inside loop.

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1866038 13f79535-47bb-0310-9956-ffa450edef68",
9b5deb71775cbc071799b1ec3cf3224f7f59dc7f,,,2,"['ctakes-core/src/main/java/org/apache/ctakes/core/cc/XmiWriterCasConsumerCtakes.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cr/FilesInDirectoryCollectionReader.java']","Deprecated XmiWriterCasConsumerCtakes

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1865056 13f79535-47bb-0310-9956-ffa450edef68",
507842e2a8148896a9e577e5e9f3b941555aae7a,,,2,"['ctakes-core/src/main/java/org/apache/ctakes/core/cr/FileTreeReader.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cr/FilesInDirectoryCollectionReader.java']","Deprecated FilesInDirectoryCollectionReader in favor of FileTreeReader

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1865052 13f79535-47bb-0310-9956-ffa450edef68",
c44a2181cf37fa195a16b268acf01aa0170316c2,,,6,"['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/db/DefaultJdbcDb.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/I2b2Db.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/I2b2JdbcWriter.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/ObservationFactRow.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/ObservationFactTable.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/row/EmptyInitializer.java']","DefaultJdbcDb Simple implementation of AbstractJdbcDb.
i2b2 package with simple default writer for i2b2 observation_fact tables.
EmptyInitializer can be passed as Corpus Initializer that does nothing.

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1863323 13f79535-47bb-0310-9956-ffa450edef68",
203149f8c7cde2f60e9c1535f2b9d539057902a3,,,2,"['ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/ae/WindowBasedAnnotator.java', 'ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/eval/EvaluationOfNeuralJointRelations.java']","update window-based relational annotator and its evaluation

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1861155 13f79535-47bb-0310-9956-ffa450edef68",
27defc000570415abfda92d7c4e86eda57ba0084,,,2,"['ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/ae/WindowBasedAnnotator.java', 'ctakes-temporal/src/main/java/org/apache/ctakes/temporal/nn/eval/EvaluationOfNeuralJointRelations.java']","add window-based contains relation annotator and evaluation code

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1861144 13f79535-47bb-0310-9956-ffa450edef68",
f50e0a177992a194c78ed02ae309cfaf4beca851,,,2,"['ctakes-core/src/main/java/org/apache/ctakes/core/cr/XmiTreeReader.java', 'ctakes-examples-res/src/main/resources/org/apache/ctakes/examples/pipeline/XmiToPretty.piper']","Xmi Reader that can accept directories

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1860655 13f79535-47bb-0310-9956-ffa450edef68",
b70021b9e8fa04fd1d76afefba9ea0b5f1948a0d,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/ae/ParagraphSentenceFixer.java'],"Account for first sentence in multipile split

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1860607 13f79535-47bb-0310-9956-ffa450edef68",
dd3166ef92dc4247608da3d58492b8e1ef8fa9e5,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/ae/ParagraphAnnotator.java'],"Allow tab or space in between eol characters to distinguish paragraph separation.  Useful for notes with indentation.

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1860575 13f79535-47bb-0310-9956-ffa450edef68",
ea58802577d15431f8992dc724c99c0f38276349,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/resource/FileLocator.java'],"Should now handle quoted file paths

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1860555 13f79535-47bb-0310-9956-ffa450edef68",
f93ed1b7e643986a6ce6a3edb7a2e05f0dad5dd2,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/util/DotLogger.java'],"Use executor, dot every 0.5 seconds

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1860552 13f79535-47bb-0310-9956-ffa450edef68",
cc25b0c234fd9b53d1d331c50593672f0f1b46b1,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/util/DotLogger.java'],"log4j config should be handling the newline

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1860421 13f79535-47bb-0310-9956-ffa450edef68",
ede6478a8de3e4ae974df73686e15b3063bd91eb,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/util/DotLogger.java'],"DotLogger add newline after every 30 second log

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1860402 13f79535-47bb-0310-9956-ffa450edef68",
67a6fe434ce5525c58b3da3ecac3b98592f02462,,,2,"['ctakes-dictionary-lookup-fast/src/main/java/org/apache/ctakes/dictionary/lookup2/util/CuiCodeUtil.java', 'ctakes-gui/src/main/java/org/apache/ctakes/gui/component/LoggerPanel.java']","CuiCodeUtil switch log error to log warning since the problem shouldn't hurt output
LoggerPanel handle null message

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1860397 13f79535-47bb-0310-9956-ffa450edef68",
1f15564869d7340a7d95ec70fb927f1b6cad5de6,,,1,['ctakes-dictionary-lookup-fast/src/main/java/org/apache/ctakes/dictionary/lookup2/util/CuiCodeUtil.java'],"error to warning

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1858145 13f79535-47bb-0310-9956-ffa450edef68",
2ab736565732d647c4123d02db3a5de3e81274c4,,,2,"['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/AbstractJdbcTable.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/AbstractUmlsTable.java']","add row to batch.

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1857285 13f79535-47bb-0310-9956-ffa450edef68",
296536ad95b3c4085565285e48fa0a1de64638b1,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/AbstractJdbcTable.java'],"CallableStatement to PreparedStatement fix

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1857257 13f79535-47bb-0310-9956-ffa450edef68",
08273c2fff0113901afaa018be832c1fca3eae35,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/FieldFactory.java'],"Add initializeFieldIndices method that uses a resultset's metadata

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1857250 13f79535-47bb-0310-9956-ffa450edef68",
d1e19d311e7b1412338a1e5c53b61cd5a2971b64,,,14,"['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/AbstractJdbcField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/BooleanField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/DoubleField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/FloatField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/IntField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/JdbcField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/LongField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/TextField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/TimeField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/ObservationFactRow.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/row/JdbcRow.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/AbstractJdbcTable.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/AbstractUmlsTable.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/JdbcTable.java']","Jdbc checkin : simplified interfaces, use PreparedStatement

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1857244 13f79535-47bb-0310-9956-ffa450edef68",
1b876e16d3f387a127b03fcc7f634f4dcf1fe94f,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/row/JdbcRow.java'],"Try to accommodate different SQL varieties.  Why oh why can't people standardize ...

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1856553 13f79535-47bb-0310-9956-ffa450edef68",
f55847ed278030c516bd342b4d1658b4b4a3fd2b,,,2,"['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/row/JdbcRow.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/JdbcTable.java']","Add initializeFieldIndices method that uses a resultset's metadata

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1856537 13f79535-47bb-0310-9956-ffa450edef68",
3fe94c9c67d58b4cdfbbbf02cab92074f89f5209,,,2,"['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/I2b2Db.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/ObservationFactTable.java']","Log that observation fact table has been added

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1856350 13f79535-47bb-0310-9956-ffa450edef68",
fe2d320f3f1bcc70cc12b5aa24fb38e4a4e80e1e,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/cr/jdbc/JdbcNotesReader.java'],"Prevent npe on close if the reader never initialized

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1856349 13f79535-47bb-0310-9956-ffa450edef68",
4362286291a9a720f63bf28bf547118dd965e552,,,1,['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/row/JdbcRow.java'],"Throw an exception if a field is not found in the table

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1856348 13f79535-47bb-0310-9956-ffa450edef68",
f4f554a32a4fe96e4a3e4cc265b371272bc62f8e,,,13,"['ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/AbstractJdbcField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/BooleanField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/DoubleField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/FloatField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/IntField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/JdbcField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/LongField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/TextField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/field/TimeField.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/i2b2/ObservationFactRow.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/row/JdbcRow.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/AbstractJdbcTable.java', 'ctakes-core/src/main/java/org/apache/ctakes/core/cc/jdbc/table/JdbcTable.java']","Account for jdbc drivers that cannot use callable statement - i.e. can't use named parameters

git-svn-id: https://svn.apache.org/repos/asf/ctakes/trunk@1856345 13f79535-47bb-0310-9956-ffa450edef68",
