Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,YETUS-168,12826956,,update test-patch to do a single git fetch and a single rebase the test branch,,busbey,Minor,Open,,04/May/15 16:39,13/Oct/20 15:53,
Bug,YETUS-1018,13333532,,CircleCI adding space to artifact URL,aw,aw,Minor,Resolved,Fixed,04/Oct/20 17:50,10/Oct/20 04:46,
Improvement,YETUS-1016,13330738,,Various test-patch performance improvements,aw,aw,Minor,Resolved,Fixed,03/Oct/20 17:41,07/Oct/20 03:37,
Improvement,YETUS-693,13185184,,Add warning about requirements for XML test-patch test,,busbey,Minor,Resolved,Fixed,14/Sep/18 16:15,06/Oct/20 15:44,
Improvement,YETUS-17,12830176,,test-patch.sh smarter java handling,,aw,Minor,Resolved,Won't Fix,15/May/15 14:12,03/Oct/20 06:38,
Bug,YETUS-943,13286584,,Test patch fails to extract version information from a JDK11 jvm,ndimiduk,ndimiduk,Minor,Resolved,Fixed,20/Feb/20 22:38,03/Oct/20 06:37,
Improvement,YETUS-194,12914528,,Document asflicense exclude file examples,,sekikn,Minor,Resolved,Duplicate,19/Nov/15 16:28,03/Oct/20 06:24,
Improvement,YETUS-305,12939004,,site building should check for minimum git version,,busbey,Minor,Resolved,Won't Fix,13/Feb/16 04:58,03/Oct/20 06:22,
Improvement,YETUS-857,13228893,,releasedocmaker docs do not cover the updated --lint command,,aw,Minor,Reopened,,18/Apr/19 15:41,03/Oct/20 06:02,
Bug,YETUS-940,13286100,,Update for Semaphore CI 2.0,aw,aw,Minor,Resolved,Fixed,18/Feb/20 21:32,03/Oct/20 05:21,
Bug,YETUS-790,13213394,,bugsystem_linecomments_trigger shouldn't even run if linecomments are disabled,aw,aw,Minor,Resolved,Won't Fix,01/Feb/19 19:43,30/Sep/20 23:06,
Improvement,YETUS-800,13217616,,Change github output to be review instead of comment,aw,aw,Minor,Resolved,Won't Fix,23/Feb/19 18:16,30/Sep/20 23:03,
Improvement,YETUS-418,12977252,,quickstart example for GitLab CI,aw,busbey,Minor,Open,,09/Jun/16 14:55,14/Sep/20 17:15,
New Feature,YETUS-475,13027546,,Add OpenClover support,,aw,Minor,Open,,12/Dec/16 19:11,13/Sep/20 21:22,
Improvement,YETUS-921,13263692,,Update docs to highlight Docker configuration functions,clayb,clayb,Minor,Resolved,Fixed,22/Oct/19 03:28,13/Sep/20 20:58,
Bug,YETUS-944,13286905,,Maven version number parsing broken for maven 3.5.4,,ndimiduk,Minor,Resolved,Duplicate,21/Feb/20 23:02,13/Sep/20 19:38,
Improvement,YETUS-919,13262061,,Support extra Docker build-args,clayb,clayb,Minor,Resolved,Fixed,14/Oct/19 04:45,06/Apr/20 15:28,
