Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,LOG4PHP-133,12495417,PDO appender doesn't close connections,juice,infozone,Blocker,Closed,Fixed,12/Jan/11 20:38,01/Dec/13 10:59,
Bug,LOG4PHP-4,12380921,Fatal error for constructor in LoggerAppenderRollingFile,kurdalen,micha,Blocker,Closed,Fixed,22/Oct/07 15:37,01/Dec/13 10:56,
Bug,LOG4PHP-5,12380924,LoggerAppenderRollingFile unable to open file and append logs,kurdalen,micha,Blocker,Closed,Fixed,22/Oct/07 16:15,01/Dec/13 10:56,
Bug,LOG4PHP-24,12419637,LoggerAppenderRollingFile unable to rollover,,denniskorbar,Blocker,Closed,Fixed,27/Mar/09 11:15,01/Dec/13 10:56,
Bug,LOG4PHP-234,13057946,"Two plugin using log4php produces Fatal, although include_once used",,crouti,Critical,Open,,21/Mar/17 16:03,18/Nov/19 18:02,
Bug,LOG4PHP-235,13066745,Server certificate verification fails via Git,,kelsey9649,Critical,Open,,25/Apr/17 16:43,26/Oct/19 21:52,
Bug,LOG4PHP-237,13082712,unable to install log4php via pear: unable to resolv hostname pear.apache.org,,level420,Critical,Open,,27/Jun/17 06:29,26/Oct/19 21:11,
Bug,LOG4PHP-242,13199896,Cannot install log4php using composer,,csegedi.csaba,Critical,Open,,21/Nov/18 18:00,26/Oct/19 21:04,
Bug,LOG4PHP-205,12627725,debug_backtrace() sometimes do not return 'file' and 'line' values,juice,dmitriy.ulyanov,Critical,Resolved,Fixed,15/Jan/13 20:09,14/Dec/13 15:57,
Bug,LOG4PHP-206,12631717,CLONE - debug_backtrace() sometimes do not return 'file' and 'line' values,,strintec-test,Critical,Closed,Duplicate,11/Feb/13 12:47,14/Dec/13 14:58,
Bug,LOG4PHP-138,12504787,Permission denied while renaming log file when hundred of users are accessing the application,cgrobmeier,bhumirsheth,Critical,Closed,Fixed,20/Apr/11 12:37,01/Dec/13 10:59,
Bug,LOG4PHP-33,12424300,Appenders is not properly closed upon destruction,kurdalen,kurdalen,Critical,Closed,Fixed,30/Apr/09 13:36,01/Dec/13 10:56,
Bug,LOG4PHP-167,12540258,INI configuration files not parse when using PHP 5.2.x,juice,juice,Critical,Closed,Fixed,28/Jan/12 12:02,01/Dec/13 10:52,
Improvement,LOG4PHP-209,12658390,log4php hierarchical namespace loggers,,tcm,Critical,Open,,17/Jul/13 21:38,17/Jul/13 21:38,
Bug,LOG4PHP-240,13134056,"Use HTTPS for KEYS, sigs and hashes",,sebb,Major,Open,,26/Jan/18 17:10,04/Dec/20 01:10,
New Feature,LOG4PHP-192,12610871,Replace Maven with Phing?,,cgrobmeier,Major,Open,,08/Oct/12 21:02,30/Oct/19 02:15,
Question,LOG4PHP-231,13037387,Cannot depoy code from github that uses log4php,,justageek,Major,Open,,24/Jan/17 16:10,30/Oct/19 02:12,
Bug,LOG4PHP-244,13264627,Update travis CI to PHP7,,kategray,Major,Open,,26/Oct/19 21:51,26/Oct/19 21:51,
Bug,LOG4PHP-239,13129289,Compress parameter doesn't seem to activate compression,,asfaltboy,Major,Open,,08/Jan/18 16:59,27/Mar/19 07:51,
Improvement,LOG4PHP-243,13205980,LoggerAppenderMail : allow to add headers with parameters,,vgratioulet,Major,Open,,21/Dec/18 14:39,21/Dec/18 14:39,
New Feature,LOG4PHP-225,12849298,Implement locking as a configurable parameter on LoggerAppenderFile,,timdown,Major,Open,,27/Jul/15 11:51,04/Jun/18 07:06,
Bug,LOG4PHP-238,13084017,Logging from (ppid) class destructor fails after forked child processes exit gracefully ,,ljerabek,Major,Open,,01/Jul/17 20:28,01/Jul/17 20:34,
New Feature,LOG4PHP-236,13072765,JSON formatted logs,,Kambaa,Major,Open,,17/May/17 11:05,17/May/17 11:07,
Bug,LOG4PHP-227,12958350,Throw an exception while using %request and sending parameter key as array,,priyank780,Major,Open,,13/Apr/16 04:04,08/May/17 09:40,
Bug,LOG4PHP-233,13057478,Relative path does not work : no file created,,crouti,Major,Open,,20/Mar/17 10:14,20/Mar/17 10:23,
Bug,LOG4PHP-224,12827959,LoggerLayoutPattern is not safe when used inside pthreads,,arevak,Major,Open,,07/May/15 08:04,04/Jul/16 16:17,
Bug,LOG4PHP-230,12977300,LoggerAppenderRollingFile breaking log file after certain size,,dipanchokshi,Major,Open,,09/Jun/16 17:26,09/Jun/16 17:26,
Bug,LOG4PHP-222,12781525,MongoDb appender class Mongo Deprecated,,nanghele,Major,Open,,12/Mar/15 15:32,07/May/15 07:56,
Improvement,LOG4PHP-215,12684937,Create a Logstash appender,,cgrobmeier,Major,Open,,16/Dec/13 12:24,01/Apr/15 09:42,
Bug,LOG4PHP-221,12739773,logger cannot inherit parent's appender without log level,,jlyu,Major,Open,,07/Sep/14 16:43,07/Sep/14 16:49,
New Feature,LOG4PHP-220,12721280,Allow deep indexes in superglobal pattern converters,,juice,Major,Open,,15/Jun/14 08:04,15/Jun/14 08:04,
Bug,LOG4PHP-219,12714946,Problems with the mongodb appender,,juice,Major,Open,,17/May/14 07:57,07/Jun/14 12:12,
Bug,LOG4PHP-217,12692718,"LoggerLayoutXml with enabled log4jNamespace create extra ""xml labels""",,cicaza,Major,Open,,02/Feb/14 16:05,02/Feb/14 16:25,
Improvement,LOG4PHP-216,12684938,Create an Apache Flume appender,,cgrobmeier,Major,Open,,16/Dec/13 12:25,16/Dec/13 12:25,
New Feature,LOG4PHP-194,12610878,replace xdoc/apt with something normal,juice,cgrobmeier,Major,Open,,08/Oct/12 21:08,14/Dec/13 14:55,
Improvement,LOG4PHP-208,12653531,Add ability to pass more information to the MongoDB logger ,juice,bthibault,Major,Resolved,Duplicate,18/Jun/13 17:28,14/Dec/13 14:20,
Bug,LOG4PHP-118,12465483,Additivity cannot be disabled through log4php.properties ini file.,,craigmarvelley,Major,Closed,Fixed,26/May/10 16:11,01/Dec/13 10:59,
Bug,LOG4PHP-92,12446426,Variable substitution is broken,,saulius,Major,Closed,Duplicate,23/Jan/10 16:14,01/Dec/13 10:59,
New Feature,LOG4PHP-110,12462074,mongo database appender for log4php,cgrobmeier,char0n,Major,Closed,Fixed,14/Apr/10 19:22,01/Dec/13 10:59,
Bug,LOG4PHP-115,12463121,"Instanciate LoggerAppenderPDO ""by hand"" throw exception",,vaceletm,Major,Closed,Fixed,27/Apr/10 15:34,01/Dec/13 10:59,
New Feature,LOG4PHP-109,12461103,patch for Throwable information associated with logging event,,char0n,Major,Closed,Fixed,03/Apr/10 19:32,01/Dec/13 10:59,
Improvement,LOG4PHP-104,12459960,LoggerNDC: discuss sense and refactor,juice,cgrobmeier,Major,Closed,Fixed,23/Mar/10 08:09,01/Dec/13 10:59,
