Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,SVN-775,12897156,need straightforward way to control subdirectory access,,kfogel,Major,Closed,Fixed,01/Jul/02 13:34,27/Oct/18 16:42,
Task,SVN-428,12896809,"libsvn_repos should handle repos creation, not libsvn_fs",,kfogel,Major,Closed,Fixed,10/Aug/01 22:34,27/Oct/18 16:42,
Bug,SVN-475,12896856,mod_dav_svn needs to un-xml-escape log messages,,kfogel,Major,Closed,Fixed,31/Aug/01 01:24,27/Oct/18 16:42,
Bug,SVN-432,12896813,wc update code needs to be sensitive to binary files,,kfogel,Major,Closed,Fixed,13/Aug/01 15:34,27/Oct/18 16:42,
Task,SVN-515,12896896,GUI client development,,sussman,Major,Closed,Fixed,04/Oct/01 17:50,27/Oct/18 16:42,
Task,SVN-734,12897115,need to tighten 'cp' behaviors,,sussman,Major,Closed,Fixed,13/Jun/02 13:44,27/Oct/18 16:42,
New Feature,SVN-676,12897057,WANTED: `svn info' subcommand,,cmpilato,Major,Closed,Fixed,16/Apr/02 13:22,27/Oct/18 16:42,
Bug,SVN-392,12896773,error messages don't show the error name,,kfogel,Major,Closed,Fixed,17/May/01 20:41,27/Oct/18 16:42,
Improvement,SVN-489,12896870,Accept both \ and / path separator on Windows,,brane,Major,Closed,Fixed,06/Sep/01 21:27,27/Oct/18 16:42,
Bug,SVN-538,12896919,SVN_WC_ADM_DIR_NAME not valid name for repository,,subversion-importer,Major,Closed,Fixed,23/Oct/01 15:41,27/Oct/18 16:42,
Bug,SVN-500,12896881,"""svn status"" doesn't show add/del scheduling info for dirs, unless -v",,kfogel,Major,Closed,Fixed,01/Oct/01 15:32,27/Oct/18 16:42,
Bug,SVN-543,12896924,*rej files left after restoring,,subversion-importer,Major,Closed,Fixed,29/Oct/01 22:05,27/Oct/18 16:42,
Bug,SVN-681,12897062,'svn rm --force DIR' needs better documentation,,sussman,Major,Closed,Fixed,17/Apr/02 13:16,27/Oct/18 16:42,
Bug,SVN-484,12896865,mod_dav_svn must abort failed update txns,,sussman,Major,Closed,Fixed,05/Sep/01 18:04,27/Oct/18 16:42,
Bug,SVN-633,12897014,all committing actions should allow $EDITOR,,kfogel,Major,Closed,Fixed,19/Feb/02 18:36,27/Oct/18 16:42,
Bug,SVN-593,12896974,svn_client_commit gives bogus value to committed_* variable when no commit is happened,,subversion-importer,Major,Closed,Fixed,08/Jan/02 07:20,27/Oct/18 16:42,
Bug,SVN-710,12897091,find_apr.m4 and find_apu.m4 out of date warning by autogen.sh,,subversion-importer,Major,Closed,Fixed,24/May/02 19:28,27/Oct/18 16:42,
Bug,SVN-585,12896966,"""svn status -u"" should always show repos revision",,kfogel,Major,Closed,Fixed,30/Dec/01 01:43,27/Oct/18 16:42,
New Feature,SVN-668,12897049,"~/.subversion/config file for diff option, editor, security, etc",,kfogel,Major,Closed,Fixed,11/Apr/02 17:03,27/Oct/18 16:42,
Bug,SVN-728,12897109,buglets in python test system,,sussman,Major,Closed,Fixed,11/Jun/02 16:18,27/Oct/18 16:42,
Bug,SVN-483,12896864,apr_dir_read is buggy?,,sussman,Major,Closed,Fixed,04/Sep/01 18:22,27/Oct/18 16:42,
Task,SVN-400,12896781,commit tests needed,,kfogel,Major,Closed,Fixed,12/Jun/01 19:28,27/Oct/18 16:42,
New Feature,SVN-664,12897045,Managing mods to external software impossible,,subversion-importer,Major,Closed,Duplicate,08/Apr/02 20:47,27/Oct/18 16:42,
Bug,SVN-439,12896820,svn diff on non Subversion controlled file dumps core,,subversion-importer,Major,Closed,Fixed,15/Aug/01 05:12,27/Oct/18 16:42,
New Feature,SVN-672,12897053,CVSWeb-like fuctionality,,subversion-importer,Major,Closed,Fixed,13/Apr/02 02:18,27/Oct/18 16:42,
Bug,SVN-552,12896933,Backdating with mods and deletes considered harmful,,cmpilato,Major,Closed,Fixed,06/Nov/01 14:09,27/Oct/18 16:42,
Bug,SVN-499,12896880,fix status output by handling absent files locally when updating,,kfogel,Major,Closed,Fixed,28/Sep/01 17:50,27/Oct/18 16:42,
Bug,SVN-700,12897081,'svn merge' anchor/target problems,,sussman,Major,Closed,Abandoned,06/May/02 16:01,27/Oct/18 16:42,
Bug,SVN-447,12896828,need clearer error message in out-of-date case,,kfogel,Major,Closed,Duplicate,16/Aug/01 21:37,27/Oct/18 16:42,
Bug,SVN-722,12897103,"Store log messages in UTF-8, converting from client locale",,kfogel,Major,Closed,Duplicate,09/Jun/02 17:02,27/Oct/18 16:42,
Task,SVN-642,12897023,svn_fs__string_read() needs minor reworking.,,cmpilato,Major,Closed,Fixed,05/Mar/02 22:58,27/Oct/18 16:42,
Bug,SVN-777,12897158,'svn log' bombs out if any arg is unversioned,,subversion-importer,Major,Closed,Fixed,02/Jul/02 03:26,27/Oct/18 16:42,
Task,SVN-470,12896851,"need right fix in mod_dav.c:dav_handler(), or somewhere else",,kfogel,Major,Closed,Fixed,30/Aug/01 23:05,27/Oct/18 16:42,
Bug,SVN-381,12896762,Greg Stein sez checkout of nested file over net gets error,,kfogel,Major,Closed,Fixed,07/May/01 19:00,27/Oct/18 16:42,
Bug,SVN-550,12896931,"Add foo, commit, delete foo, commit, fails in ra_local",,cmpilato,Major,Closed,Duplicate,05/Nov/01 20:52,27/Oct/18 16:42,
New Feature,SVN-507,12896888,svn rdiff,,sussman,Major,Closed,Duplicate,04/Oct/01 17:33,27/Oct/18 16:42,
Bug,SVN-718,12897099,"'svn log file:///"" is broken",,sussman,Major,Closed,Fixed,06/Jun/02 22:22,27/Oct/18 16:42,
Bug,SVN-623,12897004,Cannot compile subversion-r909 on MacOSX,,subversion-importer,Major,Closed,Cannot Reproduce,08/Feb/02 00:39,27/Oct/18 16:42,
Bug,SVN-430,12896811,db recovery itself returns recovery error,,kfogel,Major,Closed,Fixed,13/Aug/01 03:42,27/Oct/18 16:42,
Bug,SVN-688,12897069,client tries to open the same repository more than once,,brane,Major,Closed,Fixed,24/Apr/02 12:20,27/Oct/18 16:42,
Task,SVN-456,12896837,authentication system cleanups,,kfogel,Major,Closed,Fixed,20/Aug/01 15:58,27/Oct/18 16:42,
Bug,SVN-551,12896932,Specifing wrong file to svn commit -F causes core dump,,subversion-importer,Major,Closed,Fixed,06/Nov/01 02:23,27/Oct/18 16:42,
Bug,SVN-539,12896920,Windows build of r300 fails with link errors,,subversion-importer,Major,Closed,Fixed,24/Oct/01 18:39,27/Oct/18 16:42,
Bug,SVN-463,12896844,rewrite commit path on server side,,kfogel,Major,Closed,Fixed,24/Aug/01 15:18,27/Oct/18 16:42,
Improvement,SVN-643,12897024,"Subversion should install headers into a subdir, in a way that will allow parallel installs in the future.",,subversion-importer,Major,Closed,Fixed,06/Mar/02 21:18,27/Oct/18 16:42,
Improvement,SVN-774,12897155,[PATCH] avoid early exit when acting on some non-versioned files,,subversion-importer,Major,Closed,Fixed,01/Jul/02 03:30,27/Oct/18 16:42,
Bug,SVN-596,12896977,svn diff fails silently when the diff binary is missing,,rooneg,Major,Closed,Fixed,08/Jan/02 23:30,27/Oct/18 16:42,
Improvement,SVN-654,12897035,switch our NodeRevID representation,,gstein,Major,Closed,Fixed,12/Mar/02 23:04,27/Oct/18 16:42,
Bug,SVN-687,12897068,assertion failure entries.c:fold_scheduling:1314,,philipm,Major,Closed,Fixed,24/Apr/02 11:35,27/Oct/18 16:42,
Bug,SVN-541,12896922,i18n chars in filenames cause checkout problems,,subversion-importer,Major,Closed,Duplicate,29/Oct/01 03:43,27/Oct/18 16:42,
Bug,SVN-451,12896832,commit output scarily wrong,,kfogel,Major,Closed,Fixed,17/Aug/01 00:51,27/Oct/18 16:42,
Task,SVN-615,12896996,"text editor invoked via system() call, should be svn_io_run_cmd?",,kfogel,Major,Closed,Fixed,28/Jan/02 17:22,27/Oct/18 16:42,
Bug,SVN-609,12896990,diff_tests.py number 4 fails over ra_dav (server diffs?),,philipm,Major,Closed,Fixed,23/Jan/02 00:25,27/Oct/18 16:42,
Bug,SVN-542,12896923,timestamps not always working,,kfogel,Major,Closed,Fixed,29/Oct/01 21:50,27/Oct/18 16:42,
Bug,SVN-641,12897022,problems committing an added property,,kfogel,Major,Closed,Cannot Reproduce,04/Mar/02 20:33,27/Oct/18 16:42,
Bug,SVN-564,12896945,./configure - diffutils does not contain GNU patch,,subversion-importer,Major,Closed,Fixed,26/Nov/01 22:39,27/Oct/18 16:42,
Task,SVN-506,12896887,svn export needs tests,,sussman,Major,Closed,Fixed,04/Oct/01 17:31,27/Oct/18 16:42,
Bug,SVN-387,12896768,bug in nested wc deletions,,cmpilato,Major,Closed,Duplicate,11/May/01 17:09,27/Oct/18 16:42,
Bug,SVN-679,12897060,'svn mv dir1 dir2' fails upon commit.,,sussman,Major,Closed,Fixed,17/Apr/02 13:10,27/Oct/18 16:42,
Bug,SVN-698,12897079,'svn co' using the original URL fails on subdirectories,,philipm,Major,Closed,Fixed,05/May/02 14:46,27/Oct/18 16:42,
Bug,SVN-526,12896907,invoke diff on Windows correctly (may be APR issue),,subversion-importer,Major,Closed,Cannot Reproduce,12/Oct/01 21:36,27/Oct/18 16:42,
Bug,SVN-567,12896948,server returns 500 in place of 404 (not found),,kfogel,Major,Closed,Fixed,27/Nov/01 22:31,27/Oct/18 16:42,
Bug,SVN-580,12896961,svn mv does not rm file.,,subversion-importer,Major,Closed,Fixed,06/Dec/01 20:23,27/Oct/18 16:42,
Bug,SVN-598,12896979,"""svn status <nonexistent-file>"" fails to give an error",,kfogel,Major,Closed,Fixed,09/Jan/02 16:27,27/Oct/18 16:42,
Bug,SVN-646,12897027,"When svn:keywords changes, the local working copy doesn't",,subversion-importer,Major,Closed,Fixed,11/Mar/02 22:30,27/Oct/18 16:42,
Improvement,SVN-582,12896963,fix svnlook so commit emails show copies as copies,,cmpilato,Major,Closed,Fixed,17/Dec/01 21:44,27/Oct/18 16:42,
Bug,SVN-607,12896988,svn diff -r <some number here> fails if a directory is missing,,rooneg,Major,Closed,Fixed,21/Jan/02 03:22,27/Oct/18 16:42,
