Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,SYNAPSE-517,12416891,Source code of HessianMessageFormatter/Builder could be improved and a test cases added,asankha,ehubert,Minor,Resolved,Fixed,14/Mar/09 15:11,14/Mar/09 15:51,
Improvement,SYNAPSE-516,12416435,Deprecation of AbstractMediatorFactory.processTraceState() instead of removing it,asankha,ehubert,Minor,Resolved,Fixed,09/Mar/09 13:46,09/Mar/09 17:13,
Improvement,SYNAPSE-514,12416395,Enhance HessianMessageBuilder with fault detection,ruwan,ehubert,Minor,Resolved,Fixed,08/Mar/09 21:56,09/Mar/09 08:29,
Improvement,SYNAPSE-100,12369171,Synapse could be improved to support WS-RM 1.1,ruwan,asankha,Minor,Resolved,Fixed,12/May/07 17:28,05/Mar/09 18:20,
Bug,SYNAPSE-499,12411999,Synapse.war not contain synapse .mar file in where should i put a patch ?is synapse NIGHTLY version?,ruwan,charith,Minor,Resolved,Fixed,09/Jan/09 07:22,05/Mar/09 17:55,
Bug,SYNAPSE-509,12415034,"XML name space mismatch in Synapse sample 2 ,4 and 7",ruwan,charith,Minor,Resolved,Fixed,18/Feb/09 11:22,05/Mar/09 17:50,
Bug,SYNAPSE-478,12407832,Synapse exceptions with JBossMQ,asankha,irantha,Minor,Resolved,Fixed,05/Nov/08 07:59,27/Feb/09 04:34,
Bug,SYNAPSE-506,12414816,[PATCH] messageId isn't randomized,veithen,dbrosius@apache.org,Minor,Resolved,Fixed,15/Feb/09 01:39,15/Feb/09 12:25,
Bug,SYNAPSE-505,12414815,[PATCH] Fix NPE in XQueryMediator due to invalid non short-circuited if,veithen,dbrosius@apache.org,Minor,Resolved,Fixed,15/Feb/09 01:32,15/Feb/09 12:18,
Bug,SYNAPSE-504,12414814,[PATCH] Fix faulty if guard for setting ds catalog,veithen,dbrosius@apache.org,Minor,Resolved,Fixed,15/Feb/09 01:28,15/Feb/09 12:15,
Improvement,SYNAPSE-498,12411846,Make it easier to detect fault messages when mediating them,asankha,asankha,Minor,Resolved,Fixed,07/Jan/09 10:11,13/Jan/09 18:24,
Improvement,SYNAPSE-495,12411373,Spring version update,,charith,Minor,Open,,28/Dec/08 04:35,28/Dec/08 15:57,
Bug,SYNAPSE-491,12411250,Sporadic test failures in NIO HTTP tests,veithen,veithen,Minor,Resolved,Fixed,23/Dec/08 15:57,27/Dec/08 19:06,
Bug,SYNAPSE-494,12411269,NIO HTTP transport: GET request without operation name causes Synapse to hang,veithen,veithen,Minor,Resolved,Fixed,23/Dec/08 21:34,23/Dec/08 21:54,
Bug,SYNAPSE-479,12408146,Failure in REST test case,veithen,veithen,Minor,Resolved,Fixed,10/Nov/08 12:11,23/Dec/08 21:34,
Bug,SYNAPSE-403,12400732,Synapse Module Archive does not creat/add to the binary build,,asankaa,Minor,Resolved,Invalid,22/Jul/08 11:32,02/Dec/08 07:40,
Bug,SYNAPSE-432,12402400,Config file for sample 257 got a path to a machine specific local folder ,,asankaa,Minor,Resolved,Fixed,14/Aug/08 19:08,28/Nov/08 03:08,
Improvement,SYNAPSE-349,12397700,Transport base package is dependent on transport specific (VFS and Mail) classes,,olegk,Minor,Resolved,Fixed,06/Jun/08 16:44,27/Nov/08 23:43,
Bug,SYNAPSE-444,12404200,"Failures in SALoadBalanceEndpoint result in ""empty"" faults back to the client.",ruwan,jasonwalton,Minor,Resolved,Fixed,11/Sep/08 19:56,23/Oct/08 05:55,
Improvement,SYNAPSE-473,12406249,Synapse Clustering Documentation,,ehubert,Minor,Open,,12/Oct/08 11:42,12/Oct/08 11:43,
Bug,SYNAPSE-246,12390208,Inappropriate test strategy in MailEchoRawXMLTest,veithen,veithen,Minor,Resolved,Fixed,04/Mar/08 21:07,21/Sep/08 20:07,
Bug,SYNAPSE-450,12404512,MailTransportListener should warn when connecting to a non-existing IMAP account,veithen,stlecho,Minor,Resolved,Won't Fix,17/Sep/08 09:49,20/Sep/08 22:08,
Improvement,SYNAPSE-408,12401135,Improve Synapse Memory Footprint under HTTP 1.0,veithen,saliya,Minor,Resolved,Fixed,28/Jul/08 06:03,24/Aug/08 11:59,
Bug,SYNAPSE-430,12402356,Default config files missing to run the sample 260 ,hiranya,asankaa,Minor,Resolved,Fixed,14/Aug/08 07:58,14/Aug/08 09:10,
