Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,PIO-215,13335481,,Build is Failing because of Travis-CI dependencies,,akroy94,Blocker,Open,,14/Oct/20 19:30,14/Oct/20 19:31,
Improvement,PIO-49,13035089,,Add support for Elasticsearch 5.x,dszeto,shinsuke,Blocker,Closed,Fixed,16/Jan/17 03:51,04/Apr/17 16:58,
Bug,PIO-45,13022036,,SelfCleaningDatasource erases all data,emergentorder,pferrel,Blocker,Closed,Fixed,20/Nov/16 20:55,04/Apr/17 16:58,
Task,PIO-27,12998696,,Check release artifacts for licenses and the LICENSE.txt file,pferrel,pferrel,Blocker,Closed,Fixed,20/Aug/16 18:53,08/Oct/16 05:17,
Bug,PIO-213,13270129,,Elastic search as event data storage does not work,,eduard_sanin,Critical,Open,,22/Nov/19 16:59,26/Nov/19 10:58,
Bug,PIO-191,13194640,,2 Error links on Website Front-page,Wei-1,Wei-1,Critical,Closed,Fixed,27/Oct/18 20:23,04/Nov/18 18:13,
Task,PIO-171,13186813,,Drop Scala 2.10 and Spark 1.6 support,takezoe,takezoe,Critical,Resolved,Fixed,22/Sep/18 15:00,26/Sep/18 18:29,
Improvement,PIO-1,12985074,,Make SSL and authKey param authentication optional,dszeto,dszeto,Critical,Closed,Fixed,29/Jun/16 17:07,08/Oct/16 05:17,
Improvement,PIO-12,12992010,,Adding some basic Scala style rules missed in scalastyle-config.xml,dszeto,gurwls223,Major,Closed,Fixed,23/Jul/16 03:39,12/Dec/22 18:10,
Bug,PIO-214,13272087,,Build is Failing because of Travis-CI dependencies,takezoe,reynoldsm88,Major,Resolved,Fixed,04/Dec/19 00:59,12/Dec/19 16:17,
New Feature,PIO-70,13072679,,Add Cassandra as alternate to HBase for event data repository,,sasher,Major,Open,,17/May/17 04:48,11/Nov/19 17:46,
Improvement,PIO-209,13239226,,Upgrade default build versions,,shimamoto,Major,Open,,13/Jun/19 09:53,05/Nov/19 15:23,
Bug,PIO-211,13248167,,pio deploy fails when using HDFS model storage,,emergentorder,Major,Resolved,Fixed,31/Jul/19 17:40,31/Jul/19 18:29,
Task,PIO-181,13190817,,Drop Elasticsearch 1.x support,shimamoto,shimamoto,Major,Resolved,Fixed,11/Oct/18 04:33,13/Jun/19 09:45,
Improvement,PIO-198,13201579,,Add PredictionIO Charts for Helm,shinsuke,shinsuke,Major,Open,,30/Nov/18 09:37,07/Apr/19 13:16,
Improvement,PIO-199,13204156,,Spark 2.4 (Scala 2.11) support,shimamoto,shimamoto,Major,Resolved,Fixed,13/Dec/18 06:15,07/Apr/19 12:07,
Task,PIO-207,13220979,,Upgrade Docker image to PIO 0.14.0,,shimamoto,Major,Open,,12/Mar/19 02:28,12/Mar/19 02:28,
Improvement,PIO-186,13192291,,Github description update spray to akka-http,,Wei-1,Major,Resolved,Fixed,17/Oct/18 16:05,21/Feb/19 08:08,
Improvement,PIO-194,13197804,,S3 Model Data Storage should allow more flexible ways for specifying AWS credentials,longliveenduro,longliveenduro,Major,Resolved,Fixed,12/Nov/18 13:46,21/Feb/19 04:51,
Task,PIO-170,13186804,,Upgrade sbt to 1.x,takezoe,takezoe,Major,Resolved,Fixed,22/Sep/18 12:31,21/Feb/19 04:50,
New Feature,PIO-172,13187096,,Migration guide for ES 6.x changes,shimamoto,dszeto,Major,Resolved,Fixed,24/Sep/18 17:54,21/Feb/19 04:46,
New Feature,PIO-168,13186755,,Elasticsearch 6.x support,emergentorder,dszeto,Major,Resolved,Fixed,21/Sep/18 22:51,20/Feb/19 10:01,
Improvement,PIO-195,13198497,,Improve readability and grammar of documentation,,shimamoto,Major,Resolved,Fixed,15/Nov/18 02:12,20/Feb/19 09:59,
Task,PIO-175,13187456,,Deprecation of Elasticsearch 1.x support,shimamoto,takezoe,Major,Resolved,Fixed,25/Sep/18 22:08,20/Feb/19 09:58,
Task,PIO-206,13215171,,Spark 2.3.2 to 2.3.3,shimamoto,shimamoto,Major,Resolved,Fixed,12/Feb/19 07:28,20/Feb/19 09:46,
Sub-task,PIO-204,13209612,13186755,pio deploy --engine-instance-id doesn't work,,shimamoto,Major,Closed,Duplicate,15/Jan/19 10:39,21/Jan/19 06:02,
Sub-task,PIO-203,13209578,13186755,pio status warnings,shimamoto,shimamoto,Major,Resolved,Fixed,15/Jan/19 08:40,21/Jan/19 05:56,
Improvement,PIO-192,13195824,,Enhance PySpark support,shimamoto,shimamoto,Major,Resolved,Done,02/Nov/18 05:49,10/Dec/18 13:06,
Wish,PIO-86,13075075,,Maintain a working docker container,shinsuke,sasher,Major,Resolved,Fixed,26/May/17 04:58,18/Nov/18 23:29,
Improvement,PIO-193,13196574,,Use async requests to storage whenever possible,,longliveenduro,Major,Open,,06/Nov/18 14:38,17/Nov/18 00:28,
New Feature,PIO-183,13191475,,Add Jupyter Docker image,shinsuke,shinsuke,Major,Closed,Fixed,15/Oct/18 00:21,02/Nov/18 03:37,
Improvement,PIO-182,13191233,,Add asynchronous (non-blocking) methods to LEventStore,takezoe,takezoe,Major,Closed,Fixed,12/Oct/18 16:06,29/Oct/18 14:21,
Improvement,PIO-188,13193227,,Update the build matrix to the latest supported versions,shimamoto,shimamoto,Major,Resolved,Fixed,22/Oct/18 10:49,26/Oct/18 18:34,
Task,PIO-190,13194462,,Request official Docker Hub repository,,dszeto,Major,Open,,26/Oct/18 16:50,26/Oct/18 16:50,
Sub-task,PIO-189,13193798,13186755,ES6 integration test fails,emergentorder,shimamoto,Major,Resolved,Fixed,24/Oct/18 09:10,26/Oct/18 06:08,
Improvement,PIO-31,13001033,,Move from spray to akka-http in servers,takezoe,ziemin,Major,Resolved,Done,29/Aug/16 16:21,13/Oct/18 06:22,
Improvement,PIO-76,13073739,,Improve installation script /  process for first time users,dszeto,sasher,Major,Open,,21/May/17 20:46,03/Oct/18 03:01,
Bug,PIO-169,13186799,,Index creation problem in MySQL,,takezoe,Major,Open,,22/Sep/18 11:58,22/Sep/18 11:59,
Wish,PIO-145,13129884,,HBase Kerberos Authentication ?,,xponscele,Major,Open,,10/Jan/18 15:37,20/Sep/18 20:39,
Improvement,PIO-89,13075199,,Add page to documentation that lists out deprecations,dszeto,sasher,Major,Closed,Fixed,26/May/17 15:54,20/Sep/18 20:36,
Improvement,PIO-121,13101777,,Authentication for Engine's HTTP API,,marsikai,Major,Open,,12/Sep/17 21:02,20/Sep/18 18:55,
Improvement,PIO-123,13102839,,Apply APLv2 to Ruby SDK,dszeto,dszeto,Major,Closed,Fixed,17/Sep/17 20:59,19/Sep/18 18:20,
Improvement,PIO-82,13075068,,Improve debugging experience in IntelliJ/Eclipse when developing templates ,,sasher,Major,Open,,26/May/17 04:45,17/Sep/18 21:27,
Bug,PIO-157,13174099,,The Java SDK page gives a 404 error,dszeto,jay.barra,Major,Closed,Fixed,24/Jul/18 12:58,17/Sep/18 18:51,
Bug,PIO-164,13184552,,Update JavaSDK's examples correctly,takezoe,takezoe,Major,Closed,Fixed,12/Sep/18 09:10,17/Sep/18 17:19,
Improvement,PIO-163,13184474,,Upgrade and release PHP SDK,dszeto,dszeto,Major,Closed,Fixed,11/Sep/18 21:37,13/Sep/18 22:41,
Improvement,PIO-162,13183514,,Make Java SDK compliant to ASF standards,dszeto,dszeto,Major,Closed,Fixed,06/Sep/18 22:25,11/Sep/18 18:35,
Bug,PIO-160,13181214,,Array out of bound exception in JDBCUtils when --env is not supplied to CreateWorkflow,dszeto,dszeto,Major,Resolved,Fixed,27/Aug/18 00:36,11/Sep/18 02:00,
Bug,PIO-98,13081371,,Issues in building Complementary Purchase Engine Template,dszeto,salil.chawla,Major,Closed,Won't Do,21/Jun/17 09:44,11/Sep/18 02:00,
Bug,PIO-156,13144901,,Stale release on download page,dszeto,sebb,Major,Resolved,Fixed,14/Mar/18 00:13,10/Sep/18 20:01,
Improvement,PIO-146,13132263,,Change TM to (R) on text marks,dszeto,dszeto,Major,Resolved,Fixed,19/Jan/18 18:50,10/Sep/18 03:19,
Improvement,PIO-125,13103803,,Spark 2.2 support,shinsuke,shinsuke,Major,Resolved,Fixed,21/Sep/17 03:17,10/Sep/18 03:18,
Improvement,PIO-128,13106988,,Incorporate all 7 templates that are in Apache repositories,dszeto,dszeto,Major,Open,,04/Oct/17 16:48,10/Sep/18 02:52,
Improvement,PIO-113,13093744,,pridection of user who can able to give answer of posted question based on whole mysql data,,dipen.ec2010@gmail.com,Major,Closed,Won't Do,10/Aug/17 10:45,10/Sep/18 02:44,
Improvement,PIO-79,13073743,,Create architecture guide for new developers,dszeto,sasher,Major,Open,,21/May/17 21:16,10/Sep/18 02:35,
Improvement,PIO-75,13073738,,Improve committer documentation,chanlee514,sasher,Major,Open,,21/May/17 20:45,10/Sep/18 02:35,
New Feature,PIO-71,13072855,,Support Spark ML natively as an alternative to DASE,chanlee514,dszeto,Major,Open,,17/May/17 16:07,10/Sep/18 02:34,
Bug,PIO-144,13127202,,pio not working,dszeto,ashokpundit,Major,Closed,Invalid,26/Dec/17 11:59,06/Sep/18 20:00,
Task,PIO-158,13179523,,More officially deprecate support for Scala 2.10 and Spark 1.x,shimamoto,shimamoto,Major,Resolved,Fixed,17/Aug/18 07:27,06/Sep/18 19:50,
New Feature,PIO-161,13182242,,Spark 2.3 support,dszeto,dszeto,Major,Resolved,Fixed,30/Aug/18 21:41,05/Sep/18 22:33,
Improvement,PIO-61,13064565,,Add S3 Model Data Repository,shinsuke,shinsuke,Major,Closed,Fixed,18/Apr/17 03:09,01/Sep/18 00:33,
Improvement,PIO-159,13181213,,Update IntelliJ instructions for template development,dszeto,dszeto,Major,Closed,Fixed,27/Aug/18 00:29,27/Aug/18 00:39,
Bug,PIO-149,13139961,,Getting Error during PIO train,,praveenp89@gmail.com,Major,Resolved,Not A Problem,21/Feb/18 17:53,14/Mar/18 14:24,
Bug,PIO-152,13142305,,DOAP syntax error,dszeto,sebb,Major,Resolved,Fixed,04/Mar/18 00:12,12/Mar/18 16:51,
New Feature,PIO-154,13144368,,Cluster provisioner for model training,,dszeto,Major,Open,,12/Mar/18 16:45,12/Mar/18 16:45,
Bug,PIO-137,13115917,,Connection pool is not yet initialized.(name:'default),shimamoto,mukesh.gupta,Major,Resolved,Fixed,03/Nov/17 13:28,06/Mar/18 03:07,
Improvement,PIO-127,13105651,,Update documentation for release process,chanlee514,chanlee514,Major,Resolved,Fixed,28/Sep/17 05:15,06/Mar/18 03:02,
Improvement,PIO-133,13107684,,Make sure project web site meets all requirements in Apache Project Website Branding Policy,dszeto,dszeto,Major,Resolved,Fixed,07/Oct/17 05:36,06/Mar/18 03:01,
Task,PIO-140,13123627,,Describe the binary distribution in the installation guide,chanlee514,takezoe,Major,Resolved,Fixed,08/Dec/17 05:11,06/Mar/18 02:57,
Task,PIO-135,13110582,,Remove all incubating annotation from web site,chanlee514,dszeto,Major,Resolved,Fixed,19/Oct/17 06:33,01/Mar/18 21:51,
Task,PIO-148,13138011,,Remove incubator from all Git URLs,chanlee514,dszeto,Major,Resolved,Fixed,12/Feb/18 23:46,01/Mar/18 21:51,
Improvement,PIO-150,13141339,,Update ruby gem dependency versions for security improvement,chanlee514,chanlee514,Major,Resolved,Fixed,27/Feb/18 20:26,01/Mar/18 21:51,
Bug,PIO-147,13138010,,Fix broken Scala API documentation,dszeto,dszeto,Major,Resolved,Fixed,12/Feb/18 23:40,13/Feb/18 16:59,
Bug,PIO-142,13125209,,DOAP has moved,dszeto,sebb,Major,Closed,Fixed,15/Dec/17 12:26,19/Jan/18 19:04,
Bug,PIO-143,13126930,,$set - $unset events compression doesn't work,,normal,Major,Open,,23/Dec/17 01:06,23/Dec/17 01:08,
Bug,PIO-138,13117333,,Batch predict fails when using a PersistentModel,marsikai,marsikai,Major,Open,,09/Nov/17 16:54,14/Dec/17 20:40,
Improvement,PIO-110,13091676,,Refactor common code shared by CreateServer and BatchPredict,takezoe,dszeto,Major,Closed,Fixed,01/Aug/17 20:42,05/Dec/17 22:44,
Bug,PIO-91,13076180,,hadoop-hdfs artifact missing when creating binary version of PredictionIO,shimamoto,stephan.volkeri,Major,Closed,Fixed,31/May/17 12:46,05/Dec/17 22:44,
Improvement,PIO-115,13096848,,Cache name-to-ID lookups for Storage app & channel,marsikai,marsikai,Major,Closed,Fixed,22/Aug/17 21:13,05/Dec/17 22:44,
Task,PIO-111,13091677,,Document pio batchpredict,marsikai,dszeto,Major,Closed,Fixed,01/Aug/17 20:43,05/Dec/17 22:44,
