hash,authors,committer,changes_FileNum,changed_files,message,bug_id
5c3ecdbde4d7d8af61eeb25925eb834b89252a8b,,,1,['managementnode/lib/VCL/utils.pm'],VCL-1132 Added logic to skip character l and L when generating passwords,VCL-1132
5250d8ea1f6b4295e4364ccd849a77bd7835818c,,,1,['managementnode/bin/cygwin-sshd-config.sh'],Resolved merge conflict by taking most recent version,
e1d7e13127cd8cbb2ed5333e9e7093e93101412f,,,2,"['managementnode/bin/gen-node-key.sh', 'managementnode/tools/Windows/Scripts/update_cygwin.cmd']","VCL-1127 - Make changes to handle Cygwin's change of sshd service name to cygsshd

update_cygwin.cmd: modified line that determines name for ssh service - added spaces after '=' for arguments, without the spaces, Windows gives a weird 1060 error

gen-node-key.sh: modified line that determines name for ssh service - added spaces after '=' for arguments, without the spaces, Windows gives a weird 1060 error",VCL-1127
7a6a7ed71be793f8b5bccc19a9635d997d02d2f4,,,1,['managementnode/bin/cygwin-sshd-config.sh'],"VCL-1127 - Make changes to handle Cygwin's change of sshd service name to cygsshd

cygsshd-sshd-config.sh: changed method to determine value for sshdservice; set default value if attempt to determine value returns an empty string to cygsshd rather than sshd",VCL-1127
eb16528f6d76406c5f248e913dbe5b19ada355bc,,,1,['managementnode/tools/Windows/Scripts/update_cygwin.cmd'],"VCL-1127 - Make changes to handle Cygwin's change of sshd service name to cygsshd

update_cygwin.cmd: modified line that determines name for ssh service - added spaces after '=' for arguments, without the spaces, Windows gives a weird 1060 error",VCL-1127
826b1ddc09a5c47369b144c5b12461bbb3772d63,,,1,['managementnode/bin/gen-node-key.sh'],"VCL-1127 - Make changes to handle Cygwin's change of sshd service name to cygsshd

gen-node-key.sh: modified line that determines name for ssh service - added spaces after '=' for arguments, without the spaces, Windows gives a weird 1060 error",VCL-1127
cd35d17a26b0858ac58d2b3fdd62699dc0570378,,,1,['managementnode/bin/cygwin-sshd-config.sh'],"VCL-1127 - Make changes to handle Cygwin's change of sshd service name to cygsshd

cygwin-sshd-config.sh: modified line that determines name for ssh service - added spaces after '=' for arguments, without the spaces, Windows gives a weird 1060 error",VCL-1127
b3ef160148b8cb8c50c67dbdd7c3abc3c15d4fb8,,,5,"['managementnode/bin/cygwin-sshd-config.sh', 'managementnode/bin/gen-node-key.sh', 'managementnode/lib/VCL/Module/OS/Windows.pm', 'managementnode/lib/VCL/Module/OS/Windows/Version_6/8.pm', 'managementnode/tools/Windows/Scripts/update_cygwin.cmd']","VCL-1127 - Make changes to handle Cygwin's change of sshd service name to cygsshd

Windows.pm:
-modified pre_capture: attempt calling set_service_startup_mode for cygsshd if call for sshd fails
-modified post_load: attempt calling set_service_startup_mode for cygsshd if call for sshd fails
-modified set_password: set @services array to include both sshd and cygsshd, use variable to see if setting one of them was successful, give warning message if neither one worked
-modified reboot: attempt calling set_service_startup_mode for cygsshd if call for sshd fails

8.pm: modified pre_capture: attempt calling set_service_startup_mode for cygsshd if call for sshd fails

cygwin-sshd-config.sh:
-attempt to parse sshd service name from ""sc queryex type=service state=all"" into a variable ($sshdservice) and default to sshd if cannot
-changed references to ""sshd"" service name to $sshdservice
-added call to delete registry key based on $sshdservice, left hard coded registry delete for sshd to clean up old data if cygwin gets upgraded on an image
-added $sshdservice to echoed statement ""Starting Cygwin SSHD service""

gen-node-key.sh: added code after case block where SSHSTART and SSHSTOP are set that checks for the name of the sshd service and sets SSHSTART and SSHSTOP to have cygsshd if needed

update_cygwin.cmd: added code to set %sshdservice% variable from service name and use it when manging sshd service",VCL-1127
32c259983dd48dde0eef50d68795fb0d27ab45a2,,,3,"['managementnode/lib/VCL/Module/OS.pm', 'managementnode/lib/VCL/utils.pm', 'web/.ht-inc/utils.php']","VCL-1126 - allocate computer already having specified IP address for server reservations with specified IP

OS.pm: modified confirm_fixed_ip_is_available: added $computer_id argument when calling is_ip_assigned_query; added check for assigned computer having specified IP address and if so, skip ping check

utils.pm: modified is_ip_assigned_query: added 2nd (optional) argument for a computer ID; if computer ID is passed in, don't include that computer in query results

utils.php:
-modified isAvailable: added check for any mapped computers already having the requested IP address, and if so, limit mapped computers to just those and set a flag that mapped computers have been limited; at first check for no computers being available if mapped computer flag is set, use -4 return code instead of 0; if mapped computer flag set, skip removing recently reserved computers that may have failed
-modified debugIsAvailable: changed message for case 2 to say an unavailable computer has the requested IP instead of stating an overlapping server reservation has the address assigned",VCL-1126
0e1f6f73bd2b568c9c7ed66812466a14df2ca327,,,1,['managementnode/lib/VCL/Module/OS/Linux.pm'],"VCL-1083
Fixed logic problem in Linux.pm::delete_user introduced in previous commit to prevent home directories on non-local disks from being deleted.",VCL-1083
6f4a6c2e396e57537484417b3a615761b5f61207,,,1,['.gitignore'],"VCL-1123
Added basic top-level .gitignore with exclusions for .kpf (ActiveState Komodo) and .idea (JetBrains IDEs).",VCL-1123
413f6f2fcc7edbf8ff5b70c3e1f835536bf9b638,,,1,['doap_vcl.rdf'],doap_vcl.rdf: added 2.5.1 release,
80d9db4172b9c08507093d8d44d51c32f1eadf19,,,6,"['managementnode/lib/VCL/Module/OS/Linux/Ubuntu.pm', 'managementnode/lib/VCL/Module/OS/Windows.pm', 'managementnode/lib/VCL/Module/Provisioning/libvirt.pm', 'managementnode/lib/VCL/Module/Provisioning/libvirt/KVM.pm', 'vcl-install.sh', 'web/.ht-inc/utils.php']",Merge branch 'develop' into VCL-1114_misc_small_web_updates,
2154aa0b9ca5183d63e552a09dcc7831cc597e6c,,,1,['web/.ht-inc/utils.php'],"VCL-1106 - make PHP code compatible with PHP 7

utils.php: modified xmlrpccall xmlrpcgetaffiliations: $HTTP_RAW_POST_DATA is deprecated in php 7 - removed global reference to $HTTP_RAW_POST_DATA; now get contents of php://input into variable and pass that variable to xmlrpc_server_call_method instead of $HTTP_RAW_POST_DATA",VCL-1106
d9fe39d2bec1b1208771b2cad30d64dfc931554b,,,1,['managementnode/lib/VCL/Module/Provisioning/libvirt.pm'],"VCL-1084 - set cache mode for libvirt VMs

libvirt.pm: modified generate_domain_xml: chagned call to is_file_on_local_disk from $self->os->nathost_os->is_file_on_local_disk to $self->vmhost_os->is_file_on_local_disk",VCL-1084
0b75ab24698d17498ff180078387129c9d96d623,,,1,['vcl-install.sh'],vcl-install.sh: reverting one change from 0975664e7 where sha1sum should not have been changed to sha512sum in set_localauth_password when setting the local passwords,vcl-
728c28546c9eb6ac42f2fe83b042b607207e25c0,,,1,['managementnode/lib/VCL/Module/OS/Linux/Ubuntu.pm'],Ubuntu.pm: fixed comment added in last commit,
94426dfaaee4e288d22464301618e790b2f28008,,,1,['managementnode/lib/VCL/Module/OS/Windows.pm'],"Windows.pm: modified disable_automatic_updates: added ""AUOptions""=dword:00000001 to registry key that gets set; we encountered times when it seemed a VM was doing automatic updates and this is a different option to disable automatic updates",
655566bd1fb0c9996e17e25fc2b6fa4c2bd164d5,,,1,['managementnode/lib/VCL/Module/Provisioning/libvirt.pm'],"libvirt.pm: modified power_off: added check for ""SIGKILL: Device or resource busy"" in output of virsh destroy command - we've experienced times when a domain was considered busy but could be destroyed a few seconds later, this waits 30 seconds and tries again",
