Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Documentation,SPARK-23073,13130805,,Fix incorrect R doc page header for generated sql functions,,felixcheung,Minor,Resolved,Incomplete,14/Jan/18 19:10,08/Oct/19 05:44,
Improvement,SPARK-22943,13128106,,OneHotEncoder supports manual specification of categorySizes,,yuhaoyan,Minor,Resolved,Incomplete,02/Jan/18 23:34,08/Oct/19 05:44,
Bug,SPARK-24390,13162112,,confusion of columns in projection after WITH ROLLUP,,rfoss,Minor,Resolved,Incomplete,25/May/18 15:46,08/Oct/19 05:44,
Improvement,SPARK-24904,13174077,,Join with broadcasted dataframe causes shuffle of redundant data,,shay_elbaz,Minor,Resolved,Incomplete,24/Jul/18 11:25,08/Oct/19 05:44,
Improvement,SPARK-22723,13123314,,Add support for other data types and add mode info to ImageSchema ,,tomas.nykodym,Minor,Resolved,Incomplete,06/Dec/17 22:02,08/Oct/19 05:44,
Sub-task,SPARK-23227,13133955,13079621,Add user guide entry for collecting sub models for cross-validation classes,,mlnick,Minor,Resolved,Incomplete,26/Jan/18 09:30,08/Oct/19 05:44,
Improvement,SPARK-23563,13141970,,make the size fo cache in CodeGenerator configable,,passionke,Minor,Resolved,Incomplete,02/Mar/18 01:49,08/Oct/19 05:44,
Bug,SPARK-23002,13129491,,SparkUI inconsistent driver hostname compare with other executors,,insomnia,Minor,Resolved,Incomplete,09/Jan/18 10:22,08/Oct/19 05:44,
Improvement,SPARK-23536,13141577,,Update each Data frame row with a random value,,deenadayal,Minor,Resolved,Incomplete,28/Feb/18 17:14,08/Oct/19 05:44,
Improvement,SPARK-9775,12853704,,Query Mesos for number of CPUs to set default parallelism,,hermansc,Minor,Resolved,Incomplete,09/Aug/15 17:36,08/Oct/19 05:43,
Bug,SPARK-24394,13162163,,Nodes in decision tree sometimes have negative impurity values,,barrybecker4,Minor,Resolved,Incomplete,25/May/18 21:36,08/Oct/19 05:43,
Documentation,SPARK-25537,13187504,,spark.pyspark.driver.python when set in code doesnt work,,Venkat Sambath,Minor,Resolved,Incomplete,26/Sep/18 05:23,08/Oct/19 05:43,
Bug,SPARK-24784,13171390,,Retraining (each document as separate file) creates OOME,,purijatin,Minor,Resolved,Incomplete,11/Jul/18 12:24,08/Oct/19 05:43,
Bug,SPARK-24456,13163745,,Spark submit - server environment variables are overwritten by client environment variables ,,lonchu,Minor,Resolved,Incomplete,04/Jun/18 05:47,08/Oct/19 05:43,
Sub-task,SPARK-17570,13005578,13035404,Avoid Hash and Exchange in Sort Merge join if bucketing factor is multiple for tables,,tejasp,Minor,Resolved,Incomplete,16/Sep/16 23:02,08/Oct/19 05:43,
Improvement,SPARK-24405,13162452,,parameter for python worker timeout,,litup,Minor,Resolved,Incomplete,28/May/18 21:38,08/Oct/19 05:43,
Bug,SPARK-21443,13087607,,Very long planning duration for queries with lots of operations,,eyalzit,Minor,Resolved,Incomplete,17/Jul/17 14:53,08/Oct/19 05:43,
Improvement,SPARK-22132,13105215,,Document the Dispatcher REST API,,arand,Minor,Resolved,Incomplete,26/Sep/17 19:10,08/Oct/19 05:43,
Bug,SPARK-22954,13128448,,"ANALYZE TABLE fails with NoSuchTableException for temporary tables (but should have reported ""not supported on views"")",,jlaskowski,Minor,Resolved,Incomplete,04/Jan/18 09:17,08/Oct/19 05:43,
New Feature,SPARK-25340,13183128,,Pushes down Sample beneath deterministic Project,,maropu,Minor,Resolved,Incomplete,05/Sep/18 13:16,08/Oct/19 05:43,
Improvement,SPARK-24457,13163773,,Performance improvement while converting stringToTimestamp in DateTimeUtils,,ssonker,Minor,Resolved,Incomplete,04/Jun/18 08:27,08/Oct/19 05:43,
Improvement,SPARK-23983,13152501,,Disable X-Frame-Options from Spark UI response headers if explicitly configured,,tcressy,Minor,Resolved,Incomplete,14/Apr/18 21:40,08/Oct/19 05:43,
Improvement,SPARK-24463,13164005,,Add catalyst rule to reorder TypedFilters separated by Filters to reduce serde operations,,lioron,Minor,Resolved,Incomplete,04/Jun/18 22:41,08/Oct/19 05:43,
Bug,SPARK-24447,13163332,,Pyspark RowMatrix.columnSimilarities() loses spark context,,pchu,Minor,Resolved,Incomplete,01/Jun/18 02:11,08/Oct/19 05:43,
Improvement,SPARK-25032,13177096,,"Create table is failing, after dropping the database . It is not falling back to default database",,Ayush007,Minor,Resolved,Incomplete,06/Aug/18 12:11,08/Oct/19 05:43,
Bug,SPARK-22202,13107016,,Release tgz content differences for python and R,,felixcheung,Minor,Resolved,Incomplete,04/Oct/17 18:12,08/Oct/19 05:43,
Sub-task,SPARK-11136,12905344,12775736,Warm-start support for ML estimator,,yinxusen,Minor,Resolved,Incomplete,15/Oct/15 21:53,08/Oct/19 05:43,
Improvement,SPARK-23704,13145554,,PySpark access of individual trees in random forest is slow,,alpha137,Minor,Resolved,Incomplete,16/Mar/18 00:56,08/Oct/19 05:43,
New Feature,SPARK-23074,13130939,,Dataframe-ified zipwithindex,,Tagar,Minor,Resolved,Incomplete,15/Jan/18 06:25,08/Oct/19 05:43,
Improvement,SPARK-16203,12983004,,regexp_extract to return an ArrayType(StringType()),,mmoroz,Minor,Resolved,Incomplete,25/Jun/16 06:20,08/Oct/19 05:43,
Improvement,SPARK-14834,12961493,,Force adding doc for new api in pyspark with @since annotation,,zjffdu,Minor,Resolved,Incomplete,22/Apr/16 01:35,08/Oct/19 05:43,
New Feature,SPARK-18082,13014852,,Locality Sensitive Hashing (LSH) - SignRandomProjection,yunn,josephkb,Minor,Resolved,Incomplete,24/Oct/16 20:03,08/Oct/19 05:43,
