Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,SAMZA-2714,13416731,,CVE-2021-44228 - Log4j RCE 0-day mitigation,jonbringhurst,jonbringhurst,Blocker,Resolved,Fixed,10/Dec/21 23:53,12/Dec/21 06:03,
Improvement,SAMZA-2643,13368715,,"Cleanup redundant null serde checks in ContainerStorageManager, these checks should only be in BaseKeyValueStorageEngineFactory",Sanil,saniljain15,Blocker,Open,,30/Mar/21 19:51,31/Mar/21 01:34,
Test,SAMZA-2275,13245699,,Kinesis consumer Error ,atoomula,alokm,Blocker,Open,,18/Jul/19 07:30,31/Jan/20 18:42,
Bug,SAMZA-2291,13248987,,Custom IME Put in TestRunner runs into Offset mismatch even on correct offsets,Sanil,Sanil,Blocker,Resolved,Fixed,06/Aug/19 01:31,07/Nov/19 00:05,
Bug,SAMZA-2237,13238258,,deploy.sh fails with compile errors,,jadams,Blocker,Open,,07/Jun/19 17:23,07/Jun/19 17:23,
Bug,SAMZA-1765,13168738,,Containers fail to start on YARN with Error: Main method not found in class SamzaContainer,spvenkat,erikaellison,Blocker,Closed,Information Provided,28/Jun/18 00:13,26/Feb/19 00:53,
Bug,SAMZA-1878,13184774,,NPE when RocksDB restores from changelog topic,,fhu,Blocker,Open,,13/Sep/18 02:44,14/Jan/19 23:19,
Bug,SAMZA-1371,13090352,,"Some Samza Containers get stuck at ""Starting BrokerProxy for hostname:portnum"" while others seem to be fine",boryas,akkaul,Blocker,Resolved,Fixed,26/Jul/17 21:59,29/Oct/18 16:34,
Bug,SAMZA-982,12993407,,Add null check for offset update in OffsetManager,xinyu,xinyu,Blocker,Resolved,Fixed,29/Jul/16 00:08,20/Dec/17 21:38,
Bug,SAMZA-1003,12998310,,Restore lazy init for kafka system producer,xinyu,xinyu,Blocker,Resolved,Fixed,18/Aug/16 21:03,20/Dec/17 21:38,
Bug,SAMZA-979,12991666,,Remove KafkaCheckpointMigration,xinyu,xinyu,Blocker,Resolved,Fixed,22/Jul/16 01:14,20/Dec/17 21:36,
Bug,SAMZA-1469,13111878,,"Hello-samza demo not working on master branch, following the steps in the website",,farolfo,Blocker,Open,,25/Oct/17 06:21,26/Oct/17 03:19,
New Feature,SAMZA-1109,13046828,,Allow setting Serdes for fluent API operators in code ,pmaheshwari,xinyu,Blocker,Resolved,Fixed,28/Feb/17 01:24,06/Oct/17 17:52,
Bug,SAMZA-1288,13071398,,Add null check for sink OutputStream when generating plan json,xinyu,xinyu,Blocker,Resolved,Fixed,12/May/17 00:40,06/Oct/17 17:51,
Bug,SAMZA-1435,13106139,,Remove Scala from Samza-API classes,pmaheshwari,jagadish1989@gmail.com,Blocker,Resolved,Fixed,29/Sep/17 21:22,06/Oct/17 17:51,
Bug,SAMZA-1396,13095135,,TestZkLocalApplication tests fails after SAMZA-1385,navina,navina,Blocker,Resolved,Fixed,16/Aug/17 20:29,16/Aug/17 21:42,
Sub-task,SAMZA-1128,13049433,13059877,Remove dependency of debounce timer from the CoordinationUtils,navina,boryas,Blocker,Resolved,Fixed,08/Mar/17 23:12,25/May/17 00:46,
Bug,SAMZA-1246,13067581,,ApplicatonRunner.stats() should include exception in case of failure,xinyu,xinyu,Blocker,Resolved,Fixed,28/Apr/17 03:22,09/May/17 22:50,
Bug,SAMZA-1203,13062988,,Use ProcessorId instead of Zk node Id in JobModel generation,navina,xinyu,Blocker,Resolved,Duplicate,10/Apr/17 19:18,17/Apr/17 02:55,
Bug,SAMZA-1181,13060741,,Fix AppMaster hang after submitting jobs to Yarn,spvenkat,xinyu,Blocker,Resolved,Fixed,31/Mar/17 17:18,17/Apr/17 02:55,
Bug,SAMZA-1110,13046829,,"Use ""equals"" instead of ""=="" in StreamGraphImpl.getInputStream()",nickpan47,xinyu,Blocker,Resolved,Fixed,28/Feb/17 01:26,17/Apr/17 02:32,
Bug,SAMZA-1171,13059570,,Rewrite config in ApplicationRunnerMain when creating the application runner,xinyu,xinyu,Blocker,Resolved,Fixed,27/Mar/17 23:08,29/Mar/17 17:50,
Bug,SAMZA-1172,13059817,,Fix for the topological sort to handle single-node loop correctly,xinyu,xinyu,Blocker,Resolved,Fixed,28/Mar/17 18:51,29/Mar/17 17:50,
Bug,SAMZA-948,12967226,,CoordinatorStreamSystemConsumer is not threadsafe.,jmakes,jmakes,Blocker,Resolved,Fixed,10/May/16 22:40,12/May/16 23:07,
Bug,SAMZA-787,12902494,,task.log4j.system should not be guessed if not configured,navina,nickpan47,Blocker,Resolved,Fixed,05/Oct/15 20:28,09/Feb/16 22:21,
Bug,SAMZA-834,12919917,,Heap usage increases dramatically after container timer metrics change to nanosecond,xinyu,xinyu,Blocker,Resolved,Fixed,08/Dec/15 01:55,08/Dec/15 23:09,
Bug,SAMZA-815,12912894,,CoordinatorStream - Errors in JobRunner,,rmangi,Blocker,Resolved,Invalid,13/Nov/15 17:03,17/Nov/15 15:58,
Bug,SAMZA-792,12903194,,SamzaAppMaster Java code needs to pass the requested container memory size to RM,navina,nickpan47,Blocker,Resolved,Fixed,08/Oct/15 00:05,08/Oct/15 23:17,
Bug,SAMZA-780,12901212,,"Exception in thread ""Container Allocator Thread"" java.lang.ClassCastException: org.apache.hadoop.security.token.Token cannot be cast to org.apache.hadoop.security.token.TokenIdentifier",anaerobic,anaerobic,Blocker,Resolved,Fixed,29/Sep/15 03:22,29/Sep/15 20:33,
Bug,SAMZA-770,12863208,,HttpServer uses getHostAddress instead of getHostName to build URL,anaerobic,anaerobic,Blocker,Resolved,Fixed,10/Sep/15 21:27,14/Sep/15 22:55,
Bug,SAMZA-720,12839431,,Bootstrap hangs ,closeuris,theduderog,Blocker,Resolved,Fixed,21/Jun/15 20:51,23/Jun/15 22:45,
Bug,SAMZA-501,12763706,,hello-samza - Eclipse files are not ignored by rat while scanning for licenses,vsowrirajan,vsowrirajan,Blocker,Resolved,Cannot Reproduce,24/Dec/14 18:40,24/Dec/14 21:31,
Bug,SAMZA-365,12732052,,Master branch fails with @param not found,criccomini,criccomini,Blocker,Resolved,Fixed,05/Aug/14 16:36,05/Aug/14 16:40,
