Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,ODE-941,12524616,,Binary incompatibility with 1.3.5,,jeff.yu,Blocker,Open,,26/Sep/11 10:55,21/Jul/15 21:59,
Bug,ODE-359,12401991,,The sendsoap script does not work if there is a space in the PATH_TO_ODE,vanto,s_reichert,Blocker,Resolved,Fixed,08/Aug/08 13:03,15/May/13 02:44,
Bug,ODE-670,12437172,,MessageExhange is deleted too early,vanto,alexismidon,Blocker,Resolved,Fixed,03/Oct/09 03:52,14/Nov/12 23:15,
Bug,ODE-876,12469898,,ODE 1.3.4 is 10 times slower than ODE 1.3.3,vanto,matihost,Blocker,Resolved,Fixed,22/Jul/10 09:58,07/Jan/11 03:30,
Bug,ODE-901,12479332,,Cannot Deploy More than One Process on Servicemix 4 Using OSGi Bundling,vanto,kwesterfeld,Blocker,Resolved,Fixed,08/Nov/10 01:16,07/Jan/11 01:48,
Bug,ODE-886,12472921,,ExternalServi E org.apache.ode.axis2.SoapExternalService invoke Error sending message to Axis2 for ODE mex {PartnerRoleMex#4948 [PID {http://teamcenter.com/globalservices/process/bpel/webservice/2007-06}data-transfer-3] org.apache.axis2.AxisFault: Two ser,,radha,Blocker,Closed,Invalid,31/Aug/10 09:31,09/Sep/10 07:04,
Bug,ODE-383,12406137,,ServiceFaultCatchTest is broken,alexismidon,alexismidon,Blocker,Closed,Fixed,09/Oct/08 21:56,24/Apr/09 00:54,
Bug,ODE-594,12423600,,ODE DeploymentWebservice seems broken.,alexismidon,javajunky,Blocker,Closed,Duplicate,23/Apr/09 16:41,24/Apr/09 00:54,
Bug,ODE-385,12406144,,InstanceManagementTest broken,mriou,alexismidon,Blocker,Closed,Fixed,10/Oct/08 00:55,24/Apr/09 00:54,
Bug,ODE-382,12406037,,Lethal ThreadLocal in SoapExternalService,alexismidon,alexismidon,Blocker,Closed,Fixed,08/Oct/08 18:21,24/Apr/09 00:54,
Bug,ODE-206,12381894,,Derby fails to start 'Unable to determine database dialect',mriou,jsandhol,Blocker,Resolved,Cannot Reproduce,06/Nov/07 07:18,21/May/08 21:50,
Bug,ODE-147,12371407,,BPEL runtime is generating faulty soap message?,,sdan01,Blocker,Resolved,Fixed,11/Jun/07 18:16,09/Aug/07 18:30,
Bug,ODE-974,12611314,,"On process versioning, instances of retired version are not picking the data from BPEL_UNMATCHED",sathwik,jayantvaish51087,Critical,Resolved,Fixed,11/Oct/12 08:53,28/Nov/17 07:56,
Improvement,ODE-1006,12673718,,ODE.js compatibility with Firefox,,stanangeloff,Critical,Resolved,Won't Fix,14/Oct/13 16:22,09/Jun/15 07:42,
Task,ODE-986,12624749,,Utility for converting serialized objects to a portable format,,hadrian,Critical,Resolved,Fixed,20/Dec/12 01:00,20/Feb/15 20:57,
Bug,ODE-664,12435868,,Namespace declarations not being copied in ASSIGN.replaceElement,vanto,mark.ford,Critical,Resolved,Fixed,16/Sep/09 19:27,26/Aug/13 18:44,
Bug,ODE-820,12464265,,[buildr] Upgrade to Axis2 1.5,rrusin,vanto,Critical,Resolved,Fixed,11/May/10 17:03,26/Jul/13 11:08,
Bug,ODE-958,12546993,,ODE allows activating a retired process when there is already an active version,sathwik,sathwik,Critical,Resolved,Fixed,19/Mar/12 10:14,14/May/13 21:52,
Bug,ODE-957,12545803,,Invocation of a WSDL operation that doesn't have a request message part gives NPE at runtime,sathwik,sathwik,Critical,Resolved,Fixed,09/Mar/12 10:27,13/Feb/13 12:45,
Bug,ODE-972,12609499,,Inovation failure within associated scope of onAlarm results in the process not continuing even after the successful retry,,sathwik,Critical,Open,,28/Sep/12 07:13,30/Oct/12 05:19,
Bug,ODE-464,12410820,,ODE never acknowledges one-way invokes,vanto,vanto,Critical,Resolved,Invalid,16/Dec/08 18:44,06/Mar/12 17:35,
Bug,ODE-785,12459571,,No longer able to deploy helloWorld2 example process using the deployment.html page,,david_mclure,Critical,Open,,18/Mar/10 20:56,09/Sep/11 05:52,
Bug,ODE-865,12468526,,getVariableInfo() returns invalid response,vanto,schreisn,Critical,Resolved,Fixed,04/Jul/10 23:11,07/Jan/11 12:22,
Bug,ODE-155,12373884,,Examples: Exceptions for SOAP calls after retrieving WSDL,gnodet,falko,Critical,Resolved,Fixed,16/Jul/07 10:43,06/Jan/11 18:51,
Bug,ODE-663,12435845,,DOMUtils.cloneNode results in invalid namespace declaration,rrusin,mark.ford,Critical,Closed,Cannot Reproduce,16/Sep/09 16:09,25/Nov/10 13:19,
Bug,ODE-853,12467480,,"""The prefix ns11 is not bound."" appears when registering the InstanceManagement API",vanto,vanto,Critical,Resolved,Fixed,21/Jun/10 12:36,25/Nov/10 13:18,
Bug,ODE-647,12432993,,"Multiple consecutive invocations to a service might  incur an axis2.AxisFault of  ""two services cannot have same name"".",vanto,wenfeng,Critical,Resolved,Fixed,13/Aug/09 14:33,30/Aug/10 07:26,
Bug,ODE-775,12458182,,Instructions for replacing Derby with MySQL do not work (on Windows anyway),,david_mclure,Critical,Open,,04/Mar/10 22:17,13/Apr/10 14:05,
Bug,ODE-473,12411664,,"If ode crashes while waiting for an response to an synchronous response and while thr has yet not been any timeout , it does not resume on restarting the ode.",,rosalin,Critical,Resolved,Fixed,05/Jan/09 05:43,10/Feb/10 16:03,
Bug,ODE-761,12455592,,Wrong fault type is returned when invoking operation with mutliple fault types ,rrusin,leeck,Critical,Resolved,Fixed,07/Feb/10 23:10,10/Feb/10 14:48,
Bug,ODE-597,12423777,,Faulty Message to Deployment Web Service wipes out process repository location,alexismidon,chamith buddhika,Critical,Closed,Fixed,25/Apr/09 16:25,21/May/09 23:50,
Bug,ODE-607,12425755,,typo in ws-addressing property,alexismidon,alexismidon,Critical,Resolved,Fixed,18/May/09 19:16,21/May/09 22:36,
Bug,ODE-519,12414969,,Attributes and namespace declarations are being removed from an element produced from an XQuery expression.,karthick,mark.ford,Critical,Closed,Fixed,17/Feb/09 18:24,24/Apr/09 00:54,
Bug,ODE-508,12414138,,Handle Multiple Variable References In XPath,karthick,d_s_jackson,Critical,Closed,Fixed,05/Feb/09 20:11,24/Apr/09 00:54,
Bug,ODE-373,12404623,,"MMC contains hardcoded paths; host, port and context where the MMC expects Ode should be derived from the deployment",vanto,vanto,Critical,Closed,Fixed,18/Sep/08 08:11,24/Apr/09 00:54,
Bug,ODE-328,12399970,,PartnerRoleMessageExchange#replyWithFault must receive fault name,alexismidon,alexismidon,Critical,Closed,Fixed,09/Jul/08 23:16,24/Apr/09 00:54,
Bug,ODE-133,12369350,,ProcessManagement does not work,vanto,ill,Critical,Open,,15/May/07 05:38,06/Nov/08 18:00,
Bug,ODE-223,12386061,,BPEL process using bpws:doXslTransform(...) crash at tomcat restart,mriou,mosser,Critical,Resolved,Fixed,11/Jan/08 16:50,21/May/08 22:27,
Bug,ODE-230,12386389,,Assign of complex fault variables in faulthandlers does not work,mriou,jollero,Critical,Resolved,Fixed,16/Jan/08 15:15,23/Jan/08 01:15,
Bug,ODE-214,12383391,,MEX error property is not set when MEX status is ERROR,mriou,matihost,Critical,Resolved,Fixed,28/Nov/07 09:06,05/Dec/07 00:41,
Bug,ODE-211,12383078,,"Using a variable with 2 message parts, refering to header and body, for a receive activity  fails",mriou,thilina,Critical,Resolved,Fixed,22/Nov/07 17:09,28/Nov/07 16:03,
Bug,ODE-194,12379735,,Ode cannot handle own defined wsdl faults,mriou,jollero,Critical,Resolved,Fixed,05/Oct/07 08:45,21/Nov/07 16:13,
Bug,ODE-196,12379908,,Deployment Service WSDL is invalid,mriou,thilina,Critical,Resolved,Fixed,09/Oct/07 02:07,09/Oct/07 17:59,
Bug,ODE-150,12371997,,XPath10 in transition condition uses wrong context node,vanto,vanto,Critical,Resolved,Fixed,19/Jun/07 23:41,01/Aug/07 12:18,
Bug,ODE-101,12365265,,TransformerFactory is used without initialization in Start(),,jasper,Critical,Closed,Fixed,19/Mar/07 15:55,29/May/07 22:05,
Wish,ODE-1080,13279132,,Unable to sudo into Upwork accounts with OBO,,FahdQabazard,Major,Open,,13/Jan/20 17:23,13/Jan/20 17:23,
Bug,ODE-1066,13033312,,Unstable work of compensation activity,sathwik,virtualvat,Major,Resolved,Fixed,10/Jan/17 09:13,10/Sep/19 15:26,
Bug,ODE-1078,13212583,,After node replacement old attributes are preserved,,virtualvat,Major,Open,,29/Jan/19 15:50,02/Aug/19 10:42,
Wish,ODE-1079,13228525,,Windows Server 2019 support,,mengln,Major,Closed,Fixed,17/Apr/19 07:40,09/May/19 07:17,
Bug,ODE-960,12551056,,Attribute of a xml element is missing after an <assign/> a value for that xml element,vanto,ddweerasiri,Major,Resolved,Fixed,16/Apr/12 13:11,30/Jan/19 09:28,
Bug,ODE-1077,13212237,,ODE doesn't distinguish between complex node selection and its text subnode,,virtualvat,Major,Closed,Invalid,28/Jan/19 13:19,29/Jan/19 15:40,
Improvement,ODE-1074,13154832,,Inconsistent method name,,BruceKuiLIU,Major,Resolved,Fixed,24/Apr/18 15:04,13/Nov/18 08:02,
New Feature,ODE-1076,13176940,,Please add OWASP Dependency Check to the build (pom.xml),,ABakerIII,Major,Open,,05/Aug/18 04:19,05/Aug/18 04:19,
Improvement,ODE-1075,13171101,,Upgrade to XMLBeans 3.0.0,,pj.fanning,Major,Open,,10/Jul/18 09:30,10/Jul/18 09:30,
Bug,ODE-1072,13141621,,ODE 1.3.7 not showing logs,,thesaad,Major,Resolved,Invalid,28/Feb/18 19:49,01/Mar/18 06:35,
Improvement,ODE-1071,13126173,,Move towards binary compatibility to JDK 8,sathwik,sathwik,Major,Resolved,Fixed,20/Dec/17 06:13,19/Feb/18 09:26,
Improvement,ODE-1070,13116902,,Upgrade to Axis2 1.7.6,sathwik,sathwik,Major,Resolved,Fixed,08/Nov/17 08:05,19/Feb/18 09:25,
Improvement,ODE-1069,13109894,,Upgrade ODE Server to TOMEE 7.0.4,sathwik,sathwik,Major,Resolved,Fixed,17/Oct/17 06:27,19/Feb/18 09:25,
Sub-task,ODE-1068,13096702,12920349,Upgrade Hibernate ,sathwik,sathwik,Major,Resolved,Fixed,22/Aug/17 11:16,19/Feb/18 09:24,
Bug,ODE-1067,13087443,,Decommission JBI Development and Support,sathwik,sathwik,Major,Resolved,Fixed,16/Jul/17 18:01,19/Feb/18 09:24,
Wish,ODE-1043,12920375,,Move towards binary compatibility to JDK 7,sathwik,sathwik,Major,Resolved,Fixed,09/Dec/15 09:25,19/Feb/18 09:23,
Improvement,ODE-1042,12920349,,Move towards JPA 2,sathwik,sathwik,Major,Resolved,Fixed,09/Dec/15 07:50,19/Feb/18 09:23,
Bug,ODE-716,12442087,,NullPointerException when binding message parts to SOAP header,sathwik,objectiser,Major,Resolved,Fixed,01/Dec/09 12:47,19/Feb/18 09:21,
Improvement,ODE-602,12425280,,invocation fails if urlReplacement and form encoded used,sathwik,alexismidon,Major,Resolved,Fixed,12/May/09 23:36,19/Feb/18 09:18,
Improvement,ODE-1065,13011934,,PMAPI - Enhance process-info to include myRole EPR,sathwik,sathwik,Major,Resolved,Fixed,13/Oct/16 09:08,28/Nov/17 07:56,
New Feature,ODE-1028,12774202,,New ODE console,vanto,vanto,Major,Resolved,Fixed,11/Feb/15 13:29,28/Nov/17 07:56,
New Feature,ODE-1060,12987073,,ODE Standalone Server on TomEE,sathwik,sathwik,Major,Resolved,Fixed,06/Jul/16 07:37,28/Nov/17 07:56,
Bug,ODE-1063,12987760,,"Postgres complains that column ""detailsext"" is of type bytea but expression is of type oid",sathwik,sathwik,Major,Resolved,Fixed,08/Jul/16 11:28,28/Nov/17 07:56,
Bug,ODE-1035,12850205,,Process properties defined in deploy.xml is currently restricted to a maximum of 255 character per property in the database,sathwik,sathwik,Major,Resolved,Fixed,30/Jul/15 09:56,28/Nov/17 07:56,
Bug,ODE-1056,12956079,,Override Hibernate's behavoir to mark BLOB as BYTEA instead of OID for PostgreSQL,sathwik,sathwik,Major,Resolved,Fixed,05/Apr/16 07:29,28/Nov/17 07:56,
Bug,ODE-1055,12956057,,Hibernate 3.3.2 creates Derby scripts with BLOB and CLOB column types with only 255 max length,sathwik,sathwik,Major,Resolved,Fixed,05/Apr/16 06:15,28/Nov/17 07:56,
Bug,ODE-1054,12956055,,Add Apache license terms to auto generated database scripts,sathwik,sathwik,Major,Resolved,Fixed,05/Apr/16 06:09,28/Nov/17 07:56,
Bug,ODE-1053,12956051,,Removal of Drop table statement in database table creation scripts for scheduler,sathwik,sathwik,Major,Resolved,Fixed,05/Apr/16 06:05,28/Nov/17 07:56,
Bug,ODE-1052,12956047,,Improper database column definitions in Hibernate persistent classes ,sathwik,sathwik,Major,Resolved,Fixed,05/Apr/16 05:51,28/Nov/17 07:56,
Improvement,ODE-1049,12947423,,Query optimization to findRoute and dequeueMessage queries - MATCHER job,sathwik,sathwik,Major,Resolved,Fixed,05/Mar/16 06:27,28/Nov/17 07:56,
Bug,ODE-1048,12947418,,Disable MEX_MATCHER job,sathwik,sathwik,Major,Resolved,Fixed,05/Mar/16 05:41,28/Nov/17 07:56,
Bug,ODE-1039,12856998,,Rectify the build system to package OPENJPA and HIBERNATE generated database scripts in the ODE distribution,sathwik,sathwik,Major,Resolved,Fixed,18/Aug/15 18:37,28/Nov/17 07:56,
Bug,ODE-1024,12758371,,"Operation input isn't passed for [HTTP binding, GET verb]",vanto,virtualvat,Major,Resolved,Invalid,28/Nov/14 16:53,03/Sep/17 07:16,
Bug,ODE-825,12464743,,Fix TextXQueryExpressionTest,,vanto,Major,Resolved,Invalid,18/May/10 01:28,30/Aug/17 10:03,
Improvement,ODE-1021,12747564,,Upgrade to Axis2 1.6.2,sathwik,sathwik,Major,Resolved,Fixed,12/Oct/14 07:06,30/Aug/17 09:48,
Bug,ODE-1025,12758374,,Error applying namespace to the node,,virtualvat,Major,Resolved,Fixed,28/Nov/14 17:34,30/Aug/17 09:48,
Bug,ODE-668,12436562,,Library compilation conflicts on WebSphere 6.1,,adam.lucarz,Major,Resolved,Won't Fix,25/Sep/09 06:18,29/Aug/17 13:15,
Bug,ODE-593,12423528,,Running Apache ODE in JBoss AppServer 4.3 GA,,edgar.silva,Major,Resolved,Won't Fix,22/Apr/09 23:47,29/Aug/17 11:50,
Improvement,ODE-1037,12852538,,Publish SQLServer database script to ODE Website,,sathwik,Major,Resolved,Won't Fix,06/Aug/15 10:25,29/Aug/17 11:03,
Bug,ODE-665,12436319,,Publish / Subscribe unit test throws error,karthick,rrusin,Major,Resolved,Won't Fix,22/Sep/09 16:30,29/Aug/17 10:16,
Bug,ODE-933,12519983,,ODE maven build fails at axis2-war module,,ishara premadasa,Major,Resolved,Won't Fix,24/Aug/11 15:54,29/Aug/17 10:01,
Task,ODE-875,12469686,,enable testing in axis2-war module in maven build.,jeff.yu,jeff.yu,Major,Resolved,Won't Fix,20/Jul/10 07:11,29/Aug/17 10:00,
Bug,ODE-851,12467230,,[mvn] WAR build does not contain Axis2 console,,vanto,Major,Resolved,Won't Fix,17/Jun/10 15:42,29/Aug/17 09:28,
Improvement,ODE-692,12440011,,Apache ODE Console doesn't support IE.,,xiaobao_390902,Major,Resolved,Won't Fix,06/Nov/09 09:51,29/Aug/17 09:27,
Improvement,ODE-860,12468144,,maven build with JDK6,rrusin,jeff.yu,Major,Resolved,Won't Fix,29/Jun/10 12:37,29/Aug/17 09:25,
Bug,ODE-1061,12987706,,List of Bugs to be ported to trunk from 1.3.7,sathwik,sathwik,Major,Resolved,Fixed,08/Jul/16 06:51,17/Jul/17 03:36,
Bug,ODE-1045,12921032,,Problem starting ODE 1.3.7 SNAPSHOT with Embedded database mode using Hibernate,sathwik,sathwik,Major,Resolved,Fixed,11/Dec/15 10:49,29/Jun/17 06:35,
Improvement,ODE-730,12442535,,Respect partner role partner link definitions for instances of old process revisions,sathwik,seanahn,Major,Resolved,Fixed,05/Dec/09 01:25,29/Jun/17 06:20,
Bug,ODE-829,12465169,,if process is retired the inflight instances dont work,sathwik,anurag.aggarwal,Major,Resolved,Fixed,21/May/10 21:44,29/Jun/17 06:18,
Bug,ODE-1051,12956042,,Database migration from ODE 1.3.6 to 1.3.7,sathwik,sathwik,Major,Resolved,Fixed,05/Apr/16 05:28,08/Nov/16 06:49,
Bug,ODE-929,12518609,,Correlation error when no process is active,,jlanza,Major,Open,,11/Aug/11 17:11,11/Jul/16 05:32,
Improvement,ODE-1062,12987714,,Upgrade Hibernate from 3.2.5 to 3.3.2,sathwik,sathwik,Major,Resolved,Fixed,08/Jul/16 07:58,08/Jul/16 08:00,
Task,ODE-666,12436477,,Migrate from Derby to H2 as the default embedded test database,sathwik,alexismidon,Major,Resolved,Fixed,24/Sep/09 01:27,08/Jul/16 07:59,
Bug,ODE-563,12419305,,Clustering,sathwik,sabirah,Major,In Progress,,24/Mar/09 14:02,08/Jul/16 07:44,
Bug,ODE-1046,12936151,,Please delete old releases from mirroring system,vanto,sebb,Major,Closed,Fixed,02/Feb/16 22:29,20/May/16 09:35,
Bug,ODE-1047,12936345,,Download page must not link to snapshots / nightly builds,vanto,sebb,Major,Resolved,Fixed,03/Feb/16 14:21,19/May/16 14:13,
Bug,ODE-1058,12970980,,Download page must not link to snapshots / nightly builds,,sebb,Major,Resolved,Duplicate,19/May/16 01:40,19/May/16 14:13,
Bug,ODE-1057,12963266,,Wait timer longer than 30 seconds causes process to wait indefinitely,,tcunning,Major,Resolved,Invalid,27/Apr/16 19:04,28/Apr/16 17:32,
Bug,ODE-1050,12954911,,"Service call fails for http binding with ""text/plain"" content type",,ivorobiov,Major,Open,,31/Mar/16 09:51,31/Mar/16 09:59,
Sub-task,ODE-757,12455018,12455010,checked in the generated classes from apt tool.,sathwik,jeff.yu,Major,Resolved,Fixed,02/Feb/10 05:02,14/Jan/16 08:12,
Improvement,ODE-1041,12920343,,Move towards binary compatibility to JDK 6 for 1.3.7 Release,sathwik,sathwik,Major,Resolved,Fixed,09/Dec/15 07:26,14/Jan/16 08:11,
Improvement,ODE-1044,12920392,,Document all configuration parameters used within ODE,sathwik,sathwik,Major,Open,,09/Dec/15 10:51,09/Dec/15 10:56,
Bug,ODE-1040,12914478,,NoClassDefFoundError while deploying bpel processes in clustering environment,sathwik,Sudharma Subasinghe,Major,Resolved,Fixed,19/Nov/15 14:13,09/Dec/15 05:39,
Bug,ODE-1038,12852543,,Rectify the build system to include database column index in the generated scripts by Hibernate,sathwik,sathwik,Major,Resolved,Fixed,06/Aug/15 10:44,19/Aug/15 03:57,
Bug,ODE-1036,12852526,,Generate SQLServer database script for OpenJPA,sathwik,sathwik,Major,Resolved,Fixed,06/Aug/15 09:49,18/Aug/15 12:46,
Bug,ODE-1026,12760225,,Deployment deadlock,sathwik,ivorobiov,Major,Resolved,Fixed,08/Dec/14 18:14,18/Aug/15 12:41,
Bug,ODE-1033,12837574,,Assignment of monotonic version numbers in ProcessStore are not thread safe,sathwik,sathwik,Major,Resolved,Fixed,13/Jun/15 06:04,18/Aug/15 12:40,
Improvement,ODE-1034,12849261,,Upgrade HSQLDB to Latest Release 2.3.3,sathwik,sathwik,Major,Resolved,Fixed,27/Jul/15 08:59,10/Aug/15 10:14,
Improvement,ODE-912,12498413,,[GSoC] Dynamic OModel: Refactor OModel and provide migration,vanto,vanto,Major,Resolved,Fixed,11/Feb/11 19:32,21/Jul/15 21:58,
Bug,ODE-1023,12755836,,Deployment fails with StackOverflowError,vanto,ivorobiov,Major,Resolved,Fixed,17/Nov/14 17:10,21/Jul/15 21:29,
Bug,ODE-965,12559151,,eventHandler does often not receive a message,sathwik,mf123,Major,Resolved,Duplicate,04/Jun/12 09:47,11/Jun/15 20:19,
Bug,ODE-1009,12674718,,Event handler must be installed AFTER an initial start activity has been completed,,vanto,Major,Open,,20/Oct/13 22:25,11/Jun/15 20:16,
Bug,ODE-1020,12744331,,Deployment memory leak,sathwik,ivorobiov,Major,Resolved,Fixed,26/Sep/14 16:56,09/Jun/15 10:44,
Bug,ODE-1008,12674717,,WAR and JBI distros package source jars instead binary ODE jars in lib folder,vanto,vanto,Major,Resolved,Fixed,20/Oct/13 22:20,30/Mar/15 21:18,
New Feature,ODE-41,12349527,,CXF Implementation of the IAPI,,zwadia,Major,Open,,09/Sep/06 00:27,12/Mar/15 06:19,
Bug,ODE-1030,12780117,,JARs contain HTML files instead of class files,,bassjoe,Major,Resolved,Duplicate,06/Mar/15 16:36,09/Mar/15 16:21,
