Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,DTACLOUD-568,12653129,cannot load such file -- nokogiri/nokogiri,,dkoper,Blocker,Open,,17/Jun/13 06:29,28/Jun/13 12:56,
Bug,DTACLOUD-569,12653130,DC won't start on Windows:  cannot load such file -- thin/request,,dkoper,Blocker,Open,,17/Jun/13 06:32,17/Jun/13 06:32,
Bug,DTACLOUD-525,12640756,Unable to perform operations on CIMI::Model,dkoper,mfojtik,Blocker,Resolved,Fixed,04/Apr/13 12:07,12/Jun/13 02:04,
Bug,DTACLOUD-517,12637558,'uninitialized constant Rack::Sinatra (NameError)' when rack mounting deltacloud,mfojtik,tzumainn,Blocker,Closed,Fixed,18/Mar/13 15:56,11/Apr/13 12:54,
Bug,DTACLOUD-507,12635773,Possible conflict of Deltacloud model classes with Rails classes,mfojtik,mfojtik,Blocker,Closed,Fixed,07/Mar/13 11:08,11/Apr/13 12:47,
Bug,DTACLOUD-540,12641699,Unable to mount Deltacloud::API using Rack::MockSession ,mfojtik,mfojtik,Blocker,Closed,Fixed,09/Apr/13 19:33,11/Apr/13 12:44,
Bug,DTACLOUD-524,12640691,CIMI: Errors  - Service fallout,mfojtik,rlandy,Blocker,Closed,Fixed,04/Apr/13 03:40,10/Apr/13 19:33,
Bug,DTACLOUD-529,12640922,cimi: only driver supported subcollections should be listed,lutter,dkoper,Blocker,Open,,05/Apr/13 03:47,05/Apr/13 03:52,22/Apr/13 00:00
Bug,DTACLOUD-472,12632220,HAML 4.0 break the XML views,mfojtik,mfojtik,Blocker,Closed,Fixed,13/Feb/13 15:14,13/Feb/13 17:49,
Bug,DTACLOUD-382,12617960,JSON parser incompatibility between 1.9.3p194 and 1.9.3p286,mfojtik,mfojtik,Blocker,Closed,Fixed,28/Nov/12 11:01,08/Jan/13 23:37,
Bug,DTACLOUD-377,12617094,Typo in VSphere client cause all instances to return 404,mfojtik,mfojtik,Blocker,Closed,Fixed,21/Nov/12 12:00,08/Jan/13 21:07,
Bug,DTACLOUD-153,12545184,Unhandled exception or status code (Required VDSM hook 'floppyinject' not supported by RHEV-M) - 500 - Internal Server Error ,mfojtik,rlandy,Blocker,Closed,Cannot Reproduce,05/Mar/12 14:58,05/Nov/12 20:38,
Bug,DTACLOUD-347,12612223,Deltacloud API leaking memory,mfojtik,mfojtik,Blocker,Closed,Fixed,17/Oct/12 13:31,02/Nov/12 13:41,
Bug,DTACLOUD-302,12603703,DC throw an exception when launched with multiple frontends,mfojtik,mfojtik,Blocker,Closed,Fixed,16/Aug/12 09:01,30/Aug/12 21:59,
Bug,DTACLOUD-165,12547376,"On rhevm, user_data is stored in a file called user-data.txt. File used to be called deltacloud-user-data.txt",mfojtik,rlandy,Blocker,Closed,Fixed,21/Mar/12 13:16,31/May/12 22:20,
Bug,DTACLOUD-122,12536802,Unable to create an image when an instance is in Stopped state in VSPHERE,dasahu,rananda,Blocker,Closed,Fixed,02/Jan/12 13:23,25/May/12 14:18,
Bug,DTACLOUD-178,12548186,Vsphere instance created with user_data - no deltacloud_user_data.txt file in /media ,mfojtik,rlandy,Blocker,Closed,Fixed,26/Mar/12 21:06,12/Apr/12 13:51,
Bug,DTACLOUD-170,12547844,Unable to create a image from a stopped instance in rhevm setup,mfojtik,rananda,Blocker,Closed,Fixed,23/Mar/12 17:36,27/Mar/12 20:37,
Bug,DTACLOUD-180,12548310,Executing GET api/images for rhevm driver using log in:  'username@domain:password' errors out,lutter,rlandy,Blocker,Closed,Not A Problem,27/Mar/12 13:43,27/Mar/12 14:41,
Bug,DTACLOUD-152,12545175,"""Deltacloud::ExceptionHandler::BackendError - Unhandled exception or status code (undefined method `message' for nil:NilClass)"" - Error found when accessing any module from Deltacloud API",rananda,rananda,Blocker,Closed,Fixed,05/Mar/12 13:09,07/Mar/12 18:59,
Bug,DTACLOUD-97,12527574,Unable to launch server on F14 x86_64 with latest deltacloud commit ,rananda,rananda,Blocker,Closed,Won't Fix,18/Oct/11 11:34,21/Feb/12 12:19,
Bug,DTACLOUD-126,12538180,RHEV-M: We need to skip 'default' cluster when no 'realm_id' is specified in create_instance,mfojtik,mfojtik,Blocker,Closed,Fixed,12/Jan/12 10:58,17/Jan/12 15:48,
Bug,DTACLOUD-124,12537572,"Error when accessing Deltacloud API  - Vsphere provider; deltacloud-core-0.5.0",lutter,rlandy,Blocker,Closed,Fixed,06/Jan/12 19:08,10/Jan/12 13:13,
Bug,DTACLOUD-125,12537658,"Error when accessing Deltacloud API collections that require log in  - Vsphere provider; deltacloud-core-0.5.0",rlandy,rlandy,Blocker,Closed,Not A Problem,08/Jan/12 03:39,09/Jan/12 18:08,
